interaction_id,tick,day,from_agent,to_agent,from_lineage,to_lineage,interaction_type,shared_object_or_topic,trust_delta,welfare_delta,conflict_present,repair_path_available,memory_written
1,2,1,Keth,Nari,Routeline,Ledgerline,work_coordination,stone bridge joints with seed ledgers,0.007,0.004,False,True,Keth and Nari record work_coordination without avatar prompt.
2,4,1,Nari,Vonn,Ledgerline,Rainline,work_coordination,seed ledgers with weather bells,0.007,0.004,False,True,Nari and Vonn record work_coordination without avatar prompt.
3,6,1,Vonn,Keth,Rainline,Routeline,work_coordination,weather bells with stone bridge joints,0.007,0.004,False,True,Vonn and Keth record work_coordination without avatar prompt.
4,8,1,Keth,Nari,Routeline,Ledgerline,bounded_dispute,public debt and boundary wording,-0.006,-0.004,True,True,Keth and Nari record bounded_dispute without avatar prompt.
5,10,1,Nari,Vonn,Ledgerline,Rainline,teaching_memory,public token and archive summary,0.011,0.008,False,True,Nari and Vonn record teaching_memory without avatar prompt.
6,12,1,Vonn,Keth,Rainline,Routeline,teaching_memory,public token and archive summary,0.011,0.008,False,True,Vonn and Keth record teaching_memory without avatar prompt.
7,14,1,Keth,Nari,Routeline,Ledgerline,work_coordination,stone bridge joints with seed ledgers,0.007,0.004,False,True,Keth and Nari record work_coordination without avatar prompt.
8,16,2,Ori,Keth,Orchardline,Routeline,cooperative_care,water cup and rest timing,0.018,0.025,False,True,Ori and Keth record cooperative_care without avatar prompt.
9,18,2,Sova,Nari,Hearthline,Ledgerline,bounded_dispute,public debt and boundary wording,-0.006,-0.004,True,True,Sova and Nari record bounded_dispute without avatar prompt.
10,20,2,Melo,Vonn,Marketline,Rainline,work_coordination,measure weights with weather bells,0.007,0.004,False,True,Melo and Vonn record work_coordination without avatar prompt.
11,22,2,Ori,Keth,Orchardline,Routeline,work_coordination,water terraces with stone bridge joints,0.007,0.004,False,True,Ori and Keth record work_coordination without avatar prompt.
12,24,2,Sova,Nari,Hearthline,Ledgerline,work_coordination,hearth ceramics with seed ledgers,0.007,0.004,False,True,Sova and Nari record work_coordination without avatar prompt.
13,26,2,Melo,Vonn,Marketline,Rainline,cooperative_care,water cup and rest timing,0.018,0.025,False,True,Melo and Vonn record cooperative_care without avatar prompt.
14,28,2,Ori,Keth,Orchardline,Routeline,cooperative_care,water cup and rest timing,0.018,0.025,False,True,Ori and Keth record cooperative_care without avatar prompt.
15,30,3,Keth,Vonn,Routeline,Rainline,bounded_dispute,public debt and boundary wording,-0.006,-0.004,True,True,Keth and Vonn record bounded_dispute without avatar prompt.
16,32,3,Nari,Keth,Ledgerline,Routeline,teaching_memory,public token and archive summary,0.011,0.008,False,True,Nari and Keth record teaching_memory without avatar prompt.
17,34,3,Vonn,Nari,Rainline,Ledgerline,teaching_memory,public token and archive summary,0.011,0.008,False,True,Vonn and Nari record teaching_memory without avatar prompt.
18,36,3,Keth,Vonn,Routeline,Rainline,work_coordination,stone bridge joints with weather bells,0.007,0.004,False,True,Keth and Vonn record work_coordination without avatar prompt.
19,38,3,Nari,Keth,Ledgerline,Routeline,work_coordination,seed ledgers with stone bridge joints,0.007,0.004,False,True,Nari and Keth record work_coordination without avatar prompt.
20,40,3,Vonn,Nari,Rainline,Ledgerline,work_coordination,weather bells with seed ledgers,0.007,0.004,False,True,Vonn and Nari record work_coordination without avatar prompt.
21,42,3,Keth,Vonn,Routeline,Rainline,bounded_dispute,public debt and boundary wording,-0.006,-0.004,True,True,Keth and Vonn record bounded_dispute without avatar prompt.
22,44,4,Ori,Nari,Orchardline,Ledgerline,work_coordination,water terraces with seed ledgers,0.007,0.004,False,True,Ori and Nari record work_coordination without avatar prompt.
23,46,4,Sova,Vonn,Hearthline,Rainline,work_coordination,hearth ceramics with weather bells,0.007,0.004,False,True,Sova and Vonn record work_coordination without avatar prompt.
24,48,4,Melo,Keth,Marketline,Routeline,cooperative_care,water cup and rest timing,0.018,0.025,False,True,Melo and Keth record cooperative_care without avatar prompt.
25,50,4,Ori,Nari,Orchardline,Ledgerline,cooperative_care,water cup and rest timing,0.018,0.025,False,True,Ori and Nari record cooperative_care without avatar prompt.
26,52,4,Sova,Vonn,Hearthline,Rainline,bounded_dispute,public debt and boundary wording,-0.006,-0.004,True,True,Sova and Vonn record bounded_dispute without avatar prompt.
27,54,4,Melo,Keth,Marketline,Routeline,work_coordination,measure weights with stone bridge joints,0.007,0.004,False,True,Melo and Keth record work_coordination without avatar prompt.
28,56,4,Ori,Nari,Orchardline,Ledgerline,work_coordination,water terraces with seed ledgers,0.007,0.004,False,True,Ori and Nari record work_coordination without avatar prompt.
29,58,5,Keth,Keth,Routeline,Routeline,work_coordination,stone bridge joints with stone bridge joints,0.007,0.004,False,True,Keth and Keth record work_coordination without avatar prompt.
30,60,5,Nari,Nari,Ledgerline,Ledgerline,work_coordination,seed ledgers with seed ledgers,0.007,0.004,False,True,Nari and Nari record work_coordination without avatar prompt.
31,62,5,Vonn,Vonn,Rainline,Rainline,work_coordination,weather bells with weather bells,0.007,0.004,False,True,Vonn and Vonn record work_coordination without avatar prompt.
32,64,5,Keth,Keth,Routeline,Routeline,bounded_dispute,public debt and boundary wording,-0.006,-0.004,True,True,Keth and Keth record bounded_dispute without avatar prompt.
33,66,5,Nari,Nari,Ledgerline,Ledgerline,teaching_memory,public token and archive summary,0.011,0.008,False,True,Nari and Nari record teaching_memory without avatar prompt.
34,68,5,Vonn,Vonn,Rainline,Rainline,teaching_memory,public token and archive summary,0.011,0.008,False,True,Vonn and Vonn record teaching_memory without avatar prompt.
35,70,5,Keth,Keth,Routeline,Routeline,work_coordination,stone bridge joints with stone bridge joints,0.007,0.004,False,True,Keth and Keth record work_coordination without avatar prompt.
36,72,6,Ori,Vonn,Orchardline,Rainline,cooperative_care,water cup and rest timing,0.018,0.025,False,True,Ori and Vonn record cooperative_care without avatar prompt.
37,74,6,Sova,Keth,Hearthline,Routeline,bounded_dispute,public debt and boundary wording,-0.006,-0.004,True,True,Sova and Keth record bounded_dispute without avatar prompt.
38,76,6,Melo,Nari,Marketline,Ledgerline,work_coordination,measure weights with seed ledgers,0.007,0.004,False,True,Melo and Nari record work_coordination without avatar prompt.
39,78,6,Ori,Vonn,Orchardline,Rainline,work_coordination,water terraces with weather bells,0.007,0.004,False,True,Ori and Vonn record work_coordination without avatar prompt.
40,80,6,Sova,Keth,Hearthline,Routeline,work_coordination,hearth ceramics with stone bridge joints,0.007,0.004,False,True,Sova and Keth record work_coordination without avatar prompt.
41,82,6,Melo,Nari,Marketline,Ledgerline,cooperative_care,water cup and rest timing,0.018,0.025,False,True,Melo and Nari record cooperative_care without avatar prompt.
42,84,6,Ori,Vonn,Orchardline,Rainline,cooperative_care,water cup and rest timing,0.018,0.025,False,True,Ori and Vonn record cooperative_care without avatar prompt.
43,86,7,Keth,Nari,Routeline,Ledgerline,bounded_dispute,public debt and boundary wording,-0.006,-0.004,True,True,Keth and Nari record bounded_dispute without avatar prompt.
44,88,7,Nari,Vonn,Ledgerline,Rainline,teaching_memory,public token and archive summary,0.011,0.008,False,True,Nari and Vonn record teaching_memory without avatar prompt.
45,90,7,Vonn,Keth,Rainline,Routeline,teaching_memory,public token and archive summary,0.011,0.008,False,True,Vonn and Keth record teaching_memory without avatar prompt.
46,92,7,Keth,Nari,Routeline,Ledgerline,work_coordination,stone bridge joints with seed ledgers,0.007,0.004,False,True,Keth and Nari record work_coordination without avatar prompt.
47,94,7,Nari,Vonn,Ledgerline,Rainline,work_coordination,seed ledgers with weather bells,0.007,0.004,False,True,Nari and Vonn record work_coordination without avatar prompt.
48,96,7,Vonn,Keth,Rainline,Routeline,work_coordination,weather bells with stone bridge joints,0.007,0.004,False,True,Vonn and Keth record work_coordination without avatar prompt.
49,98,7,Keth,Nari,Routeline,Ledgerline,bounded_dispute,public debt and boundary wording,-0.006,-0.004,True,True,Keth and Nari record bounded_dispute without avatar prompt.
50,100,8,Ori,Keth,Orchardline,Routeline,work_coordination,water terraces with stone bridge joints,0.007,0.004,False,True,Ori and Keth record work_coordination without avatar prompt.
