tick_index,agent,routine,project_progress,skill_practice,resource_change,social_face_change,autonomy_satisfaction,routine_variation,consequence_summary
1,Ari,quiet_route_scan,0.193754,0.234,0.5,0.48,0.792921,0.26,Ari quiet_route_scan: progress=0.19; resource=0.50; face=0.48
2,Fay,share_water,0.18,0.22,0.5,0.48,0.809681,0.42,Fay share_water: progress=0.18; resource=0.50; face=0.48
3,Milo,wake_check_body,0.18,0.22,0.5,0.48,0.825933,0.26,Milo wake_check_body: progress=0.18; resource=0.50; face=0.48
4,Sol,prepare_tools,0.19414,0.234,0.5,0.48,0.8608,0.26,Sol prepare_tools: progress=0.19; resource=0.50; face=0.48
5,Ari,prepare_tools,0.208548,0.248,0.5,0.48,0.8524,0.5,Ari prepare_tools: progress=0.21; resource=0.50; face=0.48
6,Fay,quiet_route_scan,0.194168,0.234,0.5,0.466,0.708482,0.5,Fay quiet_route_scan: progress=0.19; resource=0.50; face=0.47
7,Milo,share_water,0.18,0.22,0.482,0.48,0.827374,0.5,Milo share_water: progress=0.18; resource=0.48; face=0.48
8,Sol,wake_check_body,0.19414,0.234,0.5,0.48,0.83982,0.5,Sol wake_check_body: progress=0.19; resource=0.50; face=0.48
9,Ari,repair_route,0.223997,0.262,0.5,0.48,0.83222,0.34,Ari repair_route: progress=0.22; resource=0.50; face=0.48
10,Fay,market_exchange,0.209189,0.248,0.526,0.466,0.8286,0.34,Fay market_exchange: progress=0.21; resource=0.53; face=0.47
11,Milo,repair_route,0.195216,0.234,0.482,0.48,0.78601,0.34,Milo repair_route: progress=0.20; resource=0.48; face=0.48
12,Sol,teach_skill,0.20983,0.258,0.5,0.498,0.844709,0.5,Sol teach_skill: progress=0.21; resource=0.50; face=0.50
13,Ari,repair_route,0.239913,0.276,0.5,0.48,0.829724,0.34,Ari repair_route: progress=0.24; resource=0.50; face=0.48
14,Fay,work_project,0.224719,0.262,0.526,0.466,0.807306,0.18,Fay work_project: progress=0.22; resource=0.53; face=0.47
15,Milo,market_exchange,0.211041,0.248,0.508,0.48,0.8454,0.18,Milo market_exchange: progress=0.21; resource=0.51; face=0.48
16,Sol,repair_route,0.225407,0.272,0.5,0.484,0.738277,0.18,Sol repair_route: progress=0.23; resource=0.50; face=0.48
17,Ari,relationship_check,0.239913,0.276,0.5,0.484,0.727783,0.42,Ari relationship_check: progress=0.24; resource=0.50; face=0.48
18,Fay,ritual_hum,0.224719,0.269,0.508,0.484,0.8087,0.42,Fay ritual_hum: progress=0.22; resource=0.51; face=0.48
19,Milo,hearth_return,0.211041,0.248,0.508,0.48,0.828406,0.42,Milo hearth_return: progress=0.21; resource=0.51; face=0.48
20,Sol,ritual_hum,0.225407,0.279,0.5,0.502,0.8608,0.42,Sol ritual_hum: progress=0.23; resource=0.50; face=0.50
21,Ari,ritual_hum,0.239913,0.283,0.5,0.502,0.8524,0.26,Ari ritual_hum: progress=0.24; resource=0.50; face=0.50
22,Fay,ritual_hum,0.224719,0.276,0.508,0.502,0.767944,0.26,Fay ritual_hum: progress=0.22; resource=0.51; face=0.50
23,Milo,store_objects,0.211041,0.248,0.52,0.48,0.829469,0.42,Milo store_objects: progress=0.21; resource=0.52; face=0.48
24,Sol,hearth_return,0.225407,0.279,0.5,0.502,0.844163,0.26,Sol hearth_return: progress=0.23; resource=0.50; face=0.50
25,Ari,sleep,0.239913,0.29,0.5,0.502,0.831513,0.5,Ari sleep: progress=0.24; resource=0.50; face=0.50
26,Fay,dream_sort_memory,0.224719,0.283,0.508,0.502,0.8286,0.5,Fay dream_sort_memory: progress=0.22; resource=0.51; face=0.50
27,Milo,guarded_rest,0.211041,0.255,0.52,0.466,0.72366,0.5,Milo guarded_rest: progress=0.21; resource=0.52; face=0.47
28,Sol,soft_recovery,0.225407,0.286,0.482,0.502,0.838556,0.5,Sol soft_recovery: progress=0.23; resource=0.48; face=0.50
29,Ari,soft_recovery,0.239913,0.297,0.482,0.502,0.831527,0.42,Ari soft_recovery: progress=0.24; resource=0.48; face=0.50
30,Fay,sleep,0.224719,0.29,0.508,0.502,0.812965,0.42,Fay sleep: progress=0.22; resource=0.51; face=0.50
31,Milo,dream_sort_memory,0.211041,0.262,0.52,0.466,0.8454,0.42,Milo dream_sort_memory: progress=0.21; resource=0.52; face=0.47
32,Sol,guarded_rest,0.225407,0.293,0.482,0.502,0.80259,0.42,Sol guarded_rest: progress=0.23; resource=0.48; face=0.50
33,Ari,share_water,0.239913,0.297,0.482,0.502,0.833863,0.5,Ari share_water: progress=0.24; resource=0.48; face=0.50
34,Fay,wake_check_body,0.224719,0.29,0.508,0.502,0.806013,0.34,Fay wake_check_body: progress=0.22; resource=0.51; face=0.50
35,Milo,prepare_tools,0.228036,0.276,0.52,0.466,0.8454,0.34,Milo prepare_tools: progress=0.23; resource=0.52; face=0.47
36,Sol,quiet_route_scan,0.242069,0.307,0.482,0.488,0.735747,0.34,Sol quiet_route_scan: progress=0.24; resource=0.48; face=0.49
37,Ari,quiet_route_scan,0.256724,0.311,0.482,0.488,0.731718,0.18,Ari quiet_route_scan: progress=0.26; resource=0.48; face=0.49
38,Fay,share_water,0.224719,0.29,0.49,0.502,0.807324,0.18,Fay share_water: progress=0.22; resource=0.49; face=0.50
39,Milo,wake_check_body,0.228036,0.276,0.52,0.466,0.82439,0.18,Milo wake_check_body: progress=0.23; resource=0.52; face=0.47
40,Sol,prepare_tools,0.259183,0.321,0.482,0.488,0.8608,0.18,Sol prepare_tools: progress=0.26; resource=0.48; face=0.49
41,Ari,repair_route,0.27391,0.325,0.482,0.488,0.8524,0.42,Ari repair_route: progress=0.27; resource=0.48; face=0.49
42,Fay,repair_route,0.241717,0.304,0.49,0.502,0.7702,0.42,Fay repair_route: progress=0.24; resource=0.49; face=0.50
43,Milo,market_exchange,0.245282,0.29,0.546,0.466,0.823139,0.58,Milo market_exchange: progress=0.25; resource=0.55; face=0.47
44,Sol,work_project,0.276497,0.335,0.482,0.488,0.838275,0.42,Sol work_project: progress=0.28; resource=0.48; face=0.49
45,Ari,repair_route,0.291247,0.339,0.482,0.488,0.83103,0.26,Ari repair_route: progress=0.29; resource=0.48; face=0.49
46,Fay,market_exchange,0.258928,0.318,0.516,0.502,0.8286,0.26,Fay market_exchange: progress=0.26; resource=0.52; face=0.50
47,Milo,market_exchange,0.26201,0.304,0.572,0.452,0.721528,0.26,Milo market_exchange: progress=0.26; resource=0.57; face=0.45
48,Sol,teach_skill,0.293933,0.359,0.464,0.506,0.83818,0.26,Sol teach_skill: progress=0.29; resource=0.46; face=0.51
49,Ari,store_objects,0.291247,0.339,0.476,0.488,0.830775,0.5,Ari store_objects: progress=0.29; resource=0.48; face=0.49
50,Fay,ritual_hum,0.258928,0.325,0.516,0.52,0.806038,0.5,Fay ritual_hum: progress=0.26; resource=0.52; face=0.52
51,Milo,ritual_hum,0.26201,0.311,0.572,0.47,0.8454,0.5,Milo ritual_hum: progress=0.26; resource=0.57; face=0.47
52,Sol,relationship_check,0.293933,0.359,0.464,0.524,0.803502,0.5,Sol relationship_check: progress=0.29; resource=0.46; face=0.52
53,Ari,relationship_check,0.291247,0.339,0.476,0.506,0.791955,0.34,Ari relationship_check: progress=0.29; resource=0.48; face=0.51
54,Fay,ritual_hum,0.258928,0.332,0.516,0.538,0.809877,0.5,Fay ritual_hum: progress=0.26; resource=0.52; face=0.54
55,Milo,hearth_return,0.26201,0.311,0.572,0.47,0.829254,0.34,Milo hearth_return: progress=0.26; resource=0.57; face=0.47
56,Sol,ritual_hum,0.293933,0.366,0.464,0.542,0.8608,0.34,Sol ritual_hum: progress=0.29; resource=0.46; face=0.54
57,Ari,dream_sort_memory,0.291247,0.346,0.476,0.506,0.8524,0.18,Ari dream_sort_memory: progress=0.29; resource=0.48; face=0.51
58,Fay,guarded_rest,0.258928,0.339,0.516,0.524,0.706208,0.18,Fay guarded_rest: progress=0.26; resource=0.52; face=0.52
59,Milo,soft_recovery,0.26201,0.318,0.554,0.47,0.825182,0.18,Milo soft_recovery: progress=0.26; resource=0.55; face=0.47
60,Sol,sleep,0.293933,0.373,0.464,0.542,0.83853,0.18,Sol sleep: progress=0.29; resource=0.46; face=0.54
61,Ari,sleep,0.291247,0.353,0.476,0.506,0.834164,0.5,Ari sleep: progress=0.29; resource=0.48; face=0.51
62,Fay,dream_sort_memory,0.258928,0.346,0.516,0.534,0.8286,0.5,Fay dream_sort_memory: progress=0.26; resource=0.52; face=0.53
63,Milo,guarded_rest,0.26201,0.325,0.554,0.47,0.786154,0.5,Milo guarded_rest: progress=0.26; resource=0.55; face=0.47
64,Sol,soft_recovery,0.293933,0.38,0.464,0.552,0.841597,0.66,Sol soft_recovery: progress=0.29; resource=0.46; face=0.55
65,Ari,wake_check_body,0.291247,0.353,0.476,0.506,0.836132,0.42,Ari wake_check_body: progress=0.29; resource=0.48; face=0.51
66,Fay,prepare_tools,0.276357,0.36,0.516,0.534,0.8286,0.42,Fay prepare_tools: progress=0.28; resource=0.52; face=0.53
67,Milo,quiet_route_scan,0.278861,0.339,0.554,0.456,0.719703,0.42,Milo quiet_route_scan: progress=0.28; resource=0.55; face=0.46
68,Sol,quiet_route_scan,0.311823,0.394,0.446,0.552,0.842523,0.42,Sol quiet_route_scan: progress=0.31; resource=0.45; face=0.55
69,Ari,share_water,0.291247,0.353,0.458,0.506,0.835442,0.26,Ari share_water: progress=0.29; resource=0.46; face=0.51
70,Fay,wake_check_body,0.276357,0.36,0.516,0.534,0.811392,0.26,Fay wake_check_body: progress=0.28; resource=0.52; face=0.53
71,Milo,prepare_tools,0.296076,0.353,0.554,0.456,0.8454,0.26,Milo prepare_tools: progress=0.30; resource=0.55; face=0.46
72,Sol,quiet_route_scan,0.329505,0.408,0.446,0.552,0.801129,0.26,Sol quiet_route_scan: progress=0.33; resource=0.45; face=0.55
73,Ari,repair_route,0.308839,0.367,0.458,0.506,0.79253,0.5,Ari repair_route: progress=0.31; resource=0.46; face=0.51
74,Fay,teach_skill,0.293905,0.384,0.516,0.552,0.812722,0.66,Fay teach_skill: progress=0.29; resource=0.52; face=0.55
75,Milo,work_project,0.313431,0.367,0.554,0.456,0.824002,0.5,Milo work_project: progress=0.31; resource=0.55; face=0.46
76,Sol,market_exchange,0.347357,0.422,0.472,0.552,0.8608,0.5,Sol market_exchange: progress=0.35; resource=0.47; face=0.55
77,Ari,repair_route,0.326581,0.381,0.458,0.506,0.8524,0.34,Ari repair_route: progress=0.33; resource=0.46; face=0.51
78,Fay,repair_route,0.310882,0.398,0.516,0.538,0.70772,0.34,Fay repair_route: progress=0.31; resource=0.52; face=0.54
79,Milo,teach_skill,0.330892,0.391,0.536,0.474,0.82906,0.34,Milo teach_skill: progress=0.33; resource=0.54; face=0.47
80,Sol,work_project,0.365221,0.436,0.472,0.552,0.842282,0.34,Sol work_project: progress=0.37; resource=0.47; face=0.55
81,Ari,hearth_return,0.326581,0.381,0.458,0.506,0.835834,0.18,Ari hearth_return: progress=0.33; resource=0.46; face=0.51
82,Fay,ritual_hum,0.310882,0.405,0.516,0.556,0.8286,0.18,Fay ritual_hum: progress=0.31; resource=0.52; face=0.56
83,Milo,relationship_check,0.330892,0.391,0.536,0.492,0.784473,0.18,Milo relationship_check: progress=0.33; resource=0.54; face=0.49
84,Sol,store_objects,0.365221,0.436,0.484,0.552,0.844446,0.34,Sol store_objects: progress=0.37; resource=0.48; face=0.55
