tick_id,day,settlement_id,resident_id,dialect_id,phrase_token,remembered_phrase,relationship_before,relationship_after,memory_age_days,saved_relationship_summary,restored_phrase,visible_after_restore,persistent_relationship_key
0,1,riverbend,Lio,riverbend-dialect-9,riverbend:lio:1:0:0,first restored phrase,0.583,0.587,0,Lio remembers first restored phrase with trust 0.54,riverbend:lio:1:0:0,False,ssrm.v41.relationship.riverbend.Lio
1,1,roofward,Fay,roofward-dialect-9,roofward:fay:1:1:0,first restored phrase,0.56,0.57,0,Fay remembers first restored phrase with trust 0.54,roofward:fay:1:1:0,False,ssrm.v41.relationship.roofward.Fay
2,1,archive,Toma,archive-dialect-9,archive:toma:1:2:0,first restored phrase,0.54,0.544,0,Toma remembers first restored phrase with trust 0.57,archive:toma:1:2:0,False,ssrm.v41.relationship.archive.Toma
3,1,signal,Milo,signal-dialect-9,signal:milo:1:3:0,first restored phrase,0.52,0.526,0,Milo remembers first restored phrase with trust 0.57,signal:milo:1:3:0,False,ssrm.v41.relationship.signal.Milo
4,1,orchard,Mara,orchard-dialect-9,orchard:mara:1:4:0,first restored phrase,0.543,0.547,0,Mara remembers first restored phrase with trust 0.57,orchard:mara:1:4:0,False,ssrm.v41.relationship.orchard.Mara
5,1,repair_ring,Juno,repair_ring-dialect-9,repair_ring:juno:1:5:0,first restored phrase,0.52,0.53,0,Juno remembers first restored phrase with trust 0.57,repair_ring:juno:1:5:0,False,ssrm.v41.relationship.repair_ring.Juno
6,1,riverbend,Lio,riverbend-dialect-9,riverbend:lio:1:6:1,riverbend:lio:1:0:0,0.587,0.593,0,Lio remembers riverbend:lio:1:0:0 with trust 0.54,riverbend:lio:1:0:0,False,ssrm.v41.relationship.riverbend.Lio
8,1,archive,Toma,archive-dialect-9,archive:toma:1:8:1,archive:toma:1:2:0,0.547,0.557,0,Toma remembers archive:toma:1:2:0 with trust 0.57,archive:toma:1:2:0,False,ssrm.v41.relationship.archive.Toma
10,1,orchard,Mara,orchard-dialect-9,orchard:mara:1:10:1,orchard:mara:1:4:0,0.547,0.553,0,Mara remembers orchard:mara:1:4:0 with trust 0.57,orchard:mara:1:4:0,False,ssrm.v41.relationship.orchard.Mara
12,1,riverbend,Lio,riverbend-dialect-9,riverbend:lio:1:12:2,riverbend:lio:1:6:1,0.605,0.609,0,Lio remembers riverbend:lio:1:6:1 with trust 0.55,riverbend:lio:1:6:1,False,ssrm.v41.relationship.riverbend.Lio
