episode_id,agent,prior_primary_routine,selected_routine,adaptation_signal,cooperation_weight,boundary_weight,recovery_weight,novelty_weight,learned_policy_delta,adaptation_reason
1,Ari,repair_route,repair_route,0.544,0.45704,0.32,0.28,0.25,0.00704,routine adapted from repeated interaction
2,Fay,hearth_care,sleep_recovery,0.1312,0.383616,0.3956,0.3268,0.2356,0.203184,sleep debt overrides avatar request
3,Milo,market_scan,market_scan,0.7272,0.49544,0.3,0.268,0.286,0.11344,routine adapted from repeated interaction
4,Sol,ledger_sort,boundary_pause,0.24,0.4162,0.3746,0.28,0.25,0.0884,learned to protect boundary under pressure
5,Ari,repair_route,sleep_recovery,0.124,0.39688,0.3872,0.3216,0.2372,0.17472,sleep debt overrides avatar request
6,Fay,hearth_care,hearth_care,0.608,0.403056,0.3776,0.3628,0.2536,0.190944,routine adapted from repeated interaction
7,Milo,market_scan,boundary_pause,0.24896,0.445232,0.384,0.268,0.286,0.116768,learned to protect boundary under pressure
8,Sol,ledger_sort,sleep_recovery,0.5968,0.428784,0.3616,0.306,0.263,0.101816,sleep debt overrides avatar request
9,Ari,repair_route,repair_route,0.7208,0.432208,0.3712,0.312,0.266,0.116992,routine adapted from repeated interaction
10,Fay,hearth_care,boundary_pause,0.12976,0.336413,0.4532,0.4096,0.2392,0.387187,learned to protect boundary under pressure
11,Milo,market_scan,market_scan,0.72576,0.490384,0.364,0.256,0.322,0.180384,routine adapted from repeated interaction
12,Sol,ledger_sort,ledger_sort,0.71856,0.457197,0.3486,0.3138,0.263,0.082597,routine adapted from repeated interaction
13,Ari,repair_route,boundary_pause,0.12256,0.371818,0.4384,0.3536,0.2532,0.273382,learned to protect boundary under pressure
14,Fay,hearth_care,hearth_care,0.60656,0.355594,0.4352,0.4456,0.2572,0.382406,routine adapted from repeated interaction
15,Milo,market_scan,market_scan,0.72752,0.535888,0.344,0.268,0.322,0.193888,routine adapted from repeated interaction
16,Sol,ledger_sort,ledger_sort,0.72032,0.485838,0.3356,0.306,0.263,0.090438,routine adapted from repeated interaction
17,Ari,repair_route,sleep_recovery,0.59936,0.387715,0.4224,0.3856,0.2692,0.289485,sleep debt overrides avatar request
18,Fay,hearth_care,hearth_care,0.60832,0.375091,0.4172,0.5032,0.2428,0.402509,routine adapted from repeated interaction
19,Milo,market_scan,market_scan,0.72928,0.581744,0.324,0.256,0.322,0.231744,routine adapted from repeated interaction
20,Sol,ledger_sort,ledger_sort,0.60208,0.499109,0.3226,0.332,0.2526,0.106309,routine adapted from repeated interaction
21,Ari,repair_route,repair_route,0.72112,0.423094,0.4064,0.3952,0.2692,0.247706,routine adapted from repeated interaction
22,Fay,hearth_care,teach_word,0.73008,0.416506,0.3992,0.4924,0.2428,0.332294,stable trust allows language teaching
23,Milo,market_scan,teach_word,0.73104,0.627952,0.304,0.244,0.322,0.301952,stable trust allows language teaching
24,Sol,ledger_sort,ledger_sort,0.54384,0.504808,0.3226,0.332,0.2526,0.112008,routine adapted from repeated interaction
25,Ari,repair_route,repair_route,0.72288,0.458755,0.3904,0.3856,0.2692,0.203955,routine adapted from repeated interaction
26,Fay,hearth_care,teach_word,0.73184,0.458237,0.3812,0.4816,0.2428,0.278237,stable trust allows language teaching
27,Milo,market_scan,market_scan,0.5528,0.638512,0.304,0.244,0.322,0.312512,routine adapted from repeated interaction
28,Sol,ledger_sort,sleep_recovery,0.12384,0.455907,0.3772,0.3658,0.2422,0.156707,sleep debt overrides avatar request
29,Ari,repair_route,sleep_recovery,0.12464,0.398698,0.4576,0.4272,0.2564,0.342502,sleep debt overrides avatar request
30,Fay,hearth_care,teach_word,0.7336,0.500285,0.3632,0.4708,0.2752,0.309485,stable trust allows language teaching
31,Milo,market_scan,sleep_recovery,0.1328,0.565072,0.388,0.296,0.306,0.255072,sleep debt overrides avatar request
32,Sol,ledger_sort,sleep_recovery,0.60064,0.46899,0.3642,0.3918,0.2552,0.18019,sleep debt overrides avatar request
33,Ari,repair_route,repair_route,0.60144,0.414928,0.4416,0.4592,0.2724,0.358272,routine adapted from repeated interaction
34,Fay,hearth_care,sleep_recovery,0.13536,0.43465,0.4388,0.5176,0.2608,0.38255,sleep debt overrides avatar request
35,Milo,market_scan,sleep_recovery,0.6096,0.586992,0.368,0.336,0.326,0.316992,sleep debt overrides avatar request
36,Sol,ledger_sort,sleep_recovery,0.6024,0.482302,0.3512,0.4334,0.2448,0.222102,sleep debt overrides avatar request
37,Ari,repair_route,boundary_pause,0.1232,0.35464,0.5088,0.5008,0.2596,0.51456,learned to protect boundary under pressure
38,Fay,hearth_care,hearth_care,0.61216,0.454838,0.4208,0.5536,0.2788,0.408038,routine adapted from repeated interaction
39,Milo,market_scan,market_scan,0.73136,0.633264,0.348,0.348,0.326,0.355264,routine adapted from repeated interaction
40,Sol,ledger_sort,ledger_sort,0.72416,0.511443,0.3382,0.4256,0.2448,0.230443,routine adapted from repeated interaction
41,Ari,repair_route,sleep_recovery,0.6,0.37064,0.4928,0.5328,0.2756,0.53056,sleep debt overrides avatar request
42,Fay,hearth_care,hearth_care,0.73392,0.496944,0.4028,0.5644,0.2788,0.442944,routine adapted from repeated interaction
43,Milo,market_scan,teach_word,0.73312,0.679888,0.328,0.336,0.326,0.369888,stable trust allows language teaching
44,Sol,ledger_sort,ledger_sort,0.72592,0.540813,0.3252,0.4178,0.2448,0.239013,routine adapted from repeated interaction
45,Ari,repair_route,repair_route,0.60176,0.386922,0.4768,0.584,0.2628,0.536678,routine adapted from repeated interaction
46,Fay,hearth_care,teach_word,0.73568,0.539366,0.3848,0.5536,0.2788,0.456566,stable trust allows language teaching
47,Milo,market_scan,teach_word,0.61488,0.702864,0.308,0.376,0.31,0.420864,stable trust allows language teaching
48,Sol,ledger_sort,sleep_recovery,0.42768,0.531411,0.3252,0.4516,0.2344,0.273811,sleep debt overrides avatar request
49,Ari,repair_route,repair_route,0.72352,0.422685,0.4608,0.5744,0.2628,0.475315,routine adapted from repeated interaction
50,Fay,hearth_care,teach_word,0.73744,0.582106,0.3668,0.5428,0.2788,0.470506,stable trust allows language teaching
51,Milo,market_scan,market_scan,0.43664,0.690192,0.308,0.428,0.294,0.444192,routine adapted from repeated interaction
52,Sol,ledger_sort,sleep_recovery,0.12768,0.48301,0.3798,0.4854,0.224,0.32421,sleep debt overrides avatar request
53,Ari,repair_route,repair_route,0.72528,0.45873,0.4448,0.5648,0.2628,0.43113,routine adapted from repeated interaction
54,Fay,hearth_care,hearth_care,0.5592,0.592762,0.3668,0.5428,0.2788,0.481162,routine adapted from repeated interaction
