tick,day,loop_id,agent,posture_change,movement_delta,object_access_delta,proximity_delta,visible_expression_bound_to_turn,body_world_expression_score
0,1,v18-loop-001,Keth,points foot toward exit,0.1,0.08,0.109744,1,0.5
1,1,v18-loop-001,Melo,touches tally beads before answering,0.2,0.14,0.12232,0,0.75
2,1,v18-loop-001,Nari,keeps ledger between body and avatar,0.2,0.28,0.1516,1,1.0
3,1,v18-loop-001,Ori,keeps one hand on sap hook,0.2,0.28,0.19152,1,1.0
4,1,v18-loop-001,Vonn,steps back then nods,0.1,0.08,0.10312,0,0.25
5,1,v18-loop-001,Sova,wraps shoulders and faces partly aside,0.24,0.28,0.179472,1,1.0
6,1,v18-loop-002,Keth,points foot toward exit,0.2,0.28,0.17232,1,1.0
7,1,v18-loop-002,Melo,touches tally beads before answering,0.2,0.28,0.2028,1,1.0
8,1,v18-loop-002,Nari,keeps ledger between body and avatar,0.1,0.14,0.10312,0,0.5
9,1,v18-loop-002,Ori,keeps one hand on sap hook,0.24,0.28,0.179472,1,1.0
10,1,v18-loop-002,Vonn,steps back then nods,0.24,0.28,0.189072,1,1.0
11,1,v18-loop-002,Sova,wraps shoulders and faces partly aside,0.2,0.28,0.2028,1,1.0
12,2,v18-loop-003,Melo,touches tally beads before answering,0.16,0.18,0.100928,1,1.0
13,2,v18-loop-003,Nari,keeps ledger between body and avatar,0.26,0.32,0.160528,1,1.0
14,2,v18-loop-003,Ori,keeps one hand on sap hook,0.26,0.32,0.19648,1,1.0
15,2,v18-loop-003,Vonn,steps back then nods,0.26,0.32,0.1988,0,0.75
16,2,v18-loop-003,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.194032,1,1.0
17,2,v18-loop-003,Keth,points foot toward exit,0.3,0.32,0.194032,1,1.0
18,2,v18-loop-004,Melo,touches tally beads before answering,0.26,0.32,0.18688,1,1.0
19,2,v18-loop-004,Nari,keeps ledger between body and avatar,0.26,0.32,0.2044,1,1.0
20,2,v18-loop-004,Ori,keeps one hand on sap hook,0.1,0.18,0.10312,1,0.75
21,2,v18-loop-004,Vonn,steps back then nods,0.26,0.26,0.203632,1,1.0
22,2,v18-loop-004,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.182912,1,1.0
23,2,v18-loop-004,Keth,points foot toward exit,0.26,0.32,0.19648,1,1.0
24,3,v18-loop-005,Nari,keeps ledger between body and avatar,0.16,0.18,0.09696,1,0.75
25,3,v18-loop-005,Ori,keeps one hand on sap hook,0.26,0.28,0.15656,1,1.0
26,3,v18-loop-005,Vonn,steps back then nods,0.26,0.32,0.19648,1,1.0
27,3,v18-loop-005,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.202,1,1.0
28,3,v18-loop-005,Keth,points foot toward exit,0.26,0.32,0.190064,1,1.0
29,3,v18-loop-005,Melo,touches tally beads before answering,0.3,0.32,0.194032,1,1.0
30,3,v18-loop-006,Nari,keeps ledger between body and avatar,0.26,0.18,0.13688,0,0.75
31,3,v18-loop-006,Ori,keeps one hand on sap hook,0.16,0.12,0.142512,1,1.0
32,3,v18-loop-006,Vonn,steps back then nods,0.26,0.32,0.16768,1,1.0
33,3,v18-loop-006,Sova,wraps shoulders and faces partly aside,0.26,0.32,0.17728,1,1.0
34,3,v18-loop-006,Keth,points foot toward exit,0.3,0.32,0.203632,1,1.0
35,3,v18-loop-006,Melo,touches tally beads before answering,0.26,0.32,0.2068,1,1.0
