metric,value
body_consequence_not_overdriven,0.810079
body_state_count,1008.0
body_state_environment_coupling,1.0
browser_spatial_surface,1.0
browser_tick_count,1008.0
browser_world_v39_spatial_body_readiness,0.932883
browser_world_v39_surface,1.0
dialect_memory_count,432.0
dialect_memory_multi_visit_persistence,1.0
environmental_exposure_count,815.0
html_button_count,30.0
html_localstorage_handler_count,2.0
mean_spatial_body_channel_score,0.985513
multi_visit_dialect_memory_count,420.0
navigation_count,1008.0
object_manipulation_count,372.0
object_manipulation_persistence,1.0
persistent_reload_integrity,1.0
persistent_spatial_state_count,191.0
play_day_count,84.0
private_workspace_boundary,1.0
resident_interaction_count,1008.0
resident_interaction_schedule_dialect_binding,0.9871031746031746
resident_schedule_binding,1.0
resident_schedule_count,1008.0
sensory_frequency_flower_room_binding,1.0
source_v38_continuity,1.0
spatial_room_navigation_binding,1.0
temperature_wetness_pain_consequence,1.0
weakest_channel_name,body_consequence_not_overdriven
weakest_channel_score,0.810079
