tick_id,day,route_id,replay_event,state_hash,includes_dialogue_animation,includes_merge_control,includes_snapshot_exchange,includes_delayed_reaction,includes_reload_persistence,replay_exportable
0,1,riverbend_roofward,riverbend_roofward:river ford:listening tilt:exchange pending,v33-625054,False,False,True,False,True,True
1,1,roofward_archive,roofward_archive:glass stair:careful pointing:idle,v33-637256,True,False,False,False,False,True
2,1,archive_signal,archive_signal:stone kiosk path:careful pointing:snapshot shared,v33-675802,True,True,True,False,False,True
3,1,signal_orchard,signal_orchard:dusk road:listening tilt:snapshot shared,v33-545390,True,False,True,False,False,True
4,1,orchard_riverbend,orchard_riverbend:fen track:careful pointing:idle,v33-617646,True,False,False,False,False,True
5,1,central_repair_ring,central_repair_ring:inner repair yard:listening tilt:snapshot shared,v33-740888,False,False,True,False,False,True
6,1,riverbend_roofward,riverbend_roofward:orchard ridge detour:listening tilt:snapshot shared,v33-774541,True,True,True,False,False,True
7,1,roofward_archive,roofward_archive:cool archive lane:careful pointing:snapshot shared,v33-719757,True,True,True,False,False,True
8,1,archive_signal,archive_signal:paper lane:guarded crossed arms:snapshot shared,v33-638038,True,True,True,True,False,True
9,1,signal_orchard,signal_orchard:river lantern loop:careful pointing:snapshot shared,v33-709906,True,True,True,False,False,True
10,1,orchard_riverbend,orchard_riverbend:fen track:careful pointing:snapshot shared,v33-627222,True,False,True,False,False,True
11,1,central_repair_ring,central_repair_ring:inner repair yard:listening tilt:snapshot shared,v33-751438,True,True,True,False,True,True
12,2,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-820961,True,False,True,True,True,True
13,2,roofward_archive,roofward_archive:cool archive lane:open forward lean:idle,v33-734652,True,False,False,True,False,True
14,2,archive_signal,archive_signal:stone kiosk path:open forward lean:snapshot shared,v33-691439,True,True,True,True,False,True
15,2,signal_orchard,signal_orchard:dusk road:guarded crossed arms:snapshot shared,v33-634089,False,True,True,True,False,True
16,2,orchard_riverbend,orchard_riverbend:fen track:listening tilt:idle,v33-599244,True,False,False,False,False,True
17,2,central_repair_ring,central_repair_ring:inner repair yard:guarded crossed arms:exchange pending,v33-837655,True,False,True,True,False,True
18,2,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-821831,True,True,True,False,False,True
19,2,roofward_archive,roofward_archive:cool archive lane:listening tilt:idle,v33-700561,True,False,False,False,False,True
20,2,archive_signal,archive_signal:paper lane:guarded crossed arms:snapshot shared,v33-647831,False,True,True,True,False,True
21,2,signal_orchard,signal_orchard:river lantern loop:open forward lean:snapshot shared,v33-724958,True,True,True,True,False,True
22,2,orchard_riverbend,orchard_riverbend:fen track:listening tilt:snapshot shared,v33-599079,True,False,True,False,False,True
23,2,central_repair_ring,central_repair_ring:inner repair yard:guarded crossed arms:idle,v33-837360,True,False,False,False,True,True
24,3,riverbend_roofward,riverbend_roofward:orchard ridge detour:open forward lean:snapshot shared,v33-821678,True,False,True,True,True,True
25,3,roofward_archive,roofward_archive:cool archive lane:route-board reach:idle,v33-734746,True,False,False,False,False,True
26,3,archive_signal,archive_signal:stone kiosk path:open forward lean:snapshot shared,v33-692264,True,True,True,True,False,True
