metric,value
source_scene_geometry_continuity,1.0
keyboard_avatar_movement_binding,1.0
arrow_movement_application,0.936782
live_scene_state_mutation,0.991667
scene_bounds_integrity,1.0
collision_blocking_integrity,1.0
proximity_prompt_accuracy,0.95637
proximity_prompt_visibility,0.922222
object_ceremony_state_persistence,0.976458
object_ceremony_storage_write,0.933333
object_owner_preservation,0.975
local_storage_scene_snapshot_integrity,0.974444
save_restore_position_integrity,0.988889
visible_restore_feedback,1.0
live_scene_replay_integrity,0.983975
multi_sensory_live_scene_binding,0.966667
comfort_pain_live_scene_bounds,1.0
visible_scene_mutation_surface,0.961111
collision_proximity_prompt_surface,0.922222
object_ceremony_visible_surface,0.933333
privacy_safe_live_scene_state,1.0
frequency_flower_live_scene_rhythm,1.0
browser_world_v21_surface_available,1.0
mean_live_scene_channel_score,0.97489
weakest_channel_score,0.922222
browser_world_v21_live_scene_mutation_readiness,0.952769
collision_prompt_count,18.0
restore_attempt_count,42.0
