snapshot_id,day,agent_id,active_goal,active_relationship_summary,schedule_summary,transcript_digest,local_storage_key,restore_verified
snap_1_ka60,1,ka60,advance dry-route repair without violating household boundary,avatar authored 'can I trade a fair token for the dry route pass [k' and route trade changed trust/boundary,day 1 westkeepers adds trade response in market_slot,can I trade a fair token for the dry route pass [katr6],ssrm238_memory,True
snap_1_mu61,1,mu61,advance warm meal care without violating household boundary,avatar authored 'I can help repair but you choose the tool [mubo6]' and route help changed trust/boundary,day 1 mossgarden adds help response in work_slot,I can help repair but you choose the tool [mubo6],ssrm238_memory,True
snap_1_lo62,1,lo62,advance fair count market without violating household boundary,avatar authored 'may I observe the ritual from the edge [lori6]' and route ritual_consent changed trust/boundary,day 1 ledgerkin adds ritual_consent response in ritual_slot,may I observe the ritual from the edge [lori6],ssrm238_memory,True
snap_1_sa63,1,sa63,advance public truth witness without violating household boundary,avatar authored 'sorry I stepped too close; I will move back [sase6' and route apology changed trust/boundary,day 1 redstair adds apology response in repair_slot,sorry I stepped too close; I will move back [sase6],ssrm238_memory,True
snap_1_ni64,1,ni64,advance safe wet repair without violating household boundary,avatar authored 'that thing maybe means something [nise6]' and route ambiguous changed trust/boundary,day 1 wheelwright adds ambiguous response in clarify_slot,that thing maybe means something [nise6],ssrm238_memory,True
snap_2_ka60,2,ka60,advance dry-route repair without violating household boundary,avatar authored 'I can help repair but you choose the tool [kabo6]' and route help changed trust/boundary,day 2 westkeepers adds help response in work_slot,I can help repair but you choose the tool [kabo6],ssrm238_memory,True
snap_2_mu61,2,mu61,advance warm meal care without violating household boundary,avatar authored 'may I observe the ritual from the edge [muri6]' and route ritual_consent changed trust/boundary,day 2 mossgarden adds ritual_consent response in ritual_slot,may I observe the ritual from the edge [muri6],ssrm238_memory,True
snap_2_lo62,2,lo62,advance fair count market without violating household boundary,avatar authored 'sorry I stepped too close; I will move back [lose6' and route apology changed trust/boundary,day 2 ledgerkin adds apology response in repair_slot,sorry I stepped too close; I will move back [lose6],ssrm238_memory,True
snap_2_sa63,2,sa63,advance public truth witness without violating household boundary,avatar authored 'that thing maybe means something [sase6]' and route ambiguous changed trust/boundary,day 2 redstair adds ambiguous response in clarify_slot,that thing maybe means something [sase6],ssrm238_memory,True
snap_2_ni64,2,ni64,advance safe wet repair without violating household boundary,"avatar authored 'hello Ka60, I will keep distance while asking your' and route greet changed trust/boundary",day 2 wheelwright adds greet response in planning_slot,"hello Ka60, I will keep distance while asking your goal [nibo6]",ssrm238_memory,True
snap_3_ka60,3,ka60,advance dry-route repair without violating household boundary,avatar authored 'may I observe the ritual from the edge [kari6]' and route ritual_consent changed trust/boundary,day 3 westkeepers adds ritual_consent response in ritual_slot,may I observe the ritual from the edge [kari6],ssrm238_memory,True
snap_3_mu61,3,mu61,advance warm meal care without violating household boundary,avatar authored 'sorry I stepped too close; I will move back [muse6' and route apology changed trust/boundary,day 3 mossgarden adds apology response in repair_slot,sorry I stepped too close; I will move back [muse6],ssrm238_memory,True
snap_3_lo62,3,lo62,advance fair count market without violating household boundary,avatar authored 'that thing maybe means something [lose6]' and route ambiguous changed trust/boundary,day 3 ledgerkin adds ambiguous response in clarify_slot,that thing maybe means something [lose6],ssrm238_memory,True
snap_3_sa63,3,sa63,advance public truth witness without violating household boundary,"avatar authored 'hello Ka60, I will keep distance while asking your' and route greet changed trust/boundary",day 3 redstair adds greet response in planning_slot,"hello Ka60, I will keep distance while asking your goal [sabo6]",ssrm238_memory,True
snap_3_ni64,3,ni64,advance safe wet repair without violating household boundary,avatar authored 'can I trade a fair token for the dry route pass [n' and route trade changed trust/boundary,day 3 wheelwright adds trade response in market_slot,can I trade a fair token for the dry route pass [nitr6],ssrm238_memory,True
snap_5_ka60,5,ka60,advance dry-route repair without violating household boundary,avatar authored 'that thing maybe means something [kase6]' and route ambiguous changed trust/boundary,day 5 westkeepers adds ambiguous response in clarify_slot,that thing maybe means something [kase6],ssrm238_memory,True
snap_5_mu61,5,mu61,advance warm meal care without violating household boundary,"avatar authored 'hello Ka60, I will keep distance while asking your' and route greet changed trust/boundary",day 5 mossgarden adds greet response in planning_slot,"hello Ka60, I will keep distance while asking your goal [mubo6]",ssrm238_memory,True
snap_5_lo62,5,lo62,advance fair count market without violating household boundary,avatar authored 'can I trade a fair token for the dry route pass [l' and route trade changed trust/boundary,day 5 ledgerkin adds trade response in market_slot,can I trade a fair token for the dry route pass [lotr6],ssrm238_memory,True
snap_5_sa63,5,sa63,advance public truth witness without violating household boundary,avatar authored 'I can help repair but you choose the tool [sabo6]' and route help changed trust/boundary,day 5 redstair adds help response in work_slot,I can help repair but you choose the tool [sabo6],ssrm238_memory,True
snap_5_ni64,5,ni64,advance safe wet repair without violating household boundary,avatar authored 'may I observe the ritual from the edge [niri6]' and route ritual_consent changed trust/boundary,day 5 wheelwright adds ritual_consent response in ritual_slot,may I observe the ritual from the edge [niri6],ssrm238_memory,True
snap_8_ka60,8,ka60,advance dry-route repair without violating household boundary,avatar authored 'I can help repair but you choose the tool [kabo6]' and route help changed trust/boundary,day 8 westkeepers adds help response in work_slot,I can help repair but you choose the tool [kabo6],ssrm238_memory,True
snap_8_mu61,8,mu61,advance warm meal care without violating household boundary,avatar authored 'may I observe the ritual from the edge [muri6]' and route ritual_consent changed trust/boundary,day 8 mossgarden adds ritual_consent response in ritual_slot,may I observe the ritual from the edge [muri6],ssrm238_memory,True
snap_8_lo62,8,lo62,advance fair count market without violating household boundary,avatar authored 'sorry I stepped too close; I will move back [lose6' and route apology changed trust/boundary,day 8 ledgerkin adds apology response in repair_slot,sorry I stepped too close; I will move back [lose6],ssrm238_memory,True
snap_8_sa63,8,sa63,advance public truth witness without violating household boundary,avatar authored 'that thing maybe means something [sase6]' and route ambiguous changed trust/boundary,day 8 redstair adds ambiguous response in clarify_slot,that thing maybe means something [sase6],ssrm238_memory,True
snap_8_ni64,8,ni64,advance safe wet repair without violating household boundary,"avatar authored 'hello Ka60, I will keep distance while asking your' and route greet changed trust/boundary",day 8 wheelwright adds greet response in planning_slot,"hello Ka60, I will keep distance while asking your goal [nibo6]",ssrm238_memory,True
snap_13_ka60,13,ka60,advance dry-route repair without violating household boundary,avatar authored 'can I trade a fair token for the dry route pass [k' and route trade changed trust/boundary,day 13 westkeepers adds trade response in market_slot,can I trade a fair token for the dry route pass [katr6],ssrm238_memory,True
snap_13_mu61,13,mu61,advance warm meal care without violating household boundary,avatar authored 'I can help repair but you choose the tool [mubo6]' and route help changed trust/boundary,day 13 mossgarden adds help response in work_slot,I can help repair but you choose the tool [mubo6],ssrm238_memory,True
snap_13_lo62,13,lo62,advance fair count market without violating household boundary,avatar authored 'may I observe the ritual from the edge [lori6]' and route ritual_consent changed trust/boundary,day 13 ledgerkin adds ritual_consent response in ritual_slot,may I observe the ritual from the edge [lori6],ssrm238_memory,True
snap_13_sa63,13,sa63,advance public truth witness without violating household boundary,avatar authored 'sorry I stepped too close; I will move back [sase6' and route apology changed trust/boundary,day 13 redstair adds apology response in repair_slot,sorry I stepped too close; I will move back [sase6],ssrm238_memory,True
snap_13_ni64,13,ni64,advance safe wet repair without violating household boundary,avatar authored 'that thing maybe means something [nise6]' and route ambiguous changed trust/boundary,day 13 wheelwright adds ambiguous response in clarify_slot,that thing maybe means something [nise6],ssrm238_memory,True
