tick,event_type,year,actor_or_layer,public_fact,private_digest,learning_effect,mutation_effect,institution_effect,demographic_effect,readable_marker,vibration_hz,flower_phase
1,generation_cohort,0,cohort-01,40 children inherit proto-hearth and choose: kept old warmth ritual despite faster ration queue,sealed:cohort-private-child-lives,do not name body-pain in public,cohort may preserve or mutate inherited form,hearth-keepers,survival 0.70; need warmth,children cluster near mentor bodies before choosing work,114.338886,1
2,generation_cohort,160,cohort-02,43 children inherit proto-hearth and choose: changed route chant after flood season,sealed:cohort-private-child-lives,do not name body-pain in public,cohort may preserve or mutate inherited form,route-workshop,survival 0.76; need safe routes,children cluster near mentor bodies before choosing work,123.608903,2
57,demographic_event,240,demo-wet-winter,mortality-pressure changes population by -8: wet winter raised rest debt,sealed:demo-wet-winter:private-body-family-details,warmth ritual survives as care infrastructure,demographic pressure changes cultural selection,hearth-keepers expanded warm-stone-near-rest,traceability 0.92; affected cohort-02;cohort-03,population marker changes without exposing private family records,323.65,10
3,generation_cohort,320,cohort-03,46 children inherit proto-hearth and choose: refused to expose private care names in lesson board,sealed:cohort-private-child-lives,flood debt becomes shared carrying duty,cohort may preserve or mutate inherited form,archive-speakers,survival 0.77; need sealed care,children cluster near mentor bodies before choosing work,132.447312,3
25,child_to_adult_learning,320,cohort-02,child-play learns body-boundary words through stand near warmth stone and decline public naming,sealed:cohort-02:child-learning-private-state,completion 0.72; transfer 0.68,phrase ko-avra flor can mutate later,route-workshop,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",217.0,2
37,cultural_mutation,320,mut-warmth-chime,warm-stone-near-rest mutates toward thermal blanket chime; adopted=True,sealed:mutation-private-motive-map,source cohort cohort-03,survival 12; continuity 0.88; risk 0.14,hearth-keepers adopt after two child cohorts,long cold season,agents try new form at edge of old ritual,142.0,1
4,generation_cohort,480,cohort-04,51 children inherit reed-route and choose: moved tool receipts to public wall,sealed:cohort-private-child-lives,flood debt becomes shared carrying duty,cohort may preserve or mutate inherited form,flower-council,survival 0.78; need water trust,children cluster near mentor bodies before choosing work,141.297844,4
49,institution_competition,520,contest-tools,route-workshop vs runner guilds: tool access for moving repair work,sealed:contest-private-faction-memory,children inherit contest result as norm,institution contest selects or rejects mutation,winner route-workshop; resolved=True; settlement runner witness lane added,debt 0.10; legitimacy +0.04,council ring opens a gap for challenger and incumbent,299.3,2
5,generation_cohort,640,cohort-05,52 children inherit reed-route and choose: split water duty into witness pairs,sealed:cohort-private-child-lives,repair is care infrastructure,cohort may preserve or mutate inherited form,cistern-guild,survival 0.82; need repair tools,children cluster near mentor bodies before choosing work,150.345038,5
26,child_to_adult_learning,640,cohort-04,apprentice-body-practice learns water carrying duty through carry small water bowl with witness pair,sealed:cohort-04:child-learning-private-state,completion 0.77; transfer 0.78,phrase vey-sola neshla can mutate later,flower-council,learning affects adult institution choice,"child repeats phrase through body practice, not debug table",219.2,3
