tick,day,scene_id,agent,previous_reaction,consequence_kind,path_bias_x,path_bias_y,access_gate_state,object_request_bias,followup_changed,behavior_consequence_score
0,1,v23-scene-d01,Keth,watching,watchful-default,0.04,0.02,conditional,0,0,0.55
1,1,v23-scene-d01,Ori,watching,watchful-default,0.04,0.02,conditional,0,0,0.75
2,1,v23-scene-d01,Ori,watching,watchful-default,0.04,0.02,conditional,0,0,0.55
3,1,v23-scene-d01,Nari,watching,watchful-default,0.04,0.02,conditional,0,0,0.55
4,1,v23-scene-d01,Sova,watching,watchful-default,0.04,0.02,conditional,0,0,0.55
5,1,v23-scene-d01,Melo,watching,watchful-default,0.04,0.02,conditional,0,0,0.75
6,1,v23-scene-d01,Nari,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
7,1,v23-scene-d01,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
8,1,v23-scene-d01,Sova,watching,watchful-default,0.04,0.02,conditional,0,0,0.55
9,1,v23-scene-d01,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
10,1,v23-scene-d01,Sova,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
11,1,v23-scene-d01,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
12,1,v23-scene-d01,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
13,1,v23-scene-d01,Melo,watching,watchful-default,0.04,0.02,conditional,0,0,0.75
14,1,v23-scene-d01,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
15,1,v23-scene-d01,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
16,2,v23-scene-d02,Nari,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
17,2,v23-scene-d02,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
18,2,v23-scene-d02,Vonn,watching,watchful-default,0.04,0.02,conditional,0,0,0.55
19,2,v23-scene-d02,Vonn,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
20,2,v23-scene-d02,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
21,2,v23-scene-d02,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
22,2,v23-scene-d02,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,0.95
23,2,v23-scene-d02,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
24,2,v23-scene-d02,Melo,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
25,2,v23-scene-d02,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
26,2,v23-scene-d02,Vonn,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
27,2,v23-scene-d02,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
28,2,v23-scene-d02,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
29,2,v23-scene-d02,Sova,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
30,2,v23-scene-d02,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
31,2,v23-scene-d02,Melo,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
32,3,v23-scene-d03,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,0.95
33,3,v23-scene-d03,Nari,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
34,3,v23-scene-d03,Sova,curious,object-inspection,0.16,0.08,conditional,1,0,1.0
35,3,v23-scene-d03,Keth,welcoming,nearby-help,0.25,-0.05,open,0,0,0.75
36,3,v23-scene-d03,Sova,asks-space,avoidance-path,-0.34,0.22,closed,1,1,1.0
37,3,v23-scene-d03,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,0.95
38,3,v23-scene-d03,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
39,3,v23-scene-d03,Ori,welcoming,nearby-help,0.25,-0.05,open,0,0,1.0
40,3,v23-scene-d03,Melo,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
41,3,v23-scene-d03,Sova,softens,approach-and-request,0.22,-0.12,open,1,1,1.0
42,3,v23-scene-d03,Nari,curious,object-inspection,0.16,0.08,conditional,1,0,0.95
43,3,v23-scene-d03,Sova,guarded,conditional-access,-0.18,0.14,conditional,1,1,1.0
44,3,v23-scene-d03,Vonn,welcoming,nearby-help,0.25,-0.05,open,0,0,0.8
