tick,day,cause_action,direct_effect,delayed_effect,affected_resident,affected_resource,trust_delta,schedule_delta,recovery_path,no_history_erasure,harm_recoverable
0,1,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,rest->negotiate debt,return object,True,True
1,1,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Tovan,wood,0.02,negotiate debt->seek tool,offer help,True,True
2,1,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Nia,care,-0.02,seek tool->private task,give space,True,True
3,1,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,care duty->private task,finish owed work,True,True
4,1,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,private task->work,rest before retry,True,True
5,1,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Milo,care,0.002,recover focus->work,apologize and wait,True,True
6,1,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,work->rest,return object,True,True
7,1,move,position changes but history remains intact,scheduler and debt panel update after reload,Tovan,wood,0.004,rest->negotiate debt,offer help,True,True
8,1,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,negotiate debt->seek tool,give space,True,True
9,1,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,seek tool->care duty,finish owed work,True,True
10,1,borrow_tool,work is delayed and debt marker increases,scheduler and debt panel update after reload,Fay,wood,-0.02,care duty->recover focus,rest before retry,True,True
11,1,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,private task->recover focus,apologize and wait,True,True
12,1,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Sera,water,-0.02,recover focus->rest,return object,True,False
13,1,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Tovan,wood,0.002,work->rest,offer help,True,True
14,1,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Nia,care,0.016,rest->negotiate debt,give space,True,True
15,1,move,position changes but history remains intact,scheduler and debt panel update after reload,Ari,water,0.004,negotiate debt->seek tool,finish owed work,True,True
16,1,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Fay,wood,0.016,seek tool->care duty,rest before retry,True,True
17,1,offer_help,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.016,care duty->private task,apologize and wait,True,True
18,2,return_tool,trust warms and obligation decreases,scheduler and debt panel update after reload,Sera,water,0.02,recover focus->work,offer help,True,True
19,2,interrupt_work,work is delayed and debt marker increases,scheduler and debt panel update after reload,Tovan,wood,-0.02,work->negotiate debt,give space,True,True
20,2,wait_offscreen,residents continue without avatar,scheduler and debt panel update after reload,Nia,care,-0.002,rest->negotiate debt,finish owed work,True,True
21,2,repair_trust,trust warms and obligation decreases,scheduler and debt panel update after reload,Ari,water,0.016,negotiate debt->seek tool,rest before retry,True,True
22,2,move,position changes but history remains intact,scheduler and debt panel update after reload,Fay,wood,0.004,seek tool->care duty,apologize and wait,True,True
23,2,talk,trust warms and obligation decreases,scheduler and debt panel update after reload,Milo,care,0.02,care duty->private task,return object,True,True
