scenario,context_count,agent,episodes,mean_total_reward,mean_probe_count,mean_risky_count,mean_safe_count,mean_failed_risky_count,mean_success_rate
independent_hidden,1,greedy_no_state,500,4.0,0.0,1.0,0.0,0.5,0.5
independent_hidden,1,oracle_reuse,500,16.0,0.0,0.5,0.5,0.0,1.0
independent_hidden,1,safe_no_state,500,8.0,0.0,0.0,1.0,0.0,1.0
independent_hidden,1,shared_self_reuse,500,15.0,1.0,0.5,0.5,0.0,1.0
independent_hidden,1,shared_world_reuse,500,3.0,1.0,1.0,0.0,0.5,0.5
independent_hidden,1,task_local_probe,500,15.0,1.0,0.5,0.5,0.0,1.0
independent_hidden,2,greedy_no_state,500,11.216,0.0,2.0,0.0,0.902,0.549
independent_hidden,2,oracle_reuse,500,41.784,0.0,1.098,0.902,0.0,1.0
independent_hidden,2,safe_no_state,500,22.0,0.0,0.0,2.0,0.0,1.0
independent_hidden,2,shared_self_reuse,500,24.456,1.0,1.088,0.912,0.252,0.874
independent_hidden,2,shared_world_reuse,500,10.216,1.0,2.0,0.0,0.902,0.549
independent_hidden,2,task_local_probe,500,39.784,2.0,1.098,0.902,0.0,1.0
independent_hidden,3,greedy_no_state,500,16.384,0.0,3.0,0.0,1.312,0.5626666666666666
independent_hidden,3,oracle_reuse,500,59.72,0.0,1.688,1.312,0.0,1.0
independent_hidden,3,safe_no_state,500,34.0,0.0,0.0,3.0,0.0,1.0
independent_hidden,3,shared_self_reuse,500,32.688,1.0,1.74,1.26,0.514,0.8286666666666667
independent_hidden,3,shared_world_reuse,500,15.384,1.0,3.0,0.0,1.312,0.5626666666666666
independent_hidden,3,task_local_probe,500,56.72,3.0,1.688,1.312,0.0,1.0
independent_hidden,4,greedy_no_state,500,19.336,0.0,4.0,0.0,1.83,0.5425
independent_hidden,4,oracle_reuse,500,79.168,0.0,2.17,1.83,0.0,1.0
independent_hidden,4,safe_no_state,500,45.0,0.0,0.0,4.0,0.0,1.0
independent_hidden,4,shared_self_reuse,500,41.716,1.0,2.128,1.872,0.698,0.8255
independent_hidden,4,shared_world_reuse,500,18.336,1.0,4.0,0.0,1.83,0.5425
independent_hidden,4,task_local_probe,500,75.168,4.0,2.17,1.83,0.0,1.0
independent_hidden,5,greedy_no_state,500,24.14,0.0,5.0,0.0,2.274,0.5452
independent_hidden,5,oracle_reuse,500,92.492,0.0,2.726,2.274,0.0,1.0
independent_hidden,5,safe_no_state,500,52.0,0.0,0.0,5.0,0.0,1.0
independent_hidden,5,shared_self_reuse,500,46.268,1.0,2.6,2.4,0.93,0.814
independent_hidden,5,shared_world_reuse,500,23.14,1.0,5.0,0.0,2.274,0.5452
independent_hidden,5,task_local_probe,500,87.492,5.0,2.726,2.274,0.0,1.0
independent_hidden,6,greedy_no_state,500,29.304,0.0,6.0,0.0,2.682,0.553
independent_hidden,6,oracle_reuse,500,111.554,0.0,3.318,2.682,0.0,1.0
independent_hidden,6,safe_no_state,500,62.0,0.0,0.0,6.0,0.0,1.0
independent_hidden,6,shared_self_reuse,500,51.048,1.0,3.54,2.46,1.342,0.7763333333333333
independent_hidden,6,shared_world_reuse,500,28.304,1.0,6.0,0.0,2.682,0.553
independent_hidden,6,task_local_probe,500,105.554,6.0,3.318,2.682,0.0,1.0
irrelevant_control,1,greedy_no_state,500,24.0,0.0,1.0,0.0,0.0,1.0
irrelevant_control,1,oracle_reuse,500,24.0,0.0,1.0,0.0,0.0,1.0
irrelevant_control,1,safe_no_state,500,8.0,0.0,0.0,1.0,0.0,1.0
irrelevant_control,1,shared_self_reuse,500,23.0,1.0,1.0,0.0,0.0,1.0
irrelevant_control,1,shared_world_reuse,500,23.0,1.0,1.0,0.0,0.0,1.0
irrelevant_control,1,task_local_probe,500,23.0,1.0,1.0,0.0,0.0,1.0
irrelevant_control,2,greedy_no_state,500,58.0,0.0,2.0,0.0,0.0,1.0
irrelevant_control,2,oracle_reuse,500,58.0,0.0,2.0,0.0,0.0,1.0
irrelevant_control,2,safe_no_state,500,22.0,0.0,0.0,2.0,0.0,1.0
irrelevant_control,2,shared_self_reuse,500,57.0,1.0,2.0,0.0,0.0,1.0
irrelevant_control,2,shared_world_reuse,500,57.0,1.0,2.0,0.0,0.0,1.0
irrelevant_control,2,task_local_probe,500,56.0,2.0,2.0,0.0,0.0,1.0
irrelevant_control,3,greedy_no_state,500,80.0,0.0,3.0,0.0,0.0,1.0
irrelevant_control,3,oracle_reuse,500,80.0,0.0,3.0,0.0,0.0,1.0
irrelevant_control,3,safe_no_state,500,34.0,0.0,0.0,3.0,0.0,1.0
irrelevant_control,3,shared_self_reuse,500,79.0,1.0,3.0,0.0,0.0,1.0
irrelevant_control,3,shared_world_reuse,500,79.0,1.0,3.0,0.0,0.0,1.0
irrelevant_control,3,task_local_probe,500,77.0,3.0,3.0,0.0,0.0,1.0
irrelevant_control,4,greedy_no_state,500,108.0,0.0,4.0,0.0,0.0,1.0
irrelevant_control,4,oracle_reuse,500,108.0,0.0,4.0,0.0,0.0,1.0
irrelevant_control,4,safe_no_state,500,45.0,0.0,0.0,4.0,0.0,1.0
irrelevant_control,4,shared_self_reuse,500,107.0,1.0,4.0,0.0,0.0,1.0
irrelevant_control,4,shared_world_reuse,500,107.0,1.0,4.0,0.0,0.0,1.0
irrelevant_control,4,task_local_probe,500,104.0,4.0,4.0,0.0,0.0,1.0
irrelevant_control,5,greedy_no_state,500,126.0,0.0,5.0,0.0,0.0,1.0
irrelevant_control,5,oracle_reuse,500,126.0,0.0,5.0,0.0,0.0,1.0
irrelevant_control,5,safe_no_state,500,52.0,0.0,0.0,5.0,0.0,1.0
irrelevant_control,5,shared_self_reuse,500,125.0,1.0,5.0,0.0,0.0,1.0
irrelevant_control,5,shared_world_reuse,500,125.0,1.0,5.0,0.0,0.0,1.0
irrelevant_control,5,task_local_probe,500,121.0,5.0,5.0,0.0,0.0,1.0
irrelevant_control,6,greedy_no_state,500,152.0,0.0,6.0,0.0,0.0,1.0
