tick,day,resident,cause_action,direct_effect,delayed_effect,affected_resource,recovery_path,causal_chain_id,chain_scrubbable,non_magical_trust_repair
0,1,Nia,talk,trust warms,movement only,fiber,finish owed work,chain:nia:talk:001:00,True,True
1,1,Ari,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:offer_help:001:01,True,True
2,1,Fay,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:borrow_tool:001:02,True,True
3,1,Milo,return_tool,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:return_tool:001:03,True,True
4,1,Sera,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:interrupt_work:001:04,True,True
5,1,Tovan,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:wait_offscreen:001:05,True,True
6,1,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:repair_trust:001:06,True,True
7,1,Ari,move,trust warms,movement only,wood,apologize,chain:ari:move:001:07,True,True
8,1,Fay,talk,trust warms,movement only,herb,return tool,chain:fay:talk:001:08,True,True
9,1,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,care,give space,chain:milo:offer_help:001:09,True,True
10,1,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,offer help,chain:sera:borrow_tool:001:10,True,True
11,1,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:return_tool:001:11,True,True
12,1,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,finish owed work,chain:nia:interrupt_work:001:12,True,True
13,1,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,apologize,chain:ari:wait_offscreen:001:13,True,True
14,1,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,return tool,chain:fay:repair_trust:001:14,True,True
15,1,Milo,move,trust warms,movement only,care,give space,chain:milo:move:001:15,True,True
16,1,Sera,talk,trust warms,movement only,tool time,offer help,chain:sera:talk:001:16,True,True
17,1,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,water,wait,chain:tovan:offer_help:001:17,True,True
18,2,Nia,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:return_tool:002:00,True,True
19,2,Ari,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:interrupt_work:002:01,True,True
20,2,Fay,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:wait_offscreen:002:02,True,True
21,2,Milo,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:repair_trust:002:03,True,True
22,2,Sera,move,trust warms,movement only,water,offer help,chain:sera:move:002:04,True,True
23,2,Tovan,talk,trust warms,movement only,fiber,wait,chain:tovan:talk:002:05,True,True
24,2,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,finish owed work,chain:nia:offer_help:002:06,True,True
25,2,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,apologize,chain:ari:borrow_tool:002:07,True,True
26,2,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:return_tool:002:08,True,True
27,2,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:interrupt_work:002:09,True,True
28,2,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:wait_offscreen:002:10,True,True
29,2,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:repair_trust:002:11,True,True
30,2,Nia,move,trust warms,movement only,wood,finish owed work,chain:nia:move:002:12,True,True
31,2,Ari,talk,trust warms,movement only,herb,apologize,chain:ari:talk:002:13,True,True
32,2,Fay,offer_help,trust warms,dashboard schedule/debt changes after restore,care,return tool,chain:fay:offer_help:002:14,True,True
33,2,Milo,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,give space,chain:milo:borrow_tool:002:15,True,True
34,2,Sera,return_tool,trust warms,dashboard schedule/debt changes after restore,water,offer help,chain:sera:return_tool:002:16,True,True
35,2,Tovan,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,wait,chain:tovan:interrupt_work:002:17,True,True
36,3,Nia,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:repair_trust:003:00,True,True
37,3,Ari,move,trust warms,movement only,care,apologize,chain:ari:move:003:01,True,True
38,3,Fay,talk,trust warms,movement only,tool time,return tool,chain:fay:talk:003:02,True,True
39,3,Milo,offer_help,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:offer_help:003:03,True,True
40,3,Sera,borrow_tool,trust cools,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:borrow_tool:003:04,True,True
41,3,Tovan,return_tool,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:return_tool:003:05,True,True
42,3,Nia,interrupt_work,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:interrupt_work:003:06,True,True
43,3,Ari,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:wait_offscreen:003:07,True,True
44,3,Fay,repair_trust,trust warms,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:repair_trust:003:08,True,True
45,3,Milo,move,trust warms,movement only,water,give space,chain:milo:move:003:09,True,True
46,3,Sera,talk,trust warms,movement only,fiber,offer help,chain:sera:talk:003:10,True,True
47,3,Tovan,offer_help,trust warms,dashboard schedule/debt changes after restore,wood,wait,chain:tovan:offer_help:003:11,True,True
48,3,Nia,borrow_tool,trust cools,dashboard schedule/debt changes after restore,herb,finish owed work,chain:nia:borrow_tool:003:12,True,True
49,3,Ari,return_tool,trust warms,dashboard schedule/debt changes after restore,care,apologize,chain:ari:return_tool:003:13,True,True
50,3,Fay,interrupt_work,trust cools,dashboard schedule/debt changes after restore,tool time,return tool,chain:fay:interrupt_work:003:14,True,True
51,3,Milo,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,water,give space,chain:milo:wait_offscreen:003:15,True,True
52,3,Sera,repair_trust,trust warms,dashboard schedule/debt changes after restore,fiber,offer help,chain:sera:repair_trust:003:16,True,True
53,3,Tovan,move,trust warms,movement only,wood,wait,chain:tovan:move:003:17,True,True
54,4,Nia,offer_help,trust warms,dashboard schedule/debt changes after restore,care,finish owed work,chain:nia:offer_help:004:00,True,True
55,4,Ari,borrow_tool,trust cools,dashboard schedule/debt changes after restore,tool time,apologize,chain:ari:borrow_tool:004:01,True,True
56,4,Fay,return_tool,trust warms,dashboard schedule/debt changes after restore,water,return tool,chain:fay:return_tool:004:02,True,True
57,4,Milo,interrupt_work,trust cools,dashboard schedule/debt changes after restore,fiber,give space,chain:milo:interrupt_work:004:03,True,True
58,4,Sera,wait_offscreen,trust warms,dashboard schedule/debt changes after restore,wood,offer help,chain:sera:wait_offscreen:004:04,True,True
59,4,Tovan,repair_trust,trust warms,dashboard schedule/debt changes after restore,herb,wait,chain:tovan:repair_trust:004:05,True,True
