metric,value
source_v50_continuity,1.0
first_person_arrival_binding,1.0
resident_greeting_protocol_trace,1.0
translation_uncertainty_trace,1.0
local_law_custom_constraint_trace,1.0
avatar_choice_trust_consequence,0.9621913580246914
arrival_history_integrity,1.0
multi_reload_arrival_integrity,0.98125
browser_v51_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_arrival_binding,1.0
history_not_erased_by_avatar_choice,0.842
browser_world_v51_surface,1.0
weakest_channel_name,history_not_erased_by_avatar_choice
mean_playable_arrival_channel_score,0.983495
weakest_channel_score,0.842
browser_world_v51_playable_arrival_readiness,0.941046
arrival_day_count,144.0
first_person_arrival_count,2592.0
greeting_protocol_count,2592.0
translation_uncertainty_count,2592.0
local_custom_constraint_count,2592.0
avatar_choice_trust_count,2592.0
arrival_history_integrity_count,519.0
arrival_reload_probe_count,320.0
browser_tick_count,2592.0
html_button_count,122.0
html_localstorage_handler_count,3.0
