generation,year,settlement_id,ritual_name,ritual_function,flower_node,frequency_rate_hz,sensory_anchor,social_boundary_taught,inherited_ritual,variation_marker
1,30,riverbend,plank-listening-object blessing,teach dry crossing and bounded consent,node-03,0.395,river slap and cedar resin,ask before touching owned tools,False,v1.1
1,30,roofward,sun-ledger-boundary asking,teach herb preservation and bounded consent,node-05,0.415,hinge ticks and thyme paper,ask before touching owned tools,False,v1.2
1,30,archive,spool-naming-grief return,teach signal memory and bounded consent,node-08,0.435,page flutter and ink linen,ask before touching owned tools,False,v1.3
1,30,signal,lantern-turning-child naming,teach path visibility and bounded consent,node-11,0.455,static crickets and lamp oil,ask before touching owned tools,False,v1.4
1,30,orchard,satchel-vow-trade witness,teach dry seed continuity and bounded consent,node-01,0.475,cart creak and apple soil,ask before touching owned tools,False,v1.5
1,30,repair_ring,spark-distance-avatar waiting myth,teach safe repair space and bounded consent,node-09,0.495,bell hum and hot copper,ask before touching owned tools,False,v1.6
2,60,riverbend,plank-listening-boundary asking,teach dry crossing and bounded consent,node-03,0.398,river slap and cedar resin,ask before touching owned tools,True,v1.2
2,60,roofward,sun-ledger-grief return,teach herb preservation and bounded consent,node-05,0.418,hinge ticks and thyme paper,ask before touching owned tools,True,v1.3
2,60,archive,spool-naming-child naming,teach signal memory and bounded consent,node-08,0.438,page flutter and ink linen,ask before touching owned tools,True,v1.4
2,60,signal,lantern-turning-trade witness,teach path visibility and bounded consent,node-11,0.458,static crickets and lamp oil,ask before touching owned tools,True,v1.5
2,60,orchard,satchel-vow-avatar waiting myth,teach dry seed continuity and bounded consent,node-01,0.478,cart creak and apple soil,ask before touching owned tools,True,v1.6
2,60,repair_ring,spark-distance-founding vow,teach safe repair space and bounded consent,node-09,0.498,bell hum and hot copper,ask before touching owned tools,True,v1.7
3,90,riverbend,plank-listening-grief return,teach dry crossing and bounded consent,node-03,0.401,river slap and cedar resin,ask before touching owned tools,True,v1.3
3,90,roofward,sun-ledger-child naming,teach herb preservation and bounded consent,node-05,0.421,hinge ticks and thyme paper,ask before touching owned tools,True,v1.4
3,90,archive,spool-naming-trade witness,teach signal memory and bounded consent,node-08,0.441,page flutter and ink linen,ask before touching owned tools,True,v1.5
3,90,signal,lantern-turning-avatar waiting myth,teach path visibility and bounded consent,node-11,0.461,static crickets and lamp oil,ask before touching owned tools,True,v1.6
3,90,orchard,satchel-vow-founding vow,teach dry seed continuity and bounded consent,node-01,0.481,cart creak and apple soil,ask before touching owned tools,True,v1.7
3,90,repair_ring,spark-distance-seasonal repair,teach safe repair space and bounded consent,node-09,0.501,bell hum and hot copper,ask before touching owned tools,True,v1.8
4,120,riverbend,plank-listening-child naming,teach dry crossing and bounded consent,node-03,0.404,river slap and cedar resin,ask before touching owned tools,True,v1.4
4,120,roofward,sun-ledger-trade witness,teach herb preservation and bounded consent,node-05,0.424,hinge ticks and thyme paper,ask before touching owned tools,True,v1.5
4,120,archive,spool-naming-avatar waiting myth,teach signal memory and bounded consent,node-08,0.444,page flutter and ink linen,ask before touching owned tools,True,v1.6
4,120,signal,lantern-turning-founding vow,teach path visibility and bounded consent,node-11,0.464,static crickets and lamp oil,ask before touching owned tools,True,v1.7
4,120,orchard,satchel-vow-seasonal repair,teach dry seed continuity and bounded consent,node-01,0.484,cart creak and apple soil,ask before touching owned tools,True,v1.8
4,120,repair_ring,spark-distance-object blessing,teach safe repair space and bounded consent,node-09,0.504,bell hum and hot copper,ask before touching owned tools,True,v1.0
5,150,riverbend,plank-listening-trade witness,teach dry crossing and bounded consent,node-03,0.407,river slap and cedar resin,ask before touching owned tools,True,v1.5
