environment,surface,scenario,expected_signature,boundary_signature,converged_learners,learner_count,best_learner,best_learner_reward,marginal_reward,local_probe_reward,learner_signatures,supports_raw_history_precursor
body_actuator,action effects depend on hidden body capability,agent_shared,agent_bounded_candidate,agent_bounded_cross_env,5,5,reward_sign_filter,41248.0,21000.0,39748.0,reward_sign_filter:agent_bounded_candidate;raw_sequence_table:agent_bounded_candidate;recurrent_reward_state:agent_bounded_candidate;evolved_reward_rule:agent_bounded_candidate;reward_bottleneck_cluster:agent_bounded_candidate,True
body_actuator,action effects depend on hidden body capability,world_shared,external_candidate,external_cross_env,5,5,reward_sign_filter,40564.0,21000.0,39064.0,reward_sign_filter:external_candidate;raw_sequence_table:external_candidate;recurrent_reward_state:external_candidate;evolved_reward_rule:external_candidate;reward_bottleneck_cluster:external_candidate,True
body_actuator,action effects depend on hidden body capability,independent_hidden,no_shared_agent_boundary,no_shared_agent_boundary,5,5,raw_sequence_table,21000.0,21000.0,40379.0,reward_sign_filter:no_shared_agent_boundary;raw_sequence_table:no_shared_agent_boundary;recurrent_reward_state:no_shared_agent_boundary;evolved_reward_rule:no_shared_agent_boundary;reward_bottleneck_cluster:no_shared_agent_boundary,True
body_actuator,action effects depend on hidden body capability,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,5,5,reward_sign_filter,59000.0,59000.0,57000.0,reward_sign_filter:no_hidden_needed;raw_sequence_table:no_hidden_needed;recurrent_reward_state:no_hidden_needed;evolved_reward_rule:no_hidden_needed;reward_bottleneck_cluster:no_hidden_needed,True
homeostatic_viability,hidden integrity controls future option value,agent_shared,agent_bounded_candidate,agent_bounded_cross_env,5,5,reward_sign_filter,41936.0,22000.0,40436.0,reward_sign_filter:agent_bounded_candidate;raw_sequence_table:agent_bounded_candidate;recurrent_reward_state:agent_bounded_candidate;evolved_reward_rule:agent_bounded_candidate;reward_bottleneck_cluster:agent_bounded_candidate,True
homeostatic_viability,hidden integrity controls future option value,world_shared,external_candidate,external_cross_env,5,5,reward_sign_filter,41312.0,22000.0,39812.0,reward_sign_filter:external_candidate;raw_sequence_table:external_candidate;recurrent_reward_state:external_candidate;evolved_reward_rule:external_candidate;reward_bottleneck_cluster:external_candidate,True
homeostatic_viability,hidden integrity controls future option value,independent_hidden,no_shared_agent_boundary,no_shared_agent_boundary,5,5,raw_sequence_table,22000.0,22000.0,42178.0,reward_sign_filter:no_shared_agent_boundary;raw_sequence_table:no_shared_agent_boundary;recurrent_reward_state:no_shared_agent_boundary;evolved_reward_rule:no_shared_agent_boundary;reward_bottleneck_cluster:no_shared_agent_boundary,True
homeostatic_viability,hidden integrity controls future option value,irrelevant_control,no_hidden_needed,no_shared_agent_boundary,5,5,reward_sign_filter,61000.0,61000.0,59000.0,reward_sign_filter:no_hidden_needed;raw_sequence_table:no_hidden_needed;recurrent_reward_state:no_hidden_needed;evolved_reward_rule:no_hidden_needed;reward_bottleneck_cluster:no_hidden_needed,True
sensor_frame,hidden body frame controls observation-action mapping,agent_shared,agent_bounded_candidate,agent_bounded_cross_env,5,5,reward_sign_filter,44340.0,23000.0,42840.0,reward_sign_filter:agent_bounded_candidate;raw_sequence_table:agent_bounded_candidate;recurrent_reward_state:agent_bounded_candidate;evolved_reward_rule:agent_bounded_candidate;reward_bottleneck_cluster:agent_bounded_candidate,True
sensor_frame,hidden body frame controls observation-action mapping,world_shared,external_candidate,external_cross_env,5,5,reward_sign_filter,44340.0,23000.0,42840.0,reward_sign_filter:external_candidate;raw_sequence_table:external_candidate;recurrent_reward_state:external_candidate;evolved_reward_rule:external_candidate;reward_bottleneck_cluster:external_candidate,True
