epoch_index,year_end,public_epoch_marker,public_lineage_marker,public_technology_marker,public_gate_marker,private_epoch_hint,welfare_marker,replay_checkpoint,trace_integrity_token
1,50,year 0-50: mild growth; pop=203,Rainline branch rainline-vonn-01; div=0.30,Ledgerline seed ledgers; stage=tool; rel=0.70,pre-ceremony accumulating,hash=b0282d9b6e9413; welfare=1.00; flower=147.0,welfare-survives,r247-year0050,r247:1:79bf40671b
2,100,year 50-100: wet cold; pop=226,Rainline branch rainline-nari-02; div=0.31,Ledgerline seed ledgers; stage=tool; rel=0.68,pre-ceremony accumulating,hash=4c05b8dc7f40ee; welfare=1.00; flower=294.0,welfare-survives,no_checkpoint,r247:2:eba1c627c2
3,150,year 100-150: market expansion; pop=249,Rainline branch rainline-sova-03; div=0.31,Ledgerline seed ledgers; stage=tool; rel=0.70,pre-ceremony accumulating,hash=b7ab99c0086908; welfare=1.00; flower=81.0,welfare-survives,no_checkpoint,r247:3:756f5ec385
4,200,year 150-200: dry repair years; pop=272,Rainline branch rainline-vonn-04; div=0.32,Ledgerline seed ledgers; stage=tool; rel=0.71,pre-ceremony accumulating,hash=a43a13ebf99753; welfare=1.00; flower=228.0,welfare-survives,no_checkpoint,r247:4:15af4ea522
5,250,year 200-250: ritual consolidation; pop=294,Rainline branch rainline-nari-05; div=0.33,Ledgerline seed ledgers; stage=tool; rel=0.71,pre-ceremony accumulating,hash=cc4303b4019b99; welfare=1.00; flower=15.0,welfare-survives,no_checkpoint,r247:5:c8680b915c
6,300,year 250-300: storm memory; pop=317,Rainline branch rainline-sova-06; div=0.35,Ledgerline seed ledgers; stage=tool; rel=0.69,pre-ceremony accumulating,hash=f5246152ef0d38; welfare=1.00; flower=162.0,welfare-survives,no_checkpoint,r247:6:5c858e617c
7,350,year 300-350: mild growth; pop=339,Rainline branch rainline-vonn-07; div=0.35,Ledgerline seed ledgers; stage=tool; rel=0.71,pre-ceremony accumulating,hash=d80cd659fc3ad0; welfare=1.00; flower=309.1,welfare-survives,no_checkpoint,r247:7:c5c4f4a3b6
8,400,year 350-400: wet cold; pop=360,Rainline branch rainline-nari-08; div=0.36,Ledgerline seed ledgers; stage=tool; rel=0.70,pre-ceremony accumulating,hash=3a7a41147abdb0; welfare=1.00; flower=96.1,welfare-survives,no_checkpoint,r247:8:594343b3f8
9,450,year 400-450: market expansion; pop=381,Rainline branch rainline-sova-09; div=0.36,Ledgerline seed ledgers; stage=tool; rel=0.72,pre-ceremony accumulating,hash=f5f64e0fcf3b37; welfare=1.00; flower=243.1,welfare-survives,no_checkpoint,r247:9:54fe3c8457
10,500,year 450-500: dry repair years; pop=402,Rainline branch rainline-vonn-10; div=0.37,Ledgerline seed ledgers; stage=tool; rel=0.72,pre-ceremony accumulating,hash=77596c1ab8beaa; welfare=1.00; flower=30.1,welfare-survives,no_checkpoint,r247:10:0d7d055237
11,550,year 500-550: ritual consolidation; pop=422,Rainline branch rainline-nari-11; div=0.38,Ledgerline seed ledgers; stage=tool; rel=0.73,pre-ceremony accumulating,hash=0d66e95539aed7; welfare=1.00; flower=177.1,welfare-survives,no_checkpoint,r247:11:fce8eaf6d0
12,600,year 550-600: storm memory; pop=441,Rainline branch rainline-sova-12; div=0.39,Ledgerline seed ledgers; stage=tool; rel=0.72,pre-ceremony accumulating,hash=9eb62f1c21f261; welfare=1.00; flower=324.1,welfare-survives,r247-year0600,r247:12:8b0f99cd36
13,650,year 600-650: mild growth; pop=460,Rainline branch rainline-vonn-13; div=0.39,Ledgerline seed ledgers; stage=craft; rel=0.74,pre-ceremony accumulating,hash=c220380916d6ff; welfare=1.00; flower=111.1,welfare-survives,no_checkpoint,r247:13:ec3fae98dd
14,700,year 650-700: wet cold; pop=479,Rainline branch rainline-nari-14; div=0.41,Ledgerline seed ledgers; stage=craft; rel=0.72,pre-ceremony accumulating,hash=706ab4e0d29430; welfare=1.00; flower=258.1,welfare-survives,no_checkpoint,r247:14:743b0ff0bc
15,750,year 700-750: market expansion; pop=497,Rainline branch rainline-sova-15; div=0.41,Ledgerline seed ledgers; stage=craft; rel=0.74,pre-ceremony accumulating,hash=26bf69fbca964e; welfare=1.00; flower=45.1,welfare-survives,no_checkpoint,r247:15:37cdba89f3
16,800,year 750-800: dry repair years; pop=514,Rainline branch rainline-vonn-16; div=0.42,Ledgerline seed ledgers; stage=craft; rel=0.75,pre-ceremony accumulating,hash=66a1952cc3ec05; welfare=1.00; flower=192.1,welfare-survives,no_checkpoint,r247:16:d9914c66c2
17,850,year 800-850: ritual consolidation; pop=531,Rainline branch rainline-nari-17; div=0.42,Ledgerline seed ledgers; stage=craft; rel=0.76,pre-ceremony accumulating,hash=194f9d8cbcdfed; welfare=1.00; flower=339.1,welfare-survives,no_checkpoint,r247:17:a83b43b5f9
18,900,year 850-900: storm memory; pop=548,Rainline branch rainline-sova-18; div=0.44,Ledgerline seed ledgers; stage=craft; rel=0.74,pre-ceremony accumulating,hash=5b22a0b29a1ae2; welfare=1.00; flower=126.1,welfare-survives,no_checkpoint,r247:18:bb67ab5ab9
19,950,year 900-950: mild growth; pop=564,Rainline branch rainline-vonn-19; div=0.44,Ledgerline seed ledgers; stage=craft; rel=0.76,pre-ceremony accumulating,hash=e8346c9618a4f6; welfare=1.00; flower=273.1,welfare-survives,no_checkpoint,r247:19:e152ea219c
20,1000,year 950-1000: wet cold; pop=580,Rainline branch rainline-nari-20; div=0.45,Ledgerline seed ledgers; stage=craft; rel=0.75,pre-ceremony accumulating,hash=d0886153a3d985; welfare=1.00; flower=60.2,welfare-survives,no_checkpoint,r247:20:d44f02186f
21,1050,year 1000-1050: market expansion; pop=595,Rainline branch rainline-sova-21; div=0.45,Ledgerline seed ledgers; stage=craft; rel=0.78,pre-ceremony accumulating,hash=c0797d8f9db5d8; welfare=1.00; flower=207.2,welfare-survives,no_checkpoint,r247:21:67a9c4d6fb
22,1100,year 1050-1100: dry repair years; pop=610,Rainline branch rainline-vonn-22; div=0.46,Ledgerline seed ledgers; stage=craft; rel=0.78,pre-ceremony accumulating,hash=d4b491b45ccc89; welfare=1.00; flower=354.2,welfare-survives,no_checkpoint,r247:22:3c572cf9eb
23,1150,year 1100-1150: ritual consolidation; pop=625,Rainline branch rainline-nari-23; div=0.47,Ledgerline seed ledgers; stage=craft; rel=0.79,pre-ceremony accumulating,hash=8fa6e79727525b; welfare=1.00; flower=141.2,welfare-survives,no_checkpoint,r247:23:d06fdc8bd4
24,1200,year 1150-1200: storm memory; pop=640,Rainline branch rainline-sova-24; div=0.48,Ledgerline seed ledgers; stage=craft; rel=0.78,pre-ceremony accumulating,hash=fdcffe85fdd3fe; welfare=1.00; flower=288.2,welfare-survives,r247-year1200,r247:24:6f2dba0dd9
25,1250,year 1200-1250: mild growth; pop=655,Rainline branch rainline-vonn-25; div=0.48,Ledgerline seed ledgers; stage=craft; rel=0.80,pre-ceremony accumulating,hash=bc1ec16f126121; welfare=1.00; flower=75.2,welfare-survives,no_checkpoint,r247:25:430239be63
26,1300,year 1250-1300: wet cold; pop=670,Rainline branch rainline-nari-26; div=0.50,Ledgerline seed ledgers; stage=infrastructure; rel=0.79,pre-ceremony accumulating,hash=1187da29eeaf61; welfare=1.00; flower=222.2,welfare-survives,no_checkpoint,r247:26:bcacabc298
