interrupt_id,day,time_s,agent_id,trigger,priority,interruption_line,available_responses,selected_response,delivery_state,response_deadline_s,relationship_delta,task_delta,saved_memory,frequency_hz,flower_node
int-01,1,8.0,roka,avatar crosses reed lane too fast,0.82,Blue stone first. Please slow down.,step_to_blue_stone|keep_walking|ask_why,step_to_blue_stone,delivered,4.0,0.04,0.03,Roka remembers the avatar slowed when interrupted.,387.25,8
int-02,1,15.0,fayen,avatar body cost rises near water pause,0.66,Carry cups if you want to help. Do not cancel the pause.,carry_cups|push_work|leave,carry_cups,delivered,5.0,0.05,0.04,Fayen remembers useful help after a no.,392.5,9
int-03,1,22.0,ariq,bridge stone check begins,0.58,Hold the chalk cord; do not pull past Roka's line.,hold_cord|pull_harder|decline,hold_cord,delivered,5.5,0.04,0.05,Ariq remembers timed tool help.,397.75,10
int-04,2,910.0,nian,avatar nears archive threshold,0.74,"Say object trail, not body reason.",repeat_rule|ask_private|open_flap,repeat_rule,delivered,4.0,0.06,0.04,Nian remembers privacy grammar under interruption.,403.0,11
int-05,2,916.0,noro,shade beam debt changes,0.61,Tie the debt knot before the second beam.,tie_knot|take_second|erase_debt,tie_knot,delivered,6.0,0.04,0.03,Noro remembers visible debt before material help.,408.25,12
int-06,2,923.0,roka,avatar looks at tied bundle,0.8,Watching is okay from there. Hands stay back.,watch_from_there|touch_bundle|walk_away,watch_from_there,delivered,3.5,0.03,0.02,Roka remembers distance respected after warning.,413.5,1
int-07,3,1810.0,fayen,stone test before bell,0.7,"Bell first, then stone.",ring_bell|test_now|ask_pain,ring_bell,delivered,3.0,0.05,0.05,Fayen remembers timing help without private naming.,418.75,2
int-08,3,1818.0,ariq,cart edge creaks,0.76,"If it sounds hollow, stop the lift.",stop_lift|push_through|call_noro,call_noro,delivered,4.0,0.03,0.04,Ariq remembers caution under urgency.,424.0,3
int-09,4,2715.0,noro,avatar asks for more timber,0.64,Read the open debt before asking.,read_debt|deny_debt|ask_private,read_debt,delivered,5.0,0.04,0.02,Noro remembers accountable request before resource access.,429.25,4
int-10,4,2722.0,nian,public digest wording drifts,0.52,That word exposes too much. Use object trail.,correct_wording|argue|ignore,correct_wording,deferred,5.0,0.02,0.01,"Nian records correction, but it arrived late.",434.5,5
