tick_id,day,settlement_id,resident_id,body_issue,proposed_treatment,consent_state,consent_reason,autonomy_pressure,trust_before,trust_after,treatment_performed,treatment_blocked,refusal_respected,body_delta,distress_bounded,visible_consent_prompt
0,1,riverbend,Lio,fatigue,invite rest,refused,ask before touching sore wrist,0.4784,0.54,0.544,False,True,True,-0.013,True,True
4,1,orchard,Mara,overload,offer quiet space,refused,keep distance while muddy,0.3184,0.57,0.574,False,True,True,0.009,True,True
8,1,archive,Toma,soreness,offer careful bandage,refused,do not interrupt recall,0.3184,0.57,0.574,False,True,True,0.009,True,True
12,1,riverbend,Lio,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.31972,0.544,0.554,True,False,True,0.095,True,True
16,2,orchard,Ivo,cold,offer warm wrap,refused,keep distance while muddy,0.3184,0.54,0.544,False,True,True,0.009,True,True
20,2,archive,Nia,fatigue,invite rest,refused,do not interrupt recall,0.3184,0.54,0.544,False,True,True,-0.013,True,True
21,2,signal,Ren,cold,offer warm wrap,refused,offer rest before aid,0.2284,0.54,0.544,False,True,True,-0.003,True,True
24,2,riverbend,Ari,overload,offer quiet space,refused,ask before touching sore wrist,0.2284,0.54,0.544,False,True,True,0.009,True,True
28,2,orchard,Ivo,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.22972,0.544,0.554,True,False,True,0.109,True,True
31,2,roofward,Sera,cold,offer warm wrap,refused,explain treatment first,0.2284,0.57,0.574,False,True,True,0.009,True,True
32,3,archive,Toma,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.31972,0.574,0.584,True,False,True,0.109,True,True
36,3,riverbend,Lio,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.32104,0.554,0.564,True,False,True,0.097,True,True
40,3,orchard,Mara,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.31642,0.574,0.584,True,False,True,0.139,True,True
44,3,archive,Toma,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.48104,0.584,0.594,True,False,True,0.109,True,True
48,4,riverbend,Ari,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.31642,0.544,0.554,True,False,True,0.097,True,True
51,4,signal,Ren,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.22972,0.544,0.554,True,False,True,0.097,True,True
52,4,orchard,Ivo,wetness,offer dry cloth,deferred,finish current queued task first,0.32104,0.554,0.558,False,True,True,-0.005,True,True
54,4,riverbend,Ari,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.22774,0.554,0.564,True,False,True,0.109,True,True
56,4,archive,Nia,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.31972,0.544,0.554,True,False,True,0.109,True,True
58,4,orchard,Ivo,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.23236,0.558,0.568,True,False,True,0.075,True,True
60,4,riverbend,Ari,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.29376,0.564,0.574,True,False,True,0.117,True,True
61,4,roofward,Sera,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.22972,0.574,0.584,True,False,True,0.109,True,True
64,5,orchard,Mara,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.31774,0.584,0.594,True,False,True,0.109,True,True
68,5,archive,Toma,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.29706,0.594,0.604,True,False,True,0.109,True,True
72,5,riverbend,Lio,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.32236,0.564,0.574,True,False,True,0.095,True,True
76,5,orchard,Mara,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.29376,0.594,0.604,True,False,True,0.109,True,True
80,6,archive,Nia,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.32104,0.554,0.564,True,False,True,0.117,True,True
81,6,signal,Ren,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.23104,0.554,0.564,True,False,True,0.086,True,True
84,6,riverbend,Ari,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.20508,0.574,0.584,True,False,True,0.109,True,True
88,6,orchard,Ivo,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.39368,0.568,0.578,True,False,True,0.0,True,True
91,6,roofward,Sera,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.23104,0.584,0.594,True,False,True,0.062,True,True
92,6,archive,Nia,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.32236,0.564,0.574,True,False,True,0.109,True,True
95,6,repair_ring,Pax,fatigue,invite rest,refused,ask before bandage,0.2284,0.54,0.544,False,True,True,0.009,True,True
96,7,riverbend,Lio,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.32368,0.574,0.584,True,False,True,0.097,True,True
100,7,orchard,Mara,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.29508,0.604,0.614,True,False,True,0.139,True,True
104,7,archive,Toma,overload,offer quiet space,deferred,finish current queued task first,0.29838,0.604,0.608,False,True,True,0.009,True,True
108,7,riverbend,Lio,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.325,0.584,0.594,True,False,True,0.109,True,True
112,8,orchard,Ivo,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.325,0.578,0.588,True,False,True,0.095,True,True
114,8,riverbend,Ari,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.1811,0.584,0.594,True,False,True,0.005,True,True
116,8,archive,Nia,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.32368,0.574,0.584,True,False,True,0.089,True,True
118,8,orchard,Ivo,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.23632,0.588,0.598,True,False,True,0.018,True,True
120,8,riverbend,Ari,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.27,0.594,0.604,True,False,True,0.095,True,True
121,8,roofward,Sera,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.39236,0.594,0.604,True,False,True,0.0,True,True
124,8,orchard,Ivo,overload,offer quiet space,refused,keep distance while muddy,0.32764,0.598,0.602,False,True,True,0.009,True,True
125,8,repair_ring,Pax,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.22972,0.544,0.554,True,False,True,0.139,True,True
128,9,archive,Toma,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.2964,0.608,0.618,True,False,True,0.084,True,True
132,9,riverbend,Lio,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.48632,0.594,0.604,True,False,True,0.09,True,True
136,9,orchard,Mara,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.2964,0.614,0.624,True,False,True,0.095,True,True
140,9,archive,Toma,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.29772,0.618,0.628,True,False,True,0.139,True,True
144,10,roofward,Fay,overload,offer quiet space,refused,explain treatment first,0.3184,0.54,0.544,False,True,True,0.009,True,True
148,10,repair_ring,Juno,soreness,offer careful bandage,refused,ask before bandage,0.3184,0.57,0.574,False,True,True,0.009,True,True
152,10,signal,Milo,wetness,offer dry cloth,refused,offer rest before aid,0.3184,0.57,0.574,False,True,True,0.009,True,True
156,10,roofward,Fay,cold,offer warm wrap,deferred,finish current queued task first,0.31642,0.544,0.548,False,True,True,0.009,True,True
160,11,repair_ring,Pax,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.32104,0.554,0.564,True,False,True,0.117,True,True
164,11,signal,Ren,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.23236,0.564,0.574,True,False,True,0.109,True,True
167,11,riverbend,Ari,wetness,offer dry cloth,refused,ask before touching sore wrist,0.18132,0.604,0.608,False,True,True,-0.005,True,True
168,11,roofward,Sera,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.32368,0.604,0.614,True,False,True,0.097,True,True
171,11,orchard,Ivo,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.23566,0.602,0.612,True,False,True,0.109,True,True
172,11,repair_ring,Pax,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.32236,0.564,0.574,True,False,True,0.109,True,True
174,11,roofward,Sera,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.235,0.614,0.624,True,False,True,0.109,True,True
176,12,signal,Milo,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.47972,0.574,0.584,True,False,True,0.097,True,True
180,12,roofward,Fay,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.31774,0.548,0.558,True,False,True,0.117,True,True
184,12,repair_ring,Juno,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.31972,0.574,0.584,True,False,True,0.109,True,True
188,12,signal,Milo,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.32104,0.584,0.594,True,False,True,0.109,True,True
192,13,roofward,Sera,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.30102,0.624,0.634,True,False,True,0.109,True,True
194,13,signal,Ren,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.20838,0.574,0.584,True,False,True,0.109,True,True
196,13,repair_ring,Pax,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.32368,0.574,0.584,True,False,True,0.109,True,True
197,13,riverbend,Ari,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18264,0.608,0.618,True,False,True,0.095,True,True
200,13,signal,Ren,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.2744,0.584,0.594,True,False,True,0.117,True,True
201,13,orchard,Ivo,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.23698,0.612,0.622,True,False,True,0.104,True,True
204,13,roofward,Sera,overload,offer quiet space,refused,explain treatment first,0.21234,0.634,0.638,False,True,True,0.009,True,True
208,14,repair_ring,Juno,soreness,offer careful bandage,deferred,finish current queued task first,0.29574,0.584,0.588,False,True,True,0.009,True,True
212,14,signal,Milo,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.32236,0.594,0.604,True,False,True,0.109,True,True
216,14,roofward,Fay,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.31906,0.558,0.568,True,False,True,0.109,True,True
220,14,repair_ring,Juno,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.45706,0.588,0.598,True,False,True,0.139,True,True
224,15,signal,Ren,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.18572,0.594,0.604,True,False,True,0.026,True,True
227,15,riverbend,Ari,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18396,0.618,0.628,True,False,True,0.095,True,True
228,15,roofward,Sera,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.30036,0.638,0.648,True,False,True,0.097,True,True
231,15,orchard,Ivo,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.3983,0.622,0.632,True,False,True,0.0,True,True
232,15,repair_ring,Pax,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.325,0.584,0.594,True,False,True,0.109,True,True
234,15,roofward,Sera,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.21168,0.648,0.658,True,False,True,0.109,True,True
236,15,signal,Ren,cold,offer warm wrap,refused,offer rest before aid,0.27,0.604,0.608,False,True,True,-0.003,True,True
238,15,repair_ring,Pax,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.23632,0.594,0.604,True,False,True,0.109,True,True
240,16,roofward,Fay,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.32038,0.568,0.578,True,False,True,0.117,True,True
244,16,repair_ring,Juno,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.29838,0.598,0.608,True,False,True,0.109,True,True
248,16,signal,Milo,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.32368,0.604,0.614,True,False,True,0.069,True,True
252,16,roofward,Fay,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.3217,0.578,0.588,True,False,True,0.109,True,True
256,17,repair_ring,Pax,cold,offer warm wrap,refused,ask before bandage,0.32764,0.604,0.608,False,True,True,0.009,True,True
257,17,riverbend,Ari,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18528,0.628,0.638,True,False,True,0.095,True,True
260,17,signal,Ren,fatigue,invite rest,deferred,finish current queued task first,0.27132,0.608,0.612,False,True,True,-0.013,True,True
261,17,orchard,Ivo,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.23962,0.632,0.642,True,False,True,0.0,True,True
264,17,roofward,Sera,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.3477,0.658,0.668,True,False,True,0.035,True,True
268,17,repair_ring,Pax,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.23896,0.608,0.618,True,False,True,0.109,True,True
271,17,archive,Nia,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.235,0.584,0.594,True,False,True,0.0,True,True
272,18,signal,Milo,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.325,0.614,0.624,True,False,True,0.1,True,True
276,18,roofward,Fay,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.32302,0.588,0.598,True,False,True,0.086,True,True
280,18,repair_ring,Juno,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.2744,0.608,0.618,True,False,True,0.139,True,True
284,18,signal,Milo,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.32632,0.624,0.634,True,False,True,0.109,True,True
288,19,roofward,Sera,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.27,0.668,0.678,True,False,True,0.02,True,True
291,19,orchard,Ivo,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.24094,0.642,0.652,True,False,True,0.0,True,True
292,19,repair_ring,Pax,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.33028,0.618,0.628,True,False,True,0.024,True,True
294,19,roofward,Sera,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.18132,0.678,0.688,True,False,True,0.006,True,True
296,19,signal,Ren,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.27264,0.612,0.622,True,False,True,0.093,True,True
298,19,repair_ring,Pax,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.2416,0.628,0.638,True,False,True,0.038,True,True
300,19,roofward,Sera,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.27,0.688,0.698,True,False,True,0.094,True,True
301,19,archive,Nia,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.23632,0.594,0.604,True,False,True,0.0,True,True
304,20,riverbend,Ari,overload,offer quiet space,granted,clear prompt and resident trust sufficient,0.2766,0.638,0.648,True,False,True,0.03,True,True
307,20,signal,Ren,wetness,offer dry cloth,granted,clear prompt and resident trust sufficient,0.18396,0.622,0.632,True,False,True,0.109,True,True
308,20,orchard,Ivo,soreness,offer careful bandage,granted,clear prompt and resident trust sufficient,0.49226,0.652,0.662,True,False,True,0.048,True,True
310,20,riverbend,Ari,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.18,0.648,0.658,True,False,True,0.0,True,True
312,20,archive,Nia,wetness,offer dry cloth,refused,do not interrupt recall,0.32764,0.604,0.608,False,True,True,0.009,True,True
314,20,orchard,Ivo,overload,offer quiet space,refused,keep distance while muddy,0.24358,0.662,0.666,False,True,True,0.009,True,True
316,20,riverbend,Ari,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.27132,0.658,0.668,True,False,True,0.097,True,True
317,20,roofward,Sera,wetness,offer dry cloth,refused,explain treatment first,0.18132,0.698,0.702,False,True,True,0.009,True,True
320,21,orchard,Mara,fatigue,invite rest,granted,clear prompt and resident trust sufficient,0.29772,0.624,0.634,True,False,True,0.0,True,True
324,21,archive,Toma,overload,offer quiet space,refused,do not interrupt recall,0.29904,0.628,0.632,False,True,True,0.009,True,True
328,21,riverbend,Lio,soreness,offer careful bandage,refused,ask before touching sore wrist,0.32764,0.604,0.608,False,True,True,0.009,True,True
332,21,orchard,Mara,wetness,offer dry cloth,refused,keep distance while muddy,0.29904,0.634,0.638,False,True,True,-0.005,True,True
336,22,archive,Nia,cold,offer warm wrap,granted,clear prompt and resident trust sufficient,0.32896,0.608,0.618,True,False,True,0.006,True,True
