criterion,passed,score,evidence
report_363_schedule_gate_passing,True,1.0,Report 363 verdict=pass weakest=1.0
source_declares_runtime_entropy_boundary,True,1.0,app.js has stochastic pulse boundary and replayable entropy state
source_records_entropy_and_consequence,True,1.0,"app.js records entropy, branch, resources, and need snapshots"
visible_pulse_panel_wired,True,1.0,index.html exposes stochastic consequence dashboard and panel controls
runner_includes_report_364,True,1.0,scripts/run_experiments.py includes Report 364 module
runtime_entropy_surface,True,1.0,metric=1.0
entropy_replay_recorded,True,1.0,metric=1.0
branch_diversity,True,1.0,metric=1.0
resident_need_coupling,True,1.0,metric=1.0
resource_delta_coupling,True,1.0,metric=1.0
schedule_state_coupling,True,1.0,metric=1.0
deterministic_seed_replay,True,1.0,metric=1.0
not_panel_only_loop,True,1.0,metric=1.0
browser_surface_wired,True,1.0,metric=1.0
browser_smoke_artifact_exists,True,1.0,artifacts/ssrm_3d_browser_world_v124_stochastic_resident_consequence_bridge_browser_smoke.json
