tick_id,day,route_id,agent,choice_label,trust_before,trust_delta,trust_after,route_recovery_delta,followup_due,consequence_visible
0,1,riverbend_roofward,Ari,ask to keep direct route,0.6,0.0,0.6,0.0,False,False
1,1,roofward_archive,Nia,ask to keep direct route,0.56,0.018,0.578,0.012,False,True
2,1,archive_signal,Nia,ask to keep direct route,0.6,0.018,0.618,0.012,False,True
3,1,signal_orchard,Ivo,ask to keep direct route,0.56,0.0,0.56,0.0,False,False
4,1,orchard_riverbend,Ivo,ask to keep direct route,0.6,0.018,0.618,0.012,False,True
5,1,central_repair_ring,Pax,ask to keep direct route,0.56,0.018,0.578,0.012,False,True
6,1,riverbend_roofward,Ari,ask to keep direct route,0.6,0.0,0.6,0.0,False,False
7,1,roofward_archive,Nia,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
8,1,archive_signal,Nia,ask to keep direct route,0.618,0.018,0.636,0.012,False,True
9,1,signal_orchard,Ivo,ask to keep direct route,0.56,0.0,0.56,0.0,False,False
10,1,orchard_riverbend,Ivo,ask to keep direct route,0.618,0.0,0.618,0.0,False,False
11,1,central_repair_ring,Pax,ask to keep direct route,0.578,0.018,0.596,0.012,False,True
12,1,riverbend_roofward,Ari,ask to merge detour,0.6,0.018,0.618,0.012,False,True
13,1,roofward_archive,Nia,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
14,2,archive_signal,Nia,ask to keep direct route,0.636,0.0,0.636,0.0,False,False
15,2,signal_orchard,Ivo,ask to keep direct route,0.56,0.018,0.578,0.012,False,True
16,2,orchard_riverbend,Ivo,ask to merge detour,0.618,0.0,0.618,0.0,False,False
17,2,central_repair_ring,Pax,ask to keep direct route,0.596,0.0,0.596,0.0,False,False
18,2,riverbend_roofward,Ari,ask to keep direct route,0.618,0.018,0.636,0.012,False,True
19,2,roofward_archive,Nia,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
20,2,archive_signal,Nia,ask to keep direct route,0.636,0.0,0.636,0.0,False,False
21,2,signal_orchard,Ivo,ask to keep direct route,0.578,0.0,0.578,0.0,False,False
22,2,orchard_riverbend,Ivo,ask to keep direct route,0.618,0.018,0.636,0.012,False,True
23,2,central_repair_ring,Pax,ask to keep direct route,0.596,0.0,0.596,0.0,False,False
