seed,recovery_id,pulse_id,actor,event,harm_type,repair_action,resource_cost,trust_delta,progress_delta,debt_delta,relationship_note,need_before,need_after,schedule_coupling,status
36217,36217-SR-01,36217-SP-01,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,Milo made 36217-AIS-03 easier to attempt after neighbor_help,pending
36217,36217-SR-02,36217-SP-02,Sera,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,explore,unrecovered,Sera made 36217-AIS-01 easier to attempt after neighbor_help,pending
36217,36217-SR-03,36217-SP-03,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,Milo made 36217-AIS-01 easier to attempt after neighbor_help,pending
36217,36217-SR-04,36217-SP-04,Tovan,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,Tovan made 36217-AIS-05 easier to attempt after neighbor_help,pending
36217,36217-SR-05,36217-SP-05,Ari,found_material,opportunity allocation,share found material with pending work,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.005,0.016,-1,benefit distributed instead of hoarded,finish-work,unrecovered,Ari made 36217-AIS-01 easier to attempt after found_material,pending
36217,36217-SR-06,36217-SP-06,Ari,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,unrecovered,Ari stochastically delayed 36217-AIS-01 while repair awning competed with roof_leak,pending
36217,36217-SR-07,36217-SP-07,Fay,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,unrecovered,Fay stochastically disputed 36217-AIS-02 while sort herbs competed with argument_echo,pending
36217,36217-SR-08,36217-SP-08,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,unrecovered,Milo made 36217-AIS-03 easier to attempt after neighbor_help,pending
36231,36231-SR-01,36231-SP-01,Tovan,quiet_recovery,fatigue recovery,protect quiet rest and resume slowly,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.004,0.01,-1,rest respected as recovery,explore,unrecovered,,pending
36231,36231-SR-02,36231-SP-02,Fay,found_material,opportunity allocation,share found material with pending work,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.005,0.016,-1,benefit distributed instead of hoarded,finish-work,unrecovered,Fay made 36231-AIS-02 easier to attempt after found_material,pending
