tick,day,arc_id,agent,schedule_delta,access_delta,trust_delta,posture_delta,object_use_delta,effect_bound_to_compromise,effect_visible_in_gameplay
0,1,v17-arc-01,Keth,0.08,0.05,-0.11,0.01,0.08,0,0
1,1,v17-arc-01,Melo,0.35,0.26,0.14,0.17,0.25,1,0
2,1,v17-arc-01,Nari,0.3,0.26,0.14,0.21,0.25,1,1
3,1,v17-arc-01,Ori,0.3,0.26,0.14,0.21,0.25,1,1
4,1,v17-arc-01,Vonn,0.3,0.34,0.14,0.17,0.31,1,1
5,1,v17-arc-01,Sova,0.3,0.26,0.09,0.21,0.25,1,1
6,1,v17-arc-01,Keth,0.3,0.26,0.14,0.21,0.25,1,1
7,1,v17-arc-01,Melo,0.3,0.34,0.14,0.21,0.25,1,1
8,1,v17-arc-01,Nari,0.3,0.26,0.14,0.21,0.25,1,0
9,1,v17-arc-01,Ori,0.3,0.26,0.14,0.21,0.25,1,1
10,2,v17-arc-01,Sova,0.3,0.34,0.14,0.21,0.25,1,1
11,2,v17-arc-01,Keth,0.3,0.26,0.14,0.16,0.25,1,1
12,2,v17-arc-01,Melo,0.3,0.34,0.14,0.21,0.25,1,1
13,2,v17-arc-01,Nari,0.3,0.26,0.14,0.21,0.25,1,1
14,2,v17-arc-01,Ori,0.3,0.34,0.14,0.21,0.25,1,1
15,2,v17-arc-01,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
16,2,v17-arc-01,Sova,0.35,0.26,0.14,0.21,0.25,1,1
17,2,v17-arc-01,Keth,0.35,0.26,0.14,0.16,0.25,1,1
18,2,v17-arc-01,Melo,0.3,0.26,0.09,0.21,0.25,1,1
19,2,v17-arc-01,Nari,0.12,0.1,-0.04,0.21,0.08,1,1
20,3,v17-arc-01,Vonn,0.26,0.26,0.07,0.1,0.25,0,0
21,3,v17-arc-01,Sova,0.3,0.26,0.14,0.21,0.25,1,1
22,3,v17-arc-01,Keth,0.17,0.1,-0.04,0.16,0.08,1,1
23,3,v17-arc-01,Melo,0.12,0.1,-0.04,0.17,0.08,0,0
24,3,v17-arc-01,Nari,0.3,0.34,0.14,0.21,0.31,1,1
25,3,v17-arc-01,Ori,0.3,0.26,0.14,0.21,0.25,1,1
26,3,v17-arc-01,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
27,3,v17-arc-01,Sova,0.3,0.26,0.14,0.21,0.25,1,1
28,3,v17-arc-01,Keth,0.3,0.26,0.14,0.21,0.25,1,1
29,3,v17-arc-01,Melo,0.3,0.34,0.14,0.21,0.25,1,1
30,4,v17-arc-02,Ori,0.35,0.26,0.14,0.21,0.25,1,0
31,4,v17-arc-02,Vonn,0.26,0.26,0.02,0.1,0.25,0,0
32,4,v17-arc-02,Sova,0.3,0.34,0.14,0.21,0.25,1,1
33,4,v17-arc-02,Keth,0.3,0.26,0.14,0.16,0.25,1,1
34,4,v17-arc-02,Melo,0.3,0.26,0.14,0.16,0.25,1,1
35,4,v17-arc-02,Nari,0.35,0.26,0.14,0.21,0.25,1,1
36,4,v17-arc-02,Ori,0.3,0.26,0.14,0.21,0.25,1,1
37,4,v17-arc-02,Vonn,0.31,0.26,0.07,0.1,0.25,0,0
38,4,v17-arc-02,Sova,0.12,0.1,-0.04,0.21,0.08,1,1
39,4,v17-arc-02,Keth,0.3,0.26,0.14,0.21,0.25,1,1
40,5,v17-arc-02,Nari,0.3,0.26,0.14,0.21,0.25,1,1
41,5,v17-arc-02,Ori,0.3,0.26,0.14,0.21,0.25,1,1
42,5,v17-arc-02,Vonn,0.35,0.26,0.14,0.17,0.25,1,1
43,5,v17-arc-02,Sova,0.3,0.34,0.14,0.21,0.31,1,1
44,5,v17-arc-02,Keth,0.3,0.34,0.09,0.16,0.31,1,1
45,5,v17-arc-02,Melo,0.12,0.1,-0.04,0.21,0.08,1,1
46,5,v17-arc-02,Nari,0.12,0.1,-0.04,0.21,0.08,1,1
47,5,v17-arc-02,Ori,0.3,0.26,0.14,0.21,0.25,1,1
48,5,v17-arc-02,Vonn,0.35,0.26,0.14,0.21,0.25,1,1
49,5,v17-arc-02,Sova,0.3,0.26,0.14,0.21,0.25,1,1
50,6,v17-arc-02,Melo,0.3,0.26,0.14,0.21,0.25,1,1
51,6,v17-arc-02,Nari,0.3,0.26,0.14,0.16,0.25,1,1
52,6,v17-arc-02,Ori,0.3,0.26,0.14,0.21,0.25,1,1
53,6,v17-arc-02,Vonn,0.3,0.26,0.14,0.21,0.25,1,1
54,6,v17-arc-02,Sova,0.26,0.26,0.07,0.1,0.25,0,0
55,6,v17-arc-02,Keth,0.3,0.34,0.14,0.16,0.31,1,1
56,6,v17-arc-02,Melo,0.3,0.26,0.14,0.21,0.25,1,1
57,6,v17-arc-02,Nari,0.12,0.1,-0.04,0.21,0.08,1,1
58,6,v17-arc-02,Ori,0.3,0.34,0.14,0.21,0.31,1,1
59,6,v17-arc-02,Vonn,0.3,0.26,0.14,0.21,0.25,1,0
60,7,v17-arc-03,Keth,0.3,0.26,0.14,0.21,0.25,1,1
61,7,v17-arc-03,Melo,0.3,0.26,0.14,0.17,0.25,1,1
62,7,v17-arc-03,Nari,0.26,0.34,0.07,0.1,0.25,0,0
63,7,v17-arc-03,Ori,0.3,0.26,0.14,0.21,0.25,1,1
64,7,v17-arc-03,Vonn,0.35,0.26,0.14,0.21,0.25,1,1
65,7,v17-arc-03,Sova,0.3,0.26,0.14,0.21,0.25,1,1
66,7,v17-arc-03,Keth,0.3,0.26,0.14,0.16,0.25,1,0
67,7,v17-arc-03,Melo,0.3,0.26,0.14,0.21,0.25,1,1
68,7,v17-arc-03,Nari,0.3,0.26,0.14,0.16,0.25,1,1
69,7,v17-arc-03,Ori,0.12,0.18,-0.04,0.21,0.08,1,1
