tick,day,reload_id,scene_id,reload_probe,restored_agent,restored_reaction_label,restored_inventory_count,reaction_restore_ok,inventory_restore_ok,dialogue_cursor_restore_ok,reload_reaction_score
0,1,v22-reload-0000,v22-scene-d01,1,Melo,watching,0,1,1,1,1.0
1,1,v22-reload-0001,v22-scene-d01,0,Melo,watching,0,1,1,1,1.0
2,1,v22-reload-0002,v22-scene-d01,1,Melo,watching,0,1,1,1,1.0
3,1,v22-reload-0003,v22-scene-d01,0,Melo,asks-space,0,1,1,1,1.0
4,1,v22-reload-0004,v22-scene-d01,1,Melo,asks-space,0,1,1,1,1.0
5,1,v22-reload-0005,v22-scene-d01,1,Melo,watching,0,1,1,1,1.0
6,1,v22-reload-0006,v22-scene-d01,0,Melo,watching,0,1,1,1,1.0
7,1,v22-reload-0007,v22-scene-d01,1,Melo,curious,0,0,1,1,0.75
8,1,v22-reload-0008,v22-scene-d01,0,Melo,curious,0,1,1,1,1.0
9,1,v22-reload-0009,v22-scene-d01,0,Sova,watching,0,1,1,1,1.0
10,1,v22-reload-0010,v22-scene-d01,0,Keth,watching,0,1,1,1,1.0
11,1,v22-reload-0011,v22-scene-d01,1,Keth,softens,0,1,0,1,0.75
12,1,v22-reload-0012,v22-scene-d01,0,Keth,watching,0,1,1,1,1.0
13,1,v22-reload-0013,v22-scene-d01,1,Keth,watching,0,1,1,1,1.0
14,1,v22-reload-0014,v22-scene-d01,0,Keth,asks-space,0,1,1,1,1.0
15,1,v22-reload-0015,v22-scene-d01,0,Keth,asks-space,0,1,1,1,1.0
16,2,v22-reload-0016,v22-scene-d02,0,Keth,watching,0,1,1,1,1.0
17,2,v22-reload-0017,v22-scene-d02,0,Keth,watching,0,1,1,1,1.0
18,2,v22-reload-0018,v22-scene-d02,1,Keth,watching,0,1,1,1,1.0
19,2,v22-reload-0019,v22-scene-d02,0,Sova,softens,0,1,1,1,1.0
20,2,v22-reload-0020,v22-scene-d02,0,Sova,watching,0,1,1,1,1.0
21,2,v22-reload-0021,v22-scene-d02,0,Sova,watching,0,1,1,1,1.0
22,2,v22-reload-0022,v22-scene-d02,1,Sova,watching,0,1,1,1,1.0
23,2,v22-reload-0023,v22-scene-d02,0,Sova,watching,0,1,1,1,1.0
24,2,v22-reload-0024,v22-scene-d02,0,Keth,watching,0,1,1,1,1.0
25,2,v22-reload-0025,v22-scene-d02,1,Keth,curious,0,1,1,1,1.0
26,2,v22-reload-0026,v22-scene-d02,0,Keth,curious,0,1,1,1,1.0
27,2,v22-reload-0027,v22-scene-d02,1,Keth,curious,0,1,1,1,1.0
28,2,v22-reload-0028,v22-scene-d02,0,Keth,softens,0,1,1,1,1.0
29,2,v22-reload-0029,v22-scene-d02,0,Keth,curious,0,1,1,1,1.0
30,2,v22-reload-0030,v22-scene-d02,1,Keth,curious,0,1,1,1,1.0
31,2,v22-reload-0031,v22-scene-d02,1,Keth,softens,0,1,1,1,1.0
32,3,v22-reload-0032,v22-scene-d03,0,Keth,curious,0,1,1,1,1.0
33,3,v22-reload-0033,v22-scene-d03,1,Keth,curious,0,1,1,1,1.0
34,3,v22-reload-0034,v22-scene-d03,1,Keth,curious,0,1,1,1,1.0
35,3,v22-reload-0035,v22-scene-d03,0,Keth,approaches,0,1,1,1,1.0
36,3,v22-reload-0036,v22-scene-d03,0,Keth,curious,0,1,1,1,1.0
