seed,ablation,plan,count,mean_value,max_value
20261121,body,balanced_repair,85,0.9613707338554713,1.8
20261121,body,environment_first,92,0.6775094484194881,1.72016007141701
20261121,body,recovery_sustain_window,66,-0.2050526317022089,1.7296129577554529
20261121,body,route_supply_window,1,-0.5057668194559471,-0.5057668194559471
20261121,body,sanitize_care_window,153,0.8436990899546981,1.8
20261121,body,social_first,203,-0.06425486239357898,1.489054812892053
20261121,body,storm_infrastructure_window,40,0.64685972,0.6473072000000002
20261121,body,teaching_repair_window,7,-0.22976194584801587,0.17334010309764314
20261121,environment,balanced_repair,254,1.6937007874015748,1.8
20261121,environment,environment_first,2,1.210808739880839,1.8
20261121,environment,sanitize_care_window,500,0.9179782740773244,1.8
20261121,environment,social_first,4,0.5693532361703577,0.6340821144923857
20261121,environment,storm_infrastructure_window,5,1.277166640695653,1.8
20261121,infrastructure,balanced_repair,57,1.0970390334611637,1.8
20261121,infrastructure,environment_first,58,0.6481277222764344,0.6497534920331923
20261121,infrastructure,recovery_sustain_window,90,-0.12667337388545227,0.6559367034598443
20261121,infrastructure,sanitize_care_window,124,1.0104091179369743,1.8
20261121,infrastructure,social_first,148,0.24249304678639824,1.689508965359361
20261121,infrastructure,storm_infrastructure_window,45,0.6474644435037666,0.6484695688692288
20261121,infrastructure,teaching_repair_window,8,0.5192012878812227,0.6985021513376326
20261121,none,balanced_repair,74,1.0649786486486488,1.8
20261121,none,environment_first,81,0.6507493573961665,1.3448977846153856
20261121,none,recovery_sustain_window,62,-0.22961766128777103,0.03965872920976129
20261121,none,sanitize_care_window,112,0.8886519416334393,1.8
20261121,none,social_first,174,-0.06458122897225062,0.6473507316944259
20261121,none,storm_infrastructure_window,40,0.6472730450000003,0.6477824000000003
20261121,none,teaching_repair_window,16,-0.2927966430525702,-0.04032646318796839
20261121,previous_action,balanced_repair,72,0.9696471888888889,1.8
20261121,previous_action,environment_first,72,0.661657032883491,1.4848400906882595
20261121,previous_action,recovery_sustain_window,66,-0.21495897250516646,0.6594904000000001
20261121,previous_action,route_supply_window,1,-0.3366174661161802,-0.3366174661161802
20261121,previous_action,sanitize_care_window,108,0.9043561762940455,1.8
20261121,previous_action,social_first,165,-0.04596919924835585,1.6201818367305512
20261121,previous_action,storm_infrastructure_window,36,0.6476570000000001,0.6480992000000002
20261121,previous_action,teaching_repair_window,5,0.0019843651638289154,0.6600844000000001
20261121,social_culture,balanced_repair,245,1.7412244897959184,1.8
20261121,social_culture,sanitize_care_window,22,1.4101839142252695,1.8
20261121,social_culture,social_first,209,1.112581364880968,1.8
20261121,social_culture,teaching_repair_window,25,1.1045296575806172,1.7680698699243607
20261121,tools,balanced_repair,61,0.9840497011096437,1.8
20261121,tools,environment_first,59,0.6793747044970982,1.634302520176578
20261121,tools,recovery_sustain_window,50,-0.2406514317000998,-0.034111014475290184
20261121,tools,sanitize_care_window,101,0.933772794537223,1.8
20261121,tools,social_first,163,-0.04868418029625041,0.6487457249732024
20261121,tools,storm_infrastructure_window,27,0.6484160000000002,0.6484160000000002
20261121,tools,teaching_repair_window,7,-0.009412615588658944,0.6485744000000001
20261122,body,balanced_repair,111,1.2594517862797208,1.8
20261122,body,environment_first,86,0.6543603171049308,0.7862550769230772
20261122,body,recovery_sustain_window,19,-0.2293480778133687,0.6909365428571428
20261122,body,route_supply_window,80,0.8066596144371531,1.8
20261122,body,sanitize_care_window,115,0.7898383544378516,1.8
20261122,body,social_first,106,-0.0007857604222631472,1.181599455252441
20261122,body,storm_infrastructure_window,5,0.681814313874675,0.7047779995796359
