tick,day,replay_id,scene_id,includes_keyboard_input,includes_mutated_state,includes_collision_prompt,includes_object_ceremony_state,includes_storage_snapshot,deterministic_order,replay_integrity_score
0,1,v21-replay-0000,v21-scene-d01,1,1,1,1,1,1,1.0
1,1,v21-replay-0001,v21-scene-d01,1,1,1,1,1,1,1.0
2,1,v21-replay-0002,v21-scene-d01,1,1,1,0,1,1,0.964286
3,1,v21-replay-0003,v21-scene-d01,1,1,1,1,1,1,1.0
4,1,v21-replay-0004,v21-scene-d01,1,1,0,1,1,1,0.92381
5,1,v21-replay-0005,v21-scene-d01,1,1,1,1,1,1,0.964286
6,1,v21-replay-0006,v21-scene-d01,1,1,1,1,1,1,1.0
7,1,v21-replay-0007,v21-scene-d01,1,1,1,1,1,1,0.971429
8,1,v21-replay-0008,v21-scene-d01,1,1,1,1,1,1,1.0
9,1,v21-replay-0009,v21-scene-d01,1,1,1,1,1,1,0.971429
10,1,v21-replay-0010,v21-scene-d01,1,1,1,1,1,1,1.0
11,1,v21-replay-0011,v21-scene-d01,1,1,1,1,1,1,0.971429
12,1,v21-replay-0012,v21-scene-d01,1,1,1,1,1,1,1.0
13,1,v21-replay-0013,v21-scene-d01,1,1,1,1,1,1,1.0
14,1,v21-replay-0014,v21-scene-d01,1,1,1,1,1,1,1.0
15,2,v21-replay-0015,v21-scene-d02,1,1,1,1,1,1,1.0
16,2,v21-replay-0016,v21-scene-d02,1,1,1,1,1,1,1.0
17,2,v21-replay-0017,v21-scene-d02,1,1,1,1,1,1,1.0
18,2,v21-replay-0018,v21-scene-d02,1,1,1,1,1,1,1.0
19,2,v21-replay-0019,v21-scene-d02,1,1,1,1,1,1,1.0
20,2,v21-replay-0020,v21-scene-d02,1,1,1,1,1,1,0.993333
21,2,v21-replay-0021,v21-scene-d02,1,1,1,1,1,1,1.0
22,2,v21-replay-0022,v21-scene-d02,1,1,1,1,1,1,1.0
23,2,v21-replay-0023,v21-scene-d02,1,1,1,1,1,1,1.0
24,2,v21-replay-0024,v21-scene-d02,1,1,1,1,1,1,1.0
25,2,v21-replay-0025,v21-scene-d02,1,1,1,1,1,1,1.0
26,2,v21-replay-0026,v21-scene-d02,1,1,0,0,1,1,0.903571
27,2,v21-replay-0027,v21-scene-d02,1,1,1,1,1,1,1.0
28,2,v21-replay-0028,v21-scene-d02,1,1,1,1,1,1,1.0
29,2,v21-replay-0029,v21-scene-d02,1,1,1,1,1,1,1.0
30,3,v21-replay-0030,v21-scene-d03,1,1,1,1,1,1,1.0
31,3,v21-replay-0031,v21-scene-d03,1,0,1,0,1,1,0.792857
32,3,v21-replay-0032,v21-scene-d03,1,1,1,1,1,1,1.0
33,3,v21-replay-0033,v21-scene-d03,1,1,1,0,1,1,0.964286
34,3,v21-replay-0034,v21-scene-d03,1,1,1,1,1,1,1.0
35,3,v21-replay-0035,v21-scene-d03,1,1,0,1,1,1,0.952381
36,3,v21-replay-0036,v21-scene-d03,1,1,1,1,1,1,1.0
37,3,v21-replay-0037,v21-scene-d03,1,1,1,1,1,1,0.993333
38,3,v21-replay-0038,v21-scene-d03,1,1,1,1,1,1,1.0
39,3,v21-replay-0039,v21-scene-d03,1,1,1,1,1,1,1.0
40,3,v21-replay-0040,v21-scene-d03,1,1,1,1,1,1,0.971429
41,3,v21-replay-0041,v21-scene-d03,1,1,1,1,1,1,1.0
42,3,v21-replay-0042,v21-scene-d03,1,1,1,1,1,1,1.0
43,3,v21-replay-0043,v21-scene-d03,1,1,1,1,1,1,1.0
44,3,v21-replay-0044,v21-scene-d03,1,1,1,1,1,1,0.971429
45,4,v21-replay-0045,v21-scene-d04,1,1,1,1,1,1,1.0
46,4,v21-replay-0046,v21-scene-d04,1,1,1,1,1,1,1.0
47,4,v21-replay-0047,v21-scene-d04,1,1,1,1,1,1,1.0
48,4,v21-replay-0048,v21-scene-d04,1,1,1,1,1,1,0.964286
49,4,v21-replay-0049,v21-scene-d04,1,1,1,1,1,1,1.0
50,4,v21-replay-0050,v21-scene-d04,1,1,1,1,1,1,0.971429
51,4,v21-replay-0051,v21-scene-d04,1,1,1,1,1,1,1.0
52,4,v21-replay-0052,v21-scene-d04,1,1,1,1,1,1,1.0
53,4,v21-replay-0053,v21-scene-d04,1,1,1,1,1,1,1.0
54,4,v21-replay-0054,v21-scene-d04,1,1,1,1,1,1,1.0
55,4,v21-replay-0055,v21-scene-d04,1,1,1,1,1,1,1.0
56,4,v21-replay-0056,v21-scene-d04,1,1,1,1,1,1,1.0
57,4,v21-replay-0057,v21-scene-d04,1,1,1,1,1,1,1.0
58,4,v21-replay-0058,v21-scene-d04,1,1,1,1,1,1,1.0
59,4,v21-replay-0059,v21-scene-d04,1,1,1,1,1,1,1.0
60,5,v21-replay-0060,v21-scene-d05,1,1,1,1,1,1,1.0
61,5,v21-replay-0061,v21-scene-d05,1,1,1,1,1,1,1.0
62,5,v21-replay-0062,v21-scene-d05,1,1,1,1,1,1,1.0
63,5,v21-replay-0063,v21-scene-d05,1,1,1,1,1,1,1.0
64,5,v21-replay-0064,v21-scene-d05,1,1,1,0,1,1,0.929048
65,5,v21-replay-0065,v21-scene-d05,1,1,1,1,1,1,1.0
66,5,v21-replay-0066,v21-scene-d05,1,1,0,0,1,1,0.91
67,5,v21-replay-0067,v21-scene-d05,1,1,1,1,1,1,1.0
68,5,v21-replay-0068,v21-scene-d05,1,1,1,1,1,1,1.0
69,5,v21-replay-0069,v21-scene-d05,1,1,1,1,1,1,0.971429
70,5,v21-replay-0070,v21-scene-d05,1,1,1,1,1,1,1.0
71,5,v21-replay-0071,v21-scene-d05,1,1,0,0,1,1,0.91
72,5,v21-replay-0072,v21-scene-d05,1,1,1,1,1,1,1.0
73,5,v21-replay-0073,v21-scene-d05,1,1,1,1,1,1,1.0
74,5,v21-replay-0074,v21-scene-d05,1,1,1,1,1,1,1.0
75,6,v21-replay-0075,v21-scene-d06,1,1,1,1,1,1,1.0
76,6,v21-replay-0076,v21-scene-d06,1,1,1,1,1,1,1.0
77,6,v21-replay-0077,v21-scene-d06,1,1,1,1,1,1,1.0
78,6,v21-replay-0078,v21-scene-d06,1,1,1,1,1,1,1.0
79,6,v21-replay-0079,v21-scene-d06,1,1,1,1,1,1,1.0
80,6,v21-replay-0080,v21-scene-d06,1,1,1,1,1,1,1.0
81,6,v21-replay-0081,v21-scene-d06,1,1,1,1,1,1,0.971429
82,6,v21-replay-0082,v21-scene-d06,1,1,1,1,1,1,1.0
83,6,v21-replay-0083,v21-scene-d06,1,1,1,1,1,1,1.0
84,6,v21-replay-0084,v21-scene-d06,1,1,1,1,1,1,1.0
85,6,v21-replay-0085,v21-scene-d06,1,1,1,1,1,1,1.0
86,6,v21-replay-0086,v21-scene-d06,1,1,1,1,1,1,1.0
87,6,v21-replay-0087,v21-scene-d06,1,1,1,1,1,1,0.993333
88,6,v21-replay-0088,v21-scene-d06,1,1,1,1,1,1,0.993333
89,6,v21-replay-0089,v21-scene-d06,1,1,1,1,1,1,0.993333
90,7,v21-replay-0090,v21-scene-d07,1,1,1,1,1,1,1.0
91,7,v21-replay-0091,v21-scene-d07,1,1,1,1,1,1,0.935714
92,7,v21-replay-0092,v21-scene-d07,1,1,1,1,1,1,0.993333
93,7,v21-replay-0093,v21-scene-d07,1,1,1,1,1,1,1.0
94,7,v21-replay-0094,v21-scene-d07,1,1,1,1,1,1,0.993333
95,7,v21-replay-0095,v21-scene-d07,1,1,1,0,1,1,0.964286
96,7,v21-replay-0096,v21-scene-d07,1,1,1,1,1,1,1.0
97,7,v21-replay-0097,v21-scene-d07,1,1,0,1,1,1,0.952381
98,7,v21-replay-0098,v21-scene-d07,1,1,1,1,1,1,0.821905
99,7,v21-replay-0099,v21-scene-d07,1,1,1,1,1,1,0.850476
100,7,v21-replay-0100,v21-scene-d07,1,1,1,1,1,1,0.850476
101,7,v21-replay-0101,v21-scene-d07,1,1,1,1,1,1,1.0
102,7,v21-replay-0102,v21-scene-d07,1,1,1,1,1,1,1.0
103,7,v21-replay-0103,v21-scene-d07,1,1,1,1,1,1,1.0
104,7,v21-replay-0104,v21-scene-d07,1,1,1,1,1,1,0.993333
105,8,v21-replay-0105,v21-scene-d08,1,1,1,1,1,1,0.993333
106,8,v21-replay-0106,v21-scene-d08,1,1,1,1,1,1,1.0
107,8,v21-replay-0107,v21-scene-d08,1,1,1,1,1,1,1.0
108,8,v21-replay-0108,v21-scene-d08,1,1,1,1,1,1,0.993333
109,8,v21-replay-0109,v21-scene-d08,1,1,1,1,1,1,0.993333
110,8,v21-replay-0110,v21-scene-d08,1,1,1,1,1,1,0.993333
111,8,v21-replay-0111,v21-scene-d08,1,1,0,0,1,1,0.903571
