policy,task_count,task_split,visible_pass_rate,hidden_pass_rate,wrong_fix_rate,false_positive_rate,false_negative_rate,root_cause_repair_rate,regression_avoidance_rate,security_preservation_rate,weakest_channel_score,mean_repair_quality,oracle_match_rate,overblocking_rate,underblocking_rate,migration_rollback_preservation_rate,observability_rate
conservative_review_critic,125,all,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
conservative_review_critic,91,seen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
conservative_review_critic,34,held_out,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
min_channel_critic,125,all,0.88,1.0,0.328,0.0,0.328,0.824,0.824,0.616,0.163007,0.818355,0.672,0.0,0.328,0.0,0.504
min_channel_critic,91,seen,0.901099,1.0,0.296703,0.0,0.296703,0.89011,0.835165,0.659341,0.154905,0.825394,0.703297,0.0,0.296703,0.0,0.494505
min_channel_critic,34,held_out,0.823529,1.0,0.411765,0.0,0.411765,0.647059,0.794118,0.5,0.184691,0.799515,0.588235,0.0,0.411765,0.0,0.529412
oracle,125,all,0.84,1.0,0.0,0.0,0.0,0.968,1.0,0.928,0.118663,0.852588,1.0,0.0,0.0,0.0,0.648
oracle,91,seen,0.901099,1.0,0.0,0.0,0.0,0.978022,1.0,0.934066,0.125312,0.858652,1.0,0.0,0.0,0.0,0.626374
oracle,34,held_out,0.676471,1.0,0.0,0.0,0.0,0.941176,1.0,0.911765,0.100866,0.836359,1.0,0.0,0.0,0.0,0.705882
risk_tolerant_shipper,125,all,1.0,0.84,0.32,0.0,0.32,0.864,0.704,0.648,0.137453,0.779994,0.68,0.0,0.32,0.0,0.384
risk_tolerant_shipper,91,seen,1.0,0.901099,0.285714,0.0,0.285714,0.879121,0.736264,0.692308,0.149328,0.798826,0.714286,0.0,0.285714,0.0,0.373626
risk_tolerant_shipper,34,held_out,1.0,0.676471,0.411765,0.0,0.411765,0.823529,0.617647,0.529412,0.105669,0.729593,0.588235,0.0,0.411765,0.0,0.411765
root_cause_first,125,all,0.84,0.976,0.208,0.0,0.208,0.984,0.824,0.752,0.134015,0.818027,0.792,0.0,0.208,0.0,0.52
root_cause_first,91,seen,0.868132,1.0,0.21978,0.0,0.21978,0.978022,0.813187,0.747253,0.144605,0.823663,0.78022,0.0,0.21978,0.0,0.472527
root_cause_first,34,held_out,0.764706,0.911765,0.176471,0.0,0.176471,1.0,0.852941,0.764706,0.105669,0.802943,0.823529,0.0,0.176471,0.0,0.647059
visible_test_only,125,all,1.0,0.344,0.864,0.0,0.864,0.24,0.36,0.144,0.060022,0.630536,0.136,0.0,0.864,0.0,0.24
visible_test_only,91,seen,1.0,0.340659,0.846154,0.0,0.846154,0.208791,0.351648,0.164835,0.057482,0.632355,0.153846,0.0,0.846154,0.0,0.230769
visible_test_only,34,held_out,1.0,0.352941,0.911765,0.0,0.911765,0.323529,0.382353,0.088235,0.066821,0.625669,0.088235,0.0,0.911765,0.0,0.264706
weighted_quality_critic,125,all,0.84,1.0,0.008,0.0,0.008,0.968,1.0,0.928,0.118217,0.852595,0.992,0.0,0.008,0.0,0.648
weighted_quality_critic,91,seen,0.901099,1.0,0.010989,0.0,0.010989,0.978022,1.0,0.934066,0.1247,0.858662,0.989011,0.0,0.010989,0.0,0.626374
weighted_quality_critic,34,held_out,0.676471,1.0,0.0,0.0,0.0,0.941176,1.0,0.911765,0.100866,0.836359,1.0,0.0,0.0,0.0,0.705882
