tick_id,day,settlement_id,idle_routine_panel,object_handoff_panel,refusal_consent_animation_panel,inventory_trust_memory_panel,multi_reload_panel,save_restore_panel,frequency_flower_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00000
1,1,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00001
2,1,roofward,True,True,True,True,True,True,True,True,ssrm.v45.world.roofward,ssrm.v45.replay.00002
3,1,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00003
4,1,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00004
5,1,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00005
6,1,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00006
7,1,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00007
8,1,roofward,True,True,True,True,True,True,True,True,ssrm.v45.world.roofward,ssrm.v45.replay.00008
9,1,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00009
10,1,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00010
11,1,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00011
12,1,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00012
13,1,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00013
14,1,roofward,True,True,True,True,True,True,True,True,ssrm.v45.world.roofward,ssrm.v45.replay.00014
15,1,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00015
16,1,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00016
17,1,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00017
18,2,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00018
19,2,roofward,True,True,True,True,True,True,True,True,ssrm.v45.world.roofward,ssrm.v45.replay.00019
20,2,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00020
21,2,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00021
22,2,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00022
23,2,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00023
24,2,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00024
25,2,roofward,True,True,True,True,True,True,True,True,ssrm.v45.world.roofward,ssrm.v45.replay.00025
26,2,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00026
27,2,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00027
28,2,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00028
29,2,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00029
30,2,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00030
31,2,roofward,True,True,True,True,True,True,True,True,ssrm.v45.world.roofward,ssrm.v45.replay.00031
32,2,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00032
33,2,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00033
34,2,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00034
35,2,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00035
36,3,roofward,True,True,True,True,True,True,True,True,ssrm.v45.world.roofward,ssrm.v45.replay.00036
37,3,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00037
38,3,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00038
39,3,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00039
40,3,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00040
41,3,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00041
42,3,roofward,True,True,True,True,True,True,True,True,ssrm.v45.world.roofward,ssrm.v45.replay.00042
43,3,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00043
44,3,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00044
45,3,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00045
46,3,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00046
47,3,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00047
48,3,roofward,True,True,True,True,True,True,True,True,ssrm.v45.world.roofward,ssrm.v45.replay.00048
49,3,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00049
50,3,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00050
51,3,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00051
52,3,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00052
53,3,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00053
54,4,archive,True,True,True,True,True,True,True,True,ssrm.v45.world.archive,ssrm.v45.replay.00054
55,4,signal,True,True,True,True,True,True,True,True,ssrm.v45.world.signal,ssrm.v45.replay.00055
56,4,orchard,True,True,True,True,True,True,True,True,ssrm.v45.world.orchard,ssrm.v45.replay.00056
57,4,repair_ring,True,True,True,True,True,True,True,True,ssrm.v45.world.repair_ring,ssrm.v45.replay.00057
58,4,riverbend,True,True,True,True,True,True,True,True,ssrm.v45.world.riverbend,ssrm.v45.replay.00058
