metric,value
source_free_move_inventory_reaction_continuity,1.0
object_specific_dialogue_binding,0.94375
object_owner_reference_rate,0.918919
object_affordance_reference_rate,0.940541
agent_owned_inventory_request_rate,0.88
agent_owned_request_resolution,0.795673
request_boundary_integrity,0.875601
reaction_to_later_pathing_coupling,0.949519
reaction_to_access_coupling,0.971154
reaction_to_object_request_coupling,1.0
delayed_followup_consequence,1.0
later_scene_behavior_score,0.917067
bounded_refusal_alternative_rate,0.947368
access_refusal_calibration,0.974159
agent_initiated_behavior_rate,0.961165
agent_initiated_behavior_binding,0.989183
storage_consequence_schedule_integrity,0.939904
sensory_consequence_binding,0.961538
comfort_pain_consequence_bounds,1.0
replay_consequence_integrity,0.943269
visible_behavior_consequence_surface,0.949519
privacy_safe_consequence_state,1.0
frequency_flower_consequence_rhythm,1.0
browser_world_v23_surface_available,1.0
mean_consequence_channel_score,0.95243
weakest_channel_score,0.795673
browser_world_v23_reaction_consequence_readiness,0.886592
visible_object_dialogue_count,370.0
visible_agent_request_count,308.0
visible_refusal_count,38.0
reaction_request_bias_count,179.0
