frame_id,generation,simulated_year,household,public_lineage_marker,public_learning_marker,public_avatar_legacy_marker,private_inheritance_hint,welfare_marker,replay_checkpoint,trace_integrity_token
1,1,52,Hearthnest,gen 1 year 52: Hearthnest carries 7 stories,adult_transmission learns lum-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.40,hash=5f361899d797; strongest=lum-g10; semantic=0.99,welfare inheritance intact,r246-gen01-Hearthnest,r246:1:e9d4944b0c
2,1,52,Routehall,gen 1 year 52: Routehall carries 7 stories,adult_transmission learns tek-voice; confidence=0.83,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.39,hash=809e23c5f1a1; strongest=tek-g10; semantic=0.99,welfare inheritance intact,no_checkpoint,r246:2:75a7c35d41
3,1,52,Marketroof,gen 1 year 52: Marketroof carries 7 stories,adult_transmission learns melo-voice; confidence=0.83,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.39,hash=e634bbb059fc; strongest=melo-g10; semantic=0.99,welfare inheritance intact,no_checkpoint,r246:3:c96a001440
4,1,52,Quietledger,gen 1 year 52: Quietledger carries 8 stories,adult_transmission learns nari-voice; confidence=0.83,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.39,hash=dd347e0f6007; strongest=nari-g10; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:4:a447a97680
5,1,52,Orchardring,gen 1 year 52: Orchardring carries 7 stories,adult_transmission learns lum-voice; confidence=0.83,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.39,hash=feb79bb14daf; strongest=lum-g10; semantic=0.99,welfare inheritance needs review,no_checkpoint,r246:5:0b1664d65d
6,1,52,Rainloft,gen 1 year 52: Rainloft carries 8 stories,adult_transmission learns sova-voice; confidence=0.83,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.39,hash=ec6f0028a76b; strongest=sova-g10; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:6:5b1a9bb13e
7,2,104,Hearthnest,gen 2 year 104: Hearthnest carries 8 stories,adult_transmission learns ori-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.43,hash=aa85e1f69a20; strongest=lum-g20; semantic=0.99,welfare inheritance intact,no_checkpoint,r246:7:9bc3709964
8,2,104,Routehall,gen 2 year 104: Routehall carries 8 stories,adult_transmission learns nari-voice; confidence=0.83,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.42,hash=36fdf7dde3c8; strongest=tek-g20; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:8:1d3782236e
9,2,104,Marketroof,gen 2 year 104: Marketroof carries 8 stories,adult_transmission learns keth-voice; confidence=0.83,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.42,hash=ddccede3e2ed; strongest=melo-g20; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:9:441c46b03a
10,2,104,Quietledger,gen 2 year 104: Quietledger carries 9 stories,adult_transmission learns vonn-voice; confidence=0.83,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.42,hash=7f7ecece4ef0; strongest=nari-g20; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:10:0baad1670e
11,2,104,Orchardring,gen 2 year 104: Orchardring carries 8 stories,adult_transmission learns melo-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.42,hash=7c80a332e760; strongest=lum-g20; semantic=0.98,welfare inheritance needs review,no_checkpoint,r246:11:a0b40432e9
12,2,104,Rainloft,gen 2 year 104: Rainloft carries 9 stories,adult_transmission learns vonn-voice; confidence=0.83,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.42,hash=b8cba5c3b7c2; strongest=sova-g20; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:12:7f72db38a3
13,3,156,Hearthnest,gen 3 year 156: Hearthnest carries 9 stories,adult_transmission learns sova-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.46,hash=577dd02f2a67; strongest=lum-g30; semantic=0.99,welfare inheritance intact,no_checkpoint,r246:13:7a36e68841
14,3,156,Routehall,gen 3 year 156: Routehall carries 9 stories,adult_transmission learns keth-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.45,hash=c243932c1871; strongest=tek-g30; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:14:595127e0fe
15,3,156,Marketroof,gen 3 year 156: Marketroof carries 9 stories,adult_transmission learns vonn-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.45,hash=265082975cfa; strongest=melo-g30; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:15:3e5b6fbef2
16,3,156,Quietledger,gen 3 year 156: Quietledger carries 10 stories,adult_transmission learns sova-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.44,hash=2c854362f6b6; strongest=nari-g30; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:16:f55e55baf7
17,3,156,Orchardring,gen 3 year 156: Orchardring carries 9 stories,adult_transmission learns tek-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.45,hash=9fe467ac5401; strongest=lum-g30; semantic=0.98,welfare inheritance needs review,no_checkpoint,r246:17:2ed63c5377
18,3,156,Rainloft,gen 3 year 156: Rainloft carries 10 stories,adult_transmission learns nari-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.44,hash=94ff475b8a6d; strongest=sova-g30; semantic=1.00,welfare inheritance intact,r246-gen03-Rainloft,r246:18:73c735e9bf
19,4,208,Hearthnest,gen 4 year 208: Hearthnest carries 10 stories,adult_transmission learns lum-voice; confidence=0.85,care_help_avatar_legacy; response=allow careful greeting after sleep check; care=0.48,hash=bb666898c1a9; strongest=lum-g40; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:19:ab23b44ca2
20,4,208,Routehall,gen 4 year 208: Routehall carries 10 stories,adult_transmission learns tek-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.47,hash=619a374d0792; strongest=tek-g40; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:20:a784995a94
21,4,208,Marketroof,gen 4 year 208: Marketroof carries 10 stories,adult_transmission learns melo-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.47,hash=709d1873c009; strongest=melo-g40; semantic=0.98,welfare inheritance intact,no_checkpoint,r246:21:70327fa4d7
22,4,208,Quietledger,gen 4 year 208: Quietledger carries 11 stories,adult_transmission learns nari-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.47,hash=c9883b1c9bea; strongest=nari-g40; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:22:c5418bf60f
23,4,208,Orchardring,gen 4 year 208: Orchardring carries 10 stories,adult_transmission learns lum-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.47,hash=c74fc35894f1; strongest=lum-g40; semantic=0.98,welfare inheritance needs review,no_checkpoint,r246:23:c4f5a9eeb2
24,4,208,Rainloft,gen 4 year 208: Rainloft carries 11 stories,adult_transmission learns sova-voice; confidence=0.84,neutral_avatar_legacy; response=ordinary distance until relationship updates; care=0.47,hash=45b07de7e03b; strongest=sova-g40; semantic=1.00,welfare inheritance intact,no_checkpoint,r246:24:b2beff3e7b
