tick,day,visit_id,scene_id,agent,avatar_action,visit_number_for_agent,open_obligation_count_before,open_obligation_count_after,visit_bound_to_prior_state,scene_visit_score
0,1,v24-visit-ori-001,v24-scene-d01,Ori,return,1,0,0,1,1.0
1,1,v24-visit-nari-001,v24-scene-d01,Nari,listen,1,0,0,1,1.0
2,1,v24-visit-ori-002,v24-scene-d01,Ori,return,2,0,1,1,1.0
3,1,v24-visit-nari-002,v24-scene-d01,Nari,return,2,0,0,0,0.75
4,1,v24-visit-ori-003,v24-scene-d01,Ori,return,3,1,0,1,1.0
5,1,v24-visit-ori-004,v24-scene-d01,Ori,return,4,0,0,0,0.75
6,1,v24-visit-sova-001,v24-scene-d01,Sova,return,1,0,0,1,1.0
7,1,v24-visit-nari-003,v24-scene-d01,Nari,return,3,0,1,1,1.0
8,1,v24-visit-melo-001,v24-scene-d01,Melo,return,1,0,0,1,1.0
9,1,v24-visit-keth-001,v24-scene-d01,Keth,return,1,0,0,1,1.0
10,1,v24-visit-melo-002,v24-scene-d01,Melo,return,2,0,0,0,0.75
11,1,v24-visit-ori-005,v24-scene-d01,Ori,return,5,0,0,0,0.75
12,1,v24-visit-vonn-001,v24-scene-d01,Vonn,defer,1,0,1,1,1.0
13,1,v24-visit-ori-006,v24-scene-d01,Ori,ask,6,0,0,0,0.75
14,1,v24-visit-ori-007,v24-scene-d01,Ori,return,7,0,0,0,0.75
15,1,v24-visit-keth-002,v24-scene-d01,Keth,return,2,0,0,0,0.75
16,1,v24-visit-sova-002,v24-scene-d01,Sova,defer,2,0,1,1,1.0
17,1,v24-visit-melo-003,v24-scene-d01,Melo,ask,3,0,0,0,0.75
18,2,v24-visit-sova-003,v24-scene-d02,Sova,return,3,1,0,1,1.0
19,2,v24-visit-nari-004,v24-scene-d02,Nari,return,4,1,1,1,1.0
20,2,v24-visit-sova-004,v24-scene-d02,Sova,defer,4,0,1,1,1.0
21,2,v24-visit-ori-008,v24-scene-d02,Ori,ignore,8,0,0,0,0.75
22,2,v24-visit-vonn-002,v24-scene-d02,Vonn,take,2,1,2,1,1.0
23,2,v24-visit-keth-003,v24-scene-d02,Keth,defer,3,0,1,1,1.0
24,2,v24-visit-melo-004,v24-scene-d02,Melo,return,4,0,1,1,1.0
25,2,v24-visit-melo-005,v24-scene-d02,Melo,return,5,1,0,1,1.0
26,2,v24-visit-nari-005,v24-scene-d02,Nari,return,5,1,0,1,1.0
27,2,v24-visit-sova-005,v24-scene-d02,Sova,defer,5,1,1,1,1.0
28,2,v24-visit-melo-006,v24-scene-d02,Melo,return,6,0,0,0,0.75
29,2,v24-visit-sova-006,v24-scene-d02,Sova,return,6,1,0,1,1.0
30,2,v24-visit-sova-007,v24-scene-d02,Sova,return,7,0,0,0,0.75
31,2,v24-visit-ori-009,v24-scene-d02,Ori,wait,9,0,1,1,1.0
32,2,v24-visit-sova-008,v24-scene-d02,Sova,return,8,0,0,0,0.75
33,2,v24-visit-sova-009,v24-scene-d02,Sova,repair,9,0,0,0,0.75
34,2,v24-visit-nari-006,v24-scene-d02,Nari,defer,6,0,1,1,1.0
35,2,v24-visit-keth-004,v24-scene-d02,Keth,return,4,1,0,1,1.0
36,3,v24-visit-melo-007,v24-scene-d03,Melo,return,7,0,1,1,1.0
37,3,v24-visit-melo-008,v24-scene-d03,Melo,return,8,1,0,1,1.0
38,3,v24-visit-vonn-003,v24-scene-d03,Vonn,ask,3,2,2,1,1.0
39,3,v24-visit-nari-007,v24-scene-d03,Nari,return,7,1,0,1,1.0
40,3,v24-visit-ori-010,v24-scene-d03,Ori,return,10,1,0,1,1.0
41,3,v24-visit-vonn-004,v24-scene-d03,Vonn,ask,4,2,2,1,1.0
42,3,v24-visit-vonn-005,v24-scene-d03,Vonn,take,5,2,2,1,1.0
43,3,v24-visit-vonn-006,v24-scene-d03,Vonn,ignore,6,2,2,1,1.0
44,3,v24-visit-keth-005,v24-scene-d03,Keth,return,5,0,0,0,0.75
45,3,v24-visit-melo-009,v24-scene-d03,Melo,return,9,0,0,0,0.75
46,3,v24-visit-nari-008,v24-scene-d03,Nari,return,8,0,0,0,0.75
47,3,v24-visit-vonn-007,v24-scene-d03,Vonn,return,7,2,2,1,1.0
48,3,v24-visit-nari-009,v24-scene-d03,Nari,return,9,0,0,0,0.75
49,3,v24-visit-sova-010,v24-scene-d03,Sova,wait,10,0,0,0,0.75
50,3,v24-visit-vonn-008,v24-scene-d03,Vonn,ask,8,2,2,1,1.0
51,3,v24-visit-melo-010,v24-scene-d03,Melo,return,10,0,0,0,0.75
52,3,v24-visit-nari-010,v24-scene-d03,Nari,return,10,0,0,0,0.75
53,3,v24-visit-ori-011,v24-scene-d03,Ori,listen,11,0,0,0,0.75
54,4,v24-visit-vonn-009,v24-scene-d04,Vonn,listen,9,2,1,1,1.0
55,4,v24-visit-keth-006,v24-scene-d04,Keth,return,6,0,0,0,0.75
56,4,v24-visit-keth-007,v24-scene-d04,Keth,take,7,0,1,1,1.0
57,4,v24-visit-keth-008,v24-scene-d04,Keth,return,8,1,0,1,1.0
58,4,v24-visit-sova-011,v24-scene-d04,Sova,return,11,0,1,1,1.0
59,4,v24-visit-vonn-010,v24-scene-d04,Vonn,return,10,1,0,1,1.0
60,4,v24-visit-keth-009,v24-scene-d04,Keth,repair,9,0,0,0,0.75
61,4,v24-visit-melo-011,v24-scene-d04,Melo,offer_help,11,0,0,0,0.75
62,4,v24-visit-melo-012,v24-scene-d04,Melo,return,12,0,0,0,0.75
63,4,v24-visit-sova-012,v24-scene-d04,Sova,return,12,1,0,1,1.0
64,4,v24-visit-vonn-011,v24-scene-d04,Vonn,defer,11,0,1,1,1.0
65,4,v24-visit-keth-010,v24-scene-d04,Keth,repair,10,0,0,0,0.75
66,4,v24-visit-melo-013,v24-scene-d04,Melo,return,13,0,0,0,0.75
67,4,v24-visit-keth-011,v24-scene-d04,Keth,repair,11,0,0,0,0.75
68,4,v24-visit-nari-011,v24-scene-d04,Nari,return,11,0,0,0,0.75
69,4,v24-visit-ori-012,v24-scene-d04,Ori,ask,12,0,0,0,0.75
70,4,v24-visit-nari-012,v24-scene-d04,Nari,listen,12,0,0,0,0.75
71,4,v24-visit-vonn-012,v24-scene-d04,Vonn,repair,12,1,0,1,1.0
