metric,value
source_conflict_arbitration_continuity,1.0
multi_day_gameplay_span,1.0
live_conflict_decision_surface,0.880952
typed_gameplay_decision_confidence,0.846036
remembered_arbitration_reuse,0.920833
later_request_refusal_binding,0.876984
bounded_refusal_with_repair_path,0.942029
access_posture_change_binding,0.876984
relationship_posture_continuity,0.876984
conflict_repair_decay_calibration,1.0
repair_memory_softened_not_erased,0.945736
persistent_branch_state_integrity,0.873016
reload_day_advance_survival,0.888889
replay_gameplay_integrity,0.992254
privacy_safe_public_memory,1.0
sensory_frequency_flower_gameplay_rhythm,1.0
browser_world_v16_surface_available,1.0
mean_gameplay_channel_score,0.936512
weakest_channel_score,0.846036
browser_world_v16_persistent_conflict_gameplay_readiness,0.902131
