frame_id,day,time_s,dt_ms,avatar_x,avatar_y,input_vector,place,collision_state,nearest_agent,nearest_object,sensory_packet,avatar_body_cost,replay_hash,frequency_hz,flower_node
rt-001,1,1.25,250,48.308,72.308,"0,-1",south path,clear,roka,blue stone,"cool damp grass, reed smell, low rain ticks",0.013,rt-hash-1-1-roka-blue-stone,162.75,3
rt-002,1,2.5,250,36.964,64.964,"-1,0",reed lane edge,boundary_slow,roka,loose reeds,"wet reed smell, soft mud drag, child breath nearby",0.023,rt-hash-1-2-roka-loose-reeds,165.5,4
rt-003,1,3.75,250,24.253,61.253,"-1,0",blue stone,boundary_hold,roka,tied bundle,"warm stone, tight reed cord, quiet warning",0.019,rt-hash-1-3-roka-tied-bundle,168.25,5
rt-004,1,5.0,250,52.006,52.006,"1,-1",bridge arc,clear,ariq,chalk cord,"chalk dust, hollow stone scrape, warmer air",0.032,rt-hash-1-4-ariq-chalk-cord,171.0,6
rt-005,1,6.25,250,34.222,43.222,"-1,0",shade pause,routine_hold,fayen,water cups,"herb shade, cup clink, slow breathing",0.015,rt-hash-1-5-fayen-water-cups,173.75,7
rt-006,1,7.5,250,30.973,35.973,"0,-1",care bell,clear,fayen,care bell,"low bell, warm hands, herb smoke",0.011,rt-hash-1-6-fayen-care-bell,176.5,8
rt-007,1,8.75,250,42.982,24.982,"1,-1",archive threshold,threshold_stop,nian,archive flap,"still air, cloth flap, low voice",0.012,rt-hash-1-7-nian-archive-flap,179.25,9
rt-008,1,10.0,250,70.155,49.155,"1,0",knot board,clear,noro,public knot board,"dry cord rasp, smoke thread, board tap",0.013,rt-hash-1-8-noro-public-knot-board,182.0,10
rt-009,1,11.25,250,62.225,39.225,"0,-1",shade frame,debt_warning,noro,shade beam,"wood grain, shoulder strain, warm dust",0.036,rt-hash-1-9-noro-shade-beam,184.75,11
rt-010,1,12.5,250,71.725,57.725,"0,1",evening ledger,circle_edge,noro,debt knot,"ash smell, dusk cooling, low ledger chant",0.014,rt-hash-1-10-noro-debt-knot,187.5,12
rt-011,1,13.75,250,57.716,44.716,"-1,0",stone lift edge,clear,ariq,flat stone,"bell tone, boot grit, dust",0.029,rt-hash-1-11-ariq-flat-stone,190.25,1
rt-012,1,15.0,250,22.804,59.804,"-1,1",reed return,clear,roka,loose reeds,"dry reed snap, blue stone warmth, quieter voice",0.018,rt-hash-1-12-roka-loose-reeds,193.0,2
rt-013,2,901.25,250,48.416,71.316,"0,-1",south path,clear,roka,blue stone,"cool damp grass, reed smell, low rain ticks",0.014,rt-hash-2-1-roka-blue-stone,195.75,3
rt-014,2,902.5,250,37.255,64.155,"-1,0",reed lane edge,boundary_slow,roka,loose reeds,"wet reed smell, soft mud drag, child breath nearby",0.024,rt-hash-2-2-roka-loose-reeds,198.5,4
rt-015,2,903.75,250,24.871,60.771,"-1,0",blue stone,boundary_hold,roka,tied bundle,"warm stone, tight reed cord, quiet warning",0.02,rt-hash-2-3-roka-tied-bundle,201.25,5
rt-016,2,905.0,250,52.362,51.262,"1,-1",bridge arc,clear,ariq,chalk cord,"chalk dust, hollow stone scrape, warmer air",0.033,rt-hash-2-4-ariq-chalk-cord,204.0,6
rt-017,2,906.25,250,34.815,42.715,"-1,0",shade pause,routine_hold,fayen,water cups,"herb shade, cup clink, slow breathing",0.016,rt-hash-2-5-fayen-water-cups,206.75,7
rt-018,2,907.5,250,31.32,35.22,"0,-1",care bell,clear,fayen,care bell,"low bell, warm hands, herb smoke",0.012,rt-hash-2-6-fayen-care-bell,209.5,8
rt-019,2,908.75,250,43.66,24.56,"1,-1",archive threshold,threshold_stop,nian,archive flap,"still air, cloth flap, low voice",0.013,rt-hash-2-7-nian-archive-flap,212.25,9
rt-020,2,910.0,250,70.243,48.143,"1,0",knot board,clear,noro,public knot board,"dry cord rasp, smoke thread, board tap",0.014,rt-hash-2-8-noro-public-knot-board,215.0,10
rt-021,2,911.25,250,62.72,38.62,"0,-1",shade frame,debt_warning,noro,shade beam,"wood grain, shoulder strain, warm dust",0.037,rt-hash-2-9-noro-shade-beam,217.75,11
rt-022,2,912.5,250,72.277,57.177,"0,1",evening ledger,circle_edge,noro,debt knot,"ash smell, dusk cooling, low ledger chant",0.015,rt-hash-2-10-noro-debt-knot,220.5,12
rt-023,2,913.75,250,58.218,44.118,"-1,0",stone lift edge,clear,ariq,flat stone,"bell tone, boot grit, dust",0.03,rt-hash-2-11-ariq-flat-stone,223.25,1
rt-024,2,915.0,250,23.86,59.76,"-1,1",reed return,clear,roka,loose reeds,"dry reed snap, blue stone warmth, quieter voice",0.019,rt-hash-2-12-roka-loose-reeds,226.0,2
rt-025,3,1801.25,250,49.266,71.066,"0,-1",south path,clear,roka,blue stone,"cool damp grass, reed smell, low rain ticks",0.015,rt-hash-3-1-roka-blue-stone,228.75,3
rt-026,3,1802.5,250,37.923,63.723,"-1,0",reed lane edge,boundary_slow,roka,loose reeds,"wet reed smell, soft mud drag, child breath nearby",0.025,rt-hash-3-2-roka-loose-reeds,231.5,4
rt-027,3,1803.75,250,25.37,60.17,"-1,0",blue stone,boundary_hold,roka,tied bundle,"warm stone, tight reed cord, quiet warning",0.021,rt-hash-3-3-roka-tied-bundle,234.25,5
rt-028,3,1805.0,250,52.915,50.715,"1,-1",bridge arc,clear,ariq,chalk cord,"chalk dust, hollow stone scrape, warmer air",0.034,rt-hash-3-4-ariq-chalk-cord,237.0,6
rt-029,3,1806.25,250,35.075,41.875,"-1,0",shade pause,routine_hold,fayen,water cups,"herb shade, cup clink, slow breathing",0.017,rt-hash-3-5-fayen-water-cups,239.75,7
rt-030,3,1807.5,250,32.152,34.952,"0,-1",care bell,clear,fayen,care bell,"low bell, warm hands, herb smoke",0.013,rt-hash-3-6-fayen-care-bell,242.5,8
rt-031,3,1808.75,250,43.93,23.73,"1,-1",archive threshold,threshold_stop,nian,archive flap,"still air, cloth flap, low voice",0.014,rt-hash-3-7-nian-archive-flap,245.25,9
rt-032,3,1810.0,250,70.772,47.572,"1,0",knot board,clear,noro,public knot board,"dry cord rasp, smoke thread, board tap",0.015,rt-hash-3-8-noro-public-knot-board,248.0,10
rt-033,3,1811.25,250,62.849,37.649,"0,-1",shade frame,debt_warning,noro,shade beam,"wood grain, shoulder strain, warm dust",0.038,rt-hash-3-9-noro-shade-beam,250.75,11
rt-034,3,1812.5,250,73.331,57.131,"0,1",evening ledger,circle_edge,noro,debt knot,"ash smell, dusk cooling, low ledger chant",0.016,rt-hash-3-10-noro-debt-knot,253.5,12
rt-035,3,1813.75,250,59.056,43.856,"-1,0",stone lift edge,clear,ariq,flat stone,"bell tone, boot grit, dust",0.031,rt-hash-3-11-ariq-flat-stone,256.25,1
rt-036,3,1815.0,250,24.022,58.822,"-1,1",reed return,clear,roka,loose reeds,"dry reed snap, blue stone warmth, quieter voice",0.02,rt-hash-3-12-roka-loose-reeds,259.0,2
rt-037,4,2701.25,250,49.615,70.315,"0,-1",south path,clear,roka,blue stone,"cool damp grass, reed smell, low rain ticks",0.016,rt-hash-4-1-roka-blue-stone,261.75,3
rt-038,4,2702.5,250,38.95,63.65,"-1,0",reed lane edge,boundary_slow,roka,loose reeds,"wet reed smell, soft mud drag, child breath nearby",0.026,rt-hash-4-2-roka-loose-reeds,264.5,4
rt-039,4,2703.75,250,25.388,59.088,"-1,0",blue stone,boundary_hold,roka,tied bundle,"warm stone, tight reed cord, quiet warning",0.022,rt-hash-4-3-roka-tied-bundle,267.25,5
rt-040,4,2705.0,250,53.491,50.191,"1,-1",bridge arc,clear,ariq,chalk cord,"chalk dust, hollow stone scrape, warmer air",0.035,rt-hash-4-4-ariq-chalk-cord,270.0,6
rt-041,4,2706.25,250,35.413,41.113,"-1,0",shade pause,routine_hold,fayen,water cups,"herb shade, cup clink, slow breathing",0.018,rt-hash-4-5-fayen-water-cups,272.75,7
rt-042,4,2707.5,250,32.634,34.334,"0,-1",care bell,clear,fayen,care bell,"low bell, warm hands, herb smoke",0.014,rt-hash-4-6-fayen-care-bell,275.5,8
rt-043,4,2708.75,250,44.961,23.661,"1,-1",archive threshold,threshold_stop,nian,archive flap,"still air, cloth flap, low voice",0.015,rt-hash-4-7-nian-archive-flap,278.25,9
rt-044,4,2710.0,250,71.314,47.014,"1,0",knot board,clear,noro,public knot board,"dry cord rasp, smoke thread, board tap",0.016,rt-hash-4-8-noro-public-knot-board,281.0,10
rt-045,4,2711.25,250,63.757,37.457,"0,-1",shade frame,debt_warning,noro,shade beam,"wood grain, shoulder strain, warm dust",0.039,rt-hash-4-9-noro-shade-beam,283.75,11
rt-046,4,2712.5,250,73.916,56.616,"0,1",evening ledger,circle_edge,noro,debt knot,"ash smell, dusk cooling, low ledger chant",0.017,rt-hash-4-10-noro-debt-knot,286.5,12
rt-047,4,2713.75,250,59.773,43.473,"-1,0",stone lift edge,clear,ariq,flat stone,"bell tone, boot grit, dust",0.032,rt-hash-4-11-ariq-flat-stone,289.25,1
rt-048,4,2715.0,250,24.725,58.425,"-1,1",reed return,clear,roka,loose reeds,"dry reed snap, blue stone warmth, quieter voice",0.021,rt-hash-4-12-roka-loose-reeds,292.0,2
