tick_id,day,settlement_id,resident_id,plan_id,turn_number,plan_state,avatar_offer,resident_counter,agreed_next_step,plan_quality_before,plan_quality_after,trust_before,trust_after,multi_turn_visible,history_not_erased
0,1,moss_ward,Ari,ae24202dca,1,refused,repair together,ask before loom repair,resident keeps lead; avatar waits,0.42,0.43,0.58,0.586,True,True
2,1,cinder_garden,Vale,f4c9285fe1,1,countered,translate phrase,do not cross seed rows,revise plan around cool bowl shared,0.42,0.444,0.58,0.588,True,True
4,1,orchid_engine,Bea,58c95d85ca,1,accepted,wait for resident lead,orchid keeper decides,resident keeps lead; avatar waits,0.42,0.43,0.58,0.586,True,True
6,1,glass_harbor,Puck,14e29a1e1b,1,refused,repair together,net keeper decides,resident keeps lead; avatar waits,0.42,0.43,0.58,0.586,True,True
8,1,lichen_bridge,Kio,18e5d4c697,1,countered,translate phrase,do not step on tension rope,revise plan around meal room welcomes,0.42,0.444,0.58,0.588,True,True
10,1,moss_ward,Milo,de6720cb02,2,accepted,wait for resident lead,rain path first,resident keeps lead; avatar waits,0.42,0.43,0.58,0.586,True,True
12,1,cinder_garden,Juno,614cc716a1,2,refused,repair together,shade caller leads,resident keeps lead; avatar waits,0.42,0.43,0.58,0.586,True,True
14,1,orchid_engine,Dax,9927347073,2,countered,translate phrase,do not turn valve key,revise plan around orchid keeper decides,0.42,0.444,0.58,0.588,True,True
16,1,glass_harbor,Nia,4e8ee05742,2,accepted,wait for resident lead,tea before crossing,resident keeps lead; avatar waits,0.42,0.43,0.58,0.586,True,True
18,2,orchid_engine,Bea,3fbc95e9f9,3,proposed,watch route,keep gear lane open,do first safe step for valve key,0.43,0.448,0.592,0.598,True,True
20,2,glass_harbor,Puck,eac7c5aa5d,3,revised,step back,do not dim lamp,revise plan around tea before crossing,0.43,0.454,0.592,0.6,True,True
22,2,lichen_bridge,Kio,c72cb768e6,2,deferred,carry object,meal room welcomes,schedule later with phrase marker,0.444,0.458,0.592,0.596,True,True
24,2,moss_ward,Milo,61cf44b77d,3,proposed,watch route,ask before loom repair,do first safe step for rain jar,0.43,0.448,0.586,0.592,True,True
26,2,cinder_garden,Juno,34bc37fe5f,3,revised,step back,do not cross seed rows,revise plan around cool bowl shared,0.43,0.454,0.592,0.6,True,True
28,2,orchid_engine,Dax,b93733ff7b,4,deferred,carry object,orchid keeper decides,schedule later with phrase marker,0.444,0.458,0.592,0.596,True,True
30,2,glass_harbor,Nia,e875067fce,4,proposed,watch route,net keeper decides,do first safe step for brass lantern,0.43,0.448,0.592,0.598,True,True
32,2,lichen_bridge,Rin,d85ee4bf87,3,revised,step back,do not step on tension rope,revise plan around meal room welcomes,0.42,0.444,0.58,0.588,True,True
34,2,moss_ward,Ari,e6a67d3d1b,4,deferred,carry object,rain path first,schedule later with phrase marker,0.43,0.444,0.592,0.596,True,True
36,3,lichen_bridge,Kio,b39c152194,4,countered,translate phrase,signal keeper answers,revise plan around do not step on tension rope,0.458,0.482,0.596,0.604,True,True
38,3,moss_ward,Milo,6774392c53,1,accepted,wait for resident lead,do not move root ledger,resident keeps lead; avatar waits,0.448,0.458,0.596,0.602,True,True
40,3,cinder_garden,Juno,9aa0593654,4,refused,repair together,cool bowl shared,resident keeps lead; avatar waits,0.454,0.464,0.6,0.606,True,True
42,3,orchid_engine,Dax,f0404afa60,1,countered,translate phrase,keep gear lane open,revise plan around do not turn valve key,0.458,0.482,0.602,0.61,True,True
