mutation_id,year,household_id,parent_token,mutated_token,mutation_kind,semantic_shift,grounded_scene,adoption_rate,stability_score,rollback_meaning
mut_agent_0_westkeepers,0,westkeepers,kase0,kase0,sound-softening,sound-softening binds route keeper to prefers dry arches,westkeepers uses the word while resolving body cost or trade duty,0.32,0.72,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_0_mossgarden,0,mossgarden,muse0,muse0,sound-softening,sound-softening binds rest keeper to prefers warm shared meals,mossgarden uses the word while resolving body cost or trade duty,0.32,0.72,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_0_ledgerkin,0,ledgerkin,lose0,lose0,sound-softening,sound-softening binds market counter to prefers fair turns,ledgerkin uses the word while resolving body cost or trade duty,0.35,0.72,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_0_redstair,0,redstair,sase0,sase0,sound-softening,sound-softening binds witness keeper to prefers quiet truthful speech,redstair uses the word while resolving body cost or trade duty,0.35,0.72,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_0_wheelwright,0,wheelwright,nise0,nise0,sound-softening,sound-softening binds waterwheel keeper to prefers careful invention,wheelwright uses the word while resolving body cost or trade duty,0.32,0.72,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_55_westkeepers,55,westkeepers,kase0,kave1,gesture-affix,gesture-affix binds route keeper to prefers dry arches,westkeepers uses the word while resolving body cost or trade duty,0.42,0.755,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_55_mossgarden,55,mossgarden,muse0,muve1,gesture-affix,gesture-affix binds rest keeper to prefers warm shared meals,mossgarden uses the word while resolving body cost or trade duty,0.42,0.755,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_55_ledgerkin,55,ledgerkin,lose0,love1,gesture-affix,gesture-affix binds market counter to prefers fair turns,ledgerkin uses the word while resolving body cost or trade duty,0.45,0.755,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_55_redstair,55,redstair,sase0,save1,gesture-affix,gesture-affix binds witness keeper to prefers quiet truthful speech,redstair uses the word while resolving body cost or trade duty,0.45,0.755,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_55_wheelwright,55,wheelwright,nise0,nive1,gesture-affix,gesture-affix binds waterwheel keeper to prefers careful invention,wheelwright uses the word while resolving body cost or trade duty,0.42,0.755,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_377_westkeepers,377,westkeepers,kave1,katr2,trade-compound,trade-compound binds route keeper to prefers dry arches,westkeepers uses the word while resolving body cost or trade duty,0.52,0.79,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_377_mossgarden,377,mossgarden,muve1,mutr2,trade-compound,trade-compound binds rest keeper to prefers warm shared meals,mossgarden uses the word while resolving body cost or trade duty,0.52,0.79,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_377_ledgerkin,377,ledgerkin,love1,lotr2,trade-compound,trade-compound binds market counter to prefers fair turns,ledgerkin uses the word while resolving body cost or trade duty,0.55,0.79,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_377_redstair,377,redstair,save1,satr2,trade-compound,trade-compound binds witness keeper to prefers quiet truthful speech,redstair uses the word while resolving body cost or trade duty,0.55,0.79,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_377_wheelwright,377,wheelwright,nive1,nitr2,trade-compound,trade-compound binds waterwheel keeper to prefers careful invention,wheelwright uses the word while resolving body cost or trade duty,0.52,0.79,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_987_westkeepers,987,westkeepers,katr2,kasq3,repair-marker,repair-marker binds route keeper to prefers dry arches,westkeepers uses the word while resolving body cost or trade duty,0.62,0.825,fallback to founder root if mutation confuses market or ritual meaning
mut_agent_987_mossgarden,987,mossgarden,mutr2,musq3,repair-marker,repair-marker binds rest keeper to prefers warm shared meals,mossgarden uses the word while resolving body cost or trade duty,0.62,0.825,fallback to founder root if mutation confuses market or ritual meaning
