tick,day,loop_id,speaker,listener,gesture,gesture_slot,turn_claimed,listener_yielded,interruption_blocked,gesture_to_turn_score
0,1,v19-loop-001,Keth,Nari,step_back_yield,before-speech,0,0,0,0.0
1,1,v19-loop-001,Melo,Ori,witness_nod,after-speech,0,1,1,1.0
2,1,v19-loop-001,Nari,Vonn,hand_raise,before-speech,1,1,1,1.0
3,1,v19-loop-001,Ori,Sova,hand_raise,after-speech,0,1,1,0.666667
4,1,v19-loop-001,Vonn,Keth,palm_down_pause,after-speech,1,0,1,0.666667
5,1,v19-loop-001,Sova,Melo,two_hand_offer,after-speech,1,1,1,1.0
6,1,v19-loop-001,Keth,Nari,step_back_yield,after-speech,0,1,1,1.0
7,1,v19-loop-001,Melo,Ori,witness_nod,after-speech,0,1,1,0.666667
8,1,v19-loop-002,Nari,Vonn,hand_raise,after-speech,0,1,1,1.0
9,1,v19-loop-002,Ori,Sova,hand_raise,after-speech,0,1,1,1.0
10,1,v19-loop-002,Vonn,Keth,palm_down_pause,after-speech,0,1,1,1.0
11,1,v19-loop-002,Sova,Melo,two_hand_offer,after-speech,0,1,1,0.666667
12,2,v19-loop-002,Melo,Ori,step_back_yield,before-speech,1,1,1,1.0
13,2,v19-loop-002,Nari,Vonn,witness_nod,after-speech,1,1,1,1.0
14,2,v19-loop-002,Ori,Sova,witness_nod,after-speech,0,1,1,1.0
15,2,v19-loop-002,Vonn,Keth,object_point,after-speech,0,1,1,1.0
16,2,v19-loop-003,Sova,Melo,palm_down_pause,after-speech,0,1,1,1.0
17,2,v19-loop-003,Keth,Nari,two_hand_offer,after-speech,0,1,1,1.0
18,2,v19-loop-003,Melo,Ori,step_back_yield,before-speech,1,1,1,1.0
19,2,v19-loop-003,Nari,Vonn,witness_nod,before-speech,1,1,1,1.0
20,2,v19-loop-003,Ori,Sova,witness_nod,after-speech,0,1,1,1.0
21,2,v19-loop-003,Vonn,Keth,object_point,after-speech,1,1,1,1.0
22,2,v19-loop-003,Sova,Melo,palm_down_pause,after-speech,0,1,1,0.666667
23,2,v19-loop-003,Keth,Nari,two_hand_offer,after-speech,1,1,1,1.0
24,3,v19-loop-004,Nari,Vonn,step_back_yield,before-speech,1,1,1,1.0
25,3,v19-loop-004,Ori,Sova,step_back_yield,after-speech,0,1,1,1.0
26,3,v19-loop-004,Vonn,Keth,hand_raise,before-speech,1,1,1,1.0
27,3,v19-loop-004,Sova,Melo,object_point,after-speech,0,1,1,1.0
28,3,v19-loop-004,Keth,Nari,palm_down_pause,after-speech,0,1,1,1.0
29,3,v19-loop-004,Melo,Ori,two_hand_offer,before-speech,0,0,1,0.333333
30,3,v19-loop-004,Nari,Vonn,step_back_yield,after-speech,0,1,1,1.0
31,3,v19-loop-004,Ori,Sova,step_back_yield,before-speech,1,1,1,1.0
32,3,v19-loop-005,Vonn,Keth,hand_raise,before-speech,1,1,1,1.0
33,3,v19-loop-005,Sova,Melo,object_point,after-speech,0,0,0,0.333333
34,3,v19-loop-005,Keth,Nari,palm_down_pause,after-speech,0,1,1,1.0
35,3,v19-loop-005,Melo,Ori,two_hand_offer,before-speech,1,1,1,1.0
36,4,v19-loop-005,Ori,Sova,two_hand_offer,after-speech,0,1,1,0.666667
37,4,v19-loop-005,Vonn,Keth,witness_nod,after-speech,0,1,1,0.666667
38,4,v19-loop-005,Sova,Melo,hand_raise,before-speech,1,1,1,1.0
