tick_id,day,settlement_id,room_id,avatar_x,avatar_y,facing_deg,action,movement_allowed,collision_marker,crosshair_target,render_layer,input_hint_visible,first_person_camera_active,local_scene_not_global
0,1,orchard,arrival court,1.0,1.0,45,turn_right,True,none,arrival court,first-person-room-card+depth-cues,True,True,True
1,1,repair_ring,spark lane,1.18,1.1,0,approach_resident,True,none,Juno,first-person-room-card+depth-cues,True,True,True
2,1,riverbend,dry ridge,1.35,1.0,0,move_forward,True,none,dry ridge,first-person-room-card+depth-cues,True,True,True
3,1,roofward,arrival court,1.0,1.0,45,turn_right,True,none,arrival court,first-person-room-card+depth-cues,True,True,True
4,1,archive,spool room,1.18,1.1,0,approach_resident,True,none,Toma,first-person-room-card+depth-cues,True,True,True
5,1,signal,signal perch,1.0,1.0,0,drop_object,True,none,signal lens,first-person-room-card+depth-cues,True,True,True
6,1,orchard,seed lane,1.0,1.0,45,request_permission,True,none,apple wrap,first-person-room-card+depth-cues,True,True,True
7,1,repair_ring,bell alcove,1.06,1.02,0,wait_respectfully,True,none,bell alcove,first-person-room-card+depth-cues,True,True,True
8,1,riverbend,kit alcove,1.35,1.0,0,drop_object,True,none,ridge lantern,first-person-room-card+depth-cues,True,True,True
9,1,roofward,glass stair,1.0,1.0,45,request_permission,True,none,brass hinge,first-person-room-card+depth-cues,True,True,True
10,1,archive,ink niche,1.06,1.02,0,wait_respectfully,True,none,ink niche,first-person-room-card+depth-cues,True,True,True
11,1,signal,arrival court,1.0,1.0,0,listen_memory,True,none,Milo,first-person-room-card+depth-cues,True,True,True
12,1,orchard,mud row,1.35,1.35,45,move_forward,True,none,mud row,first-person-room-card+depth-cues,True,True,True
13,1,repair_ring,cool corner,1.06,1.02,45,turn_right,True,none,cool corner,first-person-room-card+depth-cues,True,True,True
14,1,riverbend,arrival court,1.35,1.0,0,listen_memory,True,none,Lio,first-person-room-card+depth-cues,True,True,True
15,1,roofward,warm lane,1.35,1.35,45,move_forward,True,none,warm lane,first-person-room-card+depth-cues,True,True,True
16,1,archive,memory desk,1.06,1.02,45,turn_right,True,none,memory desk,first-person-room-card+depth-cues,True,True,True
17,1,signal,mast base,1.18,1.1,0,approach_resident,True,none,Milo,first-person-room-card+depth-cues,True,True,True
18,2,repair_ring,spark lane,1.24,1.12,45,approach_resident,True,none,Juno,first-person-room-card+depth-cues,True,True,True
19,2,riverbend,dry ridge,1.7,1.0,0,move_forward,True,none,dry ridge,first-person-room-card+depth-cues,True,True,True
20,2,roofward,arrival court,1.35,1.35,90,turn_right,True,none,arrival court,first-person-room-card+depth-cues,True,True,True
21,2,archive,spool room,1.24,1.12,45,approach_resident,True,none,Toma,first-person-room-card+depth-cues,True,True,True
22,2,signal,signal perch,1.18,1.1,0,drop_object,True,none,signal lens,first-person-room-card+depth-cues,True,True,True
23,2,orchard,seed lane,1.35,1.35,45,request_permission,True,none,apple wrap,first-person-room-card+depth-cues,True,True,True
24,2,repair_ring,bell alcove,1.12,1.04,45,wait_respectfully,True,none,bell alcove,first-person-room-card+depth-cues,True,True,True
25,2,riverbend,kit alcove,1.7,1.0,0,drop_object,True,none,ridge lantern,first-person-room-card+depth-cues,True,True,True
26,2,roofward,glass stair,1.35,1.35,90,request_permission,True,none,brass hinge,first-person-room-card+depth-cues,True,True,True
27,2,archive,ink niche,1.12,1.04,45,wait_respectfully,True,none,ink niche,first-person-room-card+depth-cues,True,True,True
28,2,signal,arrival court,1.18,1.1,0,listen_memory,True,none,Milo,first-person-room-card+depth-cues,True,True,True
29,2,orchard,mud row,1.7,1.7,45,move_forward,True,none,mud row,first-person-room-card+depth-cues,True,True,True
30,2,repair_ring,cool corner,1.12,1.04,90,turn_right,True,none,cool corner,first-person-room-card+depth-cues,True,True,True
31,2,riverbend,arrival court,1.7,1.0,0,listen_memory,True,none,Lio,first-person-room-card+depth-cues,True,True,True
32,2,roofward,warm lane,1.35,1.7,90,move_forward,True,none,warm lane,first-person-room-card+depth-cues,True,True,True
33,2,archive,memory desk,1.12,1.04,90,turn_right,True,none,memory desk,first-person-room-card+depth-cues,True,True,True
34,2,signal,mast base,1.36,1.2,0,approach_resident,True,none,Milo,first-person-room-card+depth-cues,True,True,True
35,2,orchard,market plank,1.7,1.7,45,drop_object,True,none,apple wrap,first-person-room-card+depth-cues,True,True,True
36,3,riverbend,dry ridge,2.05,1.0,0,move_forward,True,none,dry ridge,first-person-room-card+depth-cues,True,True,True
37,3,roofward,arrival court,1.35,1.7,135,turn_right,True,none,arrival court,first-person-room-card+depth-cues,True,True,True
38,3,archive,spool room,1.3,1.14,90,approach_resident,True,none,Toma,first-person-room-card+depth-cues,True,True,True
39,3,signal,signal perch,1.36,1.2,0,drop_object,True,none,signal lens,first-person-room-card+depth-cues,True,True,True
40,3,orchard,seed lane,1.7,1.7,45,request_permission,True,none,apple wrap,first-person-room-card+depth-cues,True,True,True
41,3,repair_ring,bell alcove,1.0,0.96,90,wait_respectfully,True,none,bell alcove,first-person-room-card+depth-cues,True,True,True
42,3,riverbend,kit alcove,2.05,1.0,0,drop_object,True,none,ridge lantern,first-person-room-card+depth-cues,True,True,True
43,3,roofward,glass stair,1.35,1.7,135,request_permission,True,none,brass hinge,first-person-room-card+depth-cues,True,True,True
44,3,archive,ink niche,1.18,1.06,90,wait_respectfully,True,none,ink niche,first-person-room-card+depth-cues,True,True,True
45,3,signal,arrival court,1.36,1.2,0,listen_memory,True,none,Milo,first-person-room-card+depth-cues,True,True,True
46,3,orchard,mud row,2.05,2.05,45,move_forward,True,none,mud row,first-person-room-card+depth-cues,True,True,True
47,3,repair_ring,cool corner,1.0,0.96,135,turn_right,True,none,cool corner,first-person-room-card+depth-cues,True,True,True
48,3,riverbend,arrival court,2.05,1.0,0,listen_memory,True,none,Lio,first-person-room-card+depth-cues,True,True,True
49,3,roofward,warm lane,1.15,2.05,135,move_forward,True,none,warm lane,first-person-room-card+depth-cues,True,True,True
50,3,archive,memory desk,1.18,1.06,135,turn_right,True,none,memory desk,first-person-room-card+depth-cues,True,True,True
51,3,signal,mast base,1.54,1.3,0,approach_resident,True,none,Milo,first-person-room-card+depth-cues,True,True,True
