tick_id,day,tick,route_id,speaker,listener,dialogue_choice,keyframe_index,pose,gesture,gaze_target,mouth_shape,screen_x,screen_y,animation_visible,private_workspace_sealed
0,1,0,riverbend_roofward,Ari,Fay,none,1,listening tilt,small nod,route board,rest,0.18,0.355,False,True
1,1,1,roofward_archive,Nia,Fay,ask merge,3,careful pointing,step back,avatar,soft close,0.294,0.425,True,True
2,1,2,archive_signal,Nia,Milo,none,5,careful pointing,small nod,route board,rest,0.408,0.495,True,True
3,1,3,signal_orchard,Ivo,Milo,none,1,listening tilt,small nod,route board,rest,0.522,0.355,True,True
4,1,4,orchard_riverbend,Ivo,Ari,ask merge,3,careful pointing,tight grip,avatar,long syllable,0.58,0.425,True,True
5,1,5,central_repair_ring,Pax,Juno,none,5,listening tilt,small nod,route board,rest,0.694,0.495,False,True
6,1,6,riverbend_roofward,Ari,Fay,none,1,listening tilt,small nod,route board,rest,0.208,0.355,True,True
7,1,7,roofward_archive,Nia,Fay,ask merge,3,careful pointing,step back,avatar,rest,0.322,0.425,True,True
8,1,8,archive_signal,Nia,Milo,none,5,careful pointing,small nod,route board,rest,0.38,0.495,True,True
9,1,9,signal_orchard,Ivo,Milo,none,1,careful pointing,small nod,route board,rest,0.494,0.355,True,True
10,1,10,orchard_riverbend,Ivo,Ari,ask merge,3,careful pointing,tight grip,avatar,pause,0.608,0.425,True,True
11,1,11,central_repair_ring,Pax,Juno,none,5,listening tilt,small nod,route board,rest,0.722,0.495,True,True
12,2,0,riverbend_roofward,Ari,Fay,none,2,listening tilt,small nod,route board,rest,0.18,0.39,True,True
13,2,1,roofward_archive,Nia,Fay,ask rollback,4,listening tilt,two-hand offer,avatar,rest,0.294,0.46,True,True
14,2,2,archive_signal,Nia,Milo,none,0,open forward lean,small nod,route board,rest,0.408,0.32,True,True
15,2,3,signal_orchard,Ivo,Milo,none,2,careful pointing,small nod,route board,rest,0.522,0.39,False,True
16,2,4,orchard_riverbend,Ivo,Ari,ask merge,4,listening tilt,small nod,avatar,pause,0.58,0.46,True,True
17,2,5,central_repair_ring,Pax,Juno,none,0,listening tilt,small nod,route board,rest,0.694,0.32,True,True
18,2,6,riverbend_roofward,Ari,Fay,none,2,open forward lean,small nod,route board,rest,0.208,0.39,True,True
19,2,7,roofward_archive,Nia,Fay,ask rollback,4,listening tilt,two-hand offer,avatar,short syllable,0.322,0.46,True,True
20,2,8,archive_signal,Nia,Milo,none,0,listening tilt,small nod,route board,rest,0.38,0.32,False,True
21,2,9,signal_orchard,Ivo,Milo,none,2,listening tilt,small nod,route board,rest,0.494,0.39,True,True
22,2,10,orchard_riverbend,Ivo,Ari,ask merge,4,listening tilt,small nod,avatar,soft close,0.608,0.46,True,True
23,2,11,central_repair_ring,Pax,Juno,none,0,guarded crossed arms,small nod,route board,rest,0.722,0.32,True,True
24,3,0,riverbend_roofward,Ari,Fay,none,3,open forward lean,small nod,route board,rest,0.18,0.425,True,True
25,3,1,roofward_archive,Nia,Fay,ask rollback,5,route-board reach,open palm,avatar,short syllable,0.294,0.495,True,True
26,3,2,archive_signal,Nia,Milo,none,1,route-board reach,small nod,route board,rest,0.408,0.355,True,True
27,3,3,signal_orchard,Ivo,Milo,none,3,listening tilt,small nod,route board,rest,0.522,0.425,True,True
28,3,4,orchard_riverbend,Ivo,Ari,ask merge,5,route-board reach,route point,avatar,soft close,0.58,0.495,True,True
29,3,5,central_repair_ring,Pax,Juno,none,1,guarded crossed arms,small nod,route board,rest,0.694,0.355,True,True
30,3,6,riverbend_roofward,Ari,Fay,none,3,open forward lean,small nod,route board,rest,0.208,0.425,False,True
31,3,7,roofward_archive,Nia,Fay,ask rollback,5,route-board reach,open palm,avatar,long syllable,0.322,0.495,True,True
32,3,8,archive_signal,Nia,Milo,none,1,route-board reach,small nod,route board,rest,0.38,0.355,True,True
33,3,9,signal_orchard,Ivo,Milo,none,3,route-board reach,small nod,route board,rest,0.494,0.425,True,True
34,3,10,orchard_riverbend,Ivo,Ari,ask rollback,5,route-board reach,route point,avatar,rest,0.608,0.495,True,True
35,3,11,central_repair_ring,Pax,Juno,none,1,guarded crossed arms,small nod,route board,rest,0.722,0.355,False,True
36,4,0,riverbend_roofward,Ari,Fay,none,4,open forward lean,small nod,route board,rest,0.18,0.46,True,True
37,4,1,roofward_archive,Nia,Fay,ask rollback,0,open forward lean,tight grip,avatar,short syllable,0.294,0.32,True,True
38,4,2,archive_signal,Nia,Milo,none,2,open forward lean,small nod,route board,rest,0.408,0.39,True,True
39,4,3,signal_orchard,Ivo,Milo,none,4,open forward lean,small nod,route board,rest,0.522,0.46,True,True
