frame_id,generation,household,token,inherited_variant,meaning,inherited_strength,innovation_rate,semantic_retention,ritual_binding,lineage_reason
1,1,Hearthnest,lum,lum-g10,warm care,0.77768,0.068,0.987254,0.90415,care lineage
1,1,Hearthnest,ori,ori-g11,shared ritual,0.77696,0.086,0.983237,0.90415,care lineage
1,1,Hearthnest,sova,sova-g12,sleep safely,0.77624,0.104,1.0,0.90415,boundary lineage
2,1,Routehall,tek,tek-g10,repair work,0.75888,0.068,0.98575,0.7997,work lineage
2,1,Routehall,nari,nari-g11,respect boundary,0.75816,0.086,1.0,0.7997,boundary lineage
2,1,Routehall,keth,keth-g12,remembered help,0.75744,0.104,1.0,0.7997,care lineage
3,1,Marketroof,melo,melo-g10,market exchange,0.75788,0.068,0.98567,0.8021,work lineage
3,1,Marketroof,keth,keth-g11,remembered help,0.75716,0.086,1.0,0.8021,care lineage
3,1,Marketroof,vonn,vonn-g12,pressure warning,0.75644,0.104,0.977635,0.8021,boundary lineage
4,1,Quietledger,nari,nari-g10,respect boundary,0.76108,0.068,1.0,0.7973,boundary lineage
4,1,Quietledger,vonn,vonn-g11,pressure warning,0.76036,0.086,0.981909,0.7973,boundary lineage
4,1,Quietledger,sova,sova-g12,sleep safely,0.75964,0.104,1.0,0.8773,boundary lineage
5,1,Orchardring,lum,lum-g10,warm care,0.75988,0.068,0.98583,0.8845,care lineage
5,1,Orchardring,melo,melo-g11,market exchange,0.75916,0.086,0.981813,0.8045,work lineage
5,1,Orchardring,tek,tek-g12,repair work,0.75844,0.104,0.977795,0.8045,work lineage
6,1,Rainloft,sova,sova-g10,sleep safely,0.76028,0.068,1.0,0.8785,boundary lineage
6,1,Rainloft,vonn,vonn-g11,pressure warning,0.75956,0.086,0.981845,0.7985,boundary lineage
6,1,Rainloft,nari,nari-g12,respect boundary,0.75884,0.104,1.0,0.7985,boundary lineage
7,2,Hearthnest,lum,lum-g20,warm care,0.78736,0.076,0.986269,0.90415,care lineage
7,2,Hearthnest,ori,ori-g21,shared ritual,0.78664,0.094,0.982251,0.90415,care lineage
7,2,Hearthnest,sova,sova-g22,sleep safely,0.78592,0.112,1.0,0.90415,boundary lineage
8,2,Routehall,tek,tek-g20,repair work,0.76856,0.076,0.984765,0.7997,work lineage
8,2,Routehall,nari,nari-g21,respect boundary,0.76784,0.094,1.0,0.7997,boundary lineage
8,2,Routehall,keth,keth-g22,remembered help,0.76712,0.112,1.0,0.7997,care lineage
9,2,Marketroof,melo,melo-g20,market exchange,0.76756,0.076,0.984685,0.8021,work lineage
9,2,Marketroof,keth,keth-g21,remembered help,0.76684,0.094,1.0,0.8021,care lineage
9,2,Marketroof,vonn,vonn-g22,pressure warning,0.76612,0.112,0.97665,0.8021,boundary lineage
10,2,Quietledger,nari,nari-g20,respect boundary,0.77076,0.076,1.0,0.7973,boundary lineage
10,2,Quietledger,vonn,vonn-g21,pressure warning,0.77004,0.094,0.980923,0.7973,boundary lineage
10,2,Quietledger,sova,sova-g22,sleep safely,0.76932,0.112,1.0,0.8773,boundary lineage
11,2,Orchardring,lum,lum-g20,warm care,0.76956,0.076,0.984845,0.8845,care lineage
11,2,Orchardring,melo,melo-g21,market exchange,0.76884,0.094,0.980827,0.8045,work lineage
11,2,Orchardring,tek,tek-g22,repair work,0.76812,0.112,0.97681,0.8045,work lineage
12,2,Rainloft,sova,sova-g20,sleep safely,0.76996,0.076,1.0,0.8785,boundary lineage
12,2,Rainloft,vonn,vonn-g21,pressure warning,0.76924,0.094,0.980859,0.7985,boundary lineage
12,2,Rainloft,nari,nari-g22,respect boundary,0.76852,0.112,1.0,0.7985,boundary lineage
13,3,Hearthnest,lum,lum-g30,warm care,0.79704,0.084,0.985283,0.90415,care lineage
13,3,Hearthnest,ori,ori-g31,shared ritual,0.79632,0.102,0.981266,0.90415,care lineage
13,3,Hearthnest,sova,sova-g32,sleep safely,0.7956,0.12,1.0,0.90415,boundary lineage
14,3,Routehall,tek,tek-g30,repair work,0.77824,0.084,0.983779,0.7997,work lineage
14,3,Routehall,nari,nari-g31,respect boundary,0.77752,0.102,1.0,0.7997,boundary lineage
14,3,Routehall,keth,keth-g32,remembered help,0.7768,0.12,1.0,0.7997,care lineage
15,3,Marketroof,melo,melo-g30,market exchange,0.77724,0.084,0.983699,0.8021,work lineage
15,3,Marketroof,keth,keth-g31,remembered help,0.77652,0.102,1.0,0.8021,care lineage
15,3,Marketroof,vonn,vonn-g32,pressure warning,0.7758,0.12,0.975664,0.8021,boundary lineage
16,3,Quietledger,nari,nari-g30,respect boundary,0.78044,0.084,1.0,0.7973,boundary lineage
16,3,Quietledger,vonn,vonn-g31,pressure warning,0.77972,0.102,0.979938,0.7973,boundary lineage
16,3,Quietledger,sova,sova-g32,sleep safely,0.779,0.12,1.0,0.8773,boundary lineage
17,3,Orchardring,lum,lum-g30,warm care,0.77924,0.084,0.983859,0.8845,care lineage
17,3,Orchardring,melo,melo-g31,market exchange,0.77852,0.102,0.979842,0.8045,work lineage
17,3,Orchardring,tek,tek-g32,repair work,0.7778,0.12,0.975824,0.8045,work lineage
18,3,Rainloft,sova,sova-g30,sleep safely,0.77964,0.084,1.0,0.8785,boundary lineage
18,3,Rainloft,vonn,vonn-g31,pressure warning,0.77892,0.102,0.979874,0.7985,boundary lineage
18,3,Rainloft,nari,nari-g32,respect boundary,0.7782,0.12,1.0,0.7985,boundary lineage
