memory_id,day,tick,agent_id,source_utterance_id,memory_summary,trust,boundary_pressure,gratitude,resentment,local_storage_key
mem_free_1_ka60,1,42,ka60,free_1_ka60,avatar free text 'Can we trade fairly at the market before the ritual?' became trade; conflict_success=True,0.595,0.342,0.031,0.0,ssrm239_agent_memory
mem_free_1_mu61,1,47,mu61,free_1_mu61,avatar free text 'Sorry I crowded the stair; I will ask first next time.' became apology; conflict_success=True,0.595,0.342,0.031,0.0,ssrm239_agent_memory
mem_free_1_lo62,1,52,lo62,free_1_lo62,avatar free text 'May I observe from the edge and not join the ritual?' became boundary; conflict_success=True,0.595,0.342,0.031,0.0,ssrm239_agent_memory
mem_free_1_sa63,1,57,sa63,free_1_sa63,avatar free text 'What is your goal today if the rain gets worse?' became goal; conflict_success=True,0.595,0.342,0.031,0.0,ssrm239_agent_memory
mem_free_1_ni64,1,62,ni64,free_1_ni64,avatar free text 'That thing maybe matters but I am not sure.' became boundary; conflict_success=True,0.595,0.342,0.031,0.0,ssrm239_agent_memory
mem_free_2_ka60,2,67,ka60,free_2_ka60,avatar free text 'Sorry I crowded the stair; I will ask first next time.' became apology; conflict_success=True,0.63,0.324,0.031,0.0,ssrm239_agent_memory
mem_free_2_mu61,2,72,mu61,free_2_mu61,avatar free text 'May I observe from the edge and not join the ritual?' became boundary; conflict_success=True,0.63,0.324,0.031,0.0,ssrm239_agent_memory
mem_free_2_lo62,2,77,lo62,free_2_lo62,avatar free text 'What is your goal today if the rain gets worse?' became goal; conflict_success=True,0.63,0.324,0.031,0.0,ssrm239_agent_memory
mem_free_2_sa63,2,82,sa63,free_2_sa63,avatar free text 'That thing maybe matters but I am not sure.' became boundary; conflict_success=True,0.63,0.324,0.031,0.0,ssrm239_agent_memory
mem_free_2_ni64,2,87,ni64,free_2_ni64,avatar free text 'No touch from me unless you give permission.' became boundary; conflict_success=True,0.63,0.324,0.031,0.0,ssrm239_agent_memory
mem_free_3_ka60,3,92,ka60,free_3_ka60,avatar free text 'May I observe from the edge and not join the ritual?' became boundary; conflict_success=True,0.665,0.306,0.031,0.0,ssrm239_agent_memory
mem_free_3_mu61,3,97,mu61,free_3_mu61,avatar free text 'What is your goal today if the rain gets worse?' became goal; conflict_success=True,0.665,0.306,0.031,0.0,ssrm239_agent_memory
mem_free_3_lo62,3,102,lo62,free_3_lo62,avatar free text 'That thing maybe matters but I am not sure.' became boundary; conflict_success=True,0.665,0.306,0.031,0.0,ssrm239_agent_memory
mem_free_3_sa63,3,107,sa63,free_3_sa63,avatar free text 'No touch from me unless you give permission.' became boundary; conflict_success=True,0.665,0.306,0.031,0.0,ssrm239_agent_memory
mem_free_3_ni64,3,112,ni64,free_3_ni64,"avatar free text 'I want to help repair tomorrow, but you choose the too' became help; conflict_success=True",0.665,0.306,0.031,0.0,ssrm239_agent_memory
mem_free_5_ka60,5,117,ka60,free_5_ka60,avatar free text 'That thing maybe matters but I am not sure.' became boundary; conflict_success=True,0.7,0.288,0.031,0.0,ssrm239_agent_memory
mem_free_5_mu61,5,122,mu61,free_5_mu61,avatar free text 'No touch from me unless you give permission.' became boundary; conflict_success=True,0.7,0.288,0.031,0.0,ssrm239_agent_memory
mem_free_5_lo62,5,127,lo62,free_5_lo62,"avatar free text 'I want to help repair tomorrow, but you choose the too' became help; conflict_success=True",0.7,0.288,0.031,0.0,ssrm239_agent_memory
mem_free_5_sa63,5,132,sa63,free_5_sa63,avatar free text 'Can we trade fairly at the market before the ritual?' became trade; conflict_success=True,0.7,0.288,0.031,0.0,ssrm239_agent_memory
mem_free_5_ni64,5,137,ni64,free_5_ni64,avatar free text 'Sorry I crowded the stair; I will ask first next time.' became apology; conflict_success=True,0.7,0.288,0.031,0.0,ssrm239_agent_memory
mem_free_8_ka60,8,142,ka60,free_8_ka60,avatar free text 'Can we trade fairly at the market before the ritual?' became trade; conflict_success=True,0.735,0.27,0.031,0.0,ssrm239_agent_memory
mem_free_8_mu61,8,147,mu61,free_8_mu61,avatar free text 'Sorry I crowded the stair; I will ask first next time.' became apology; conflict_success=True,0.735,0.27,0.031,0.0,ssrm239_agent_memory
mem_free_8_lo62,8,152,lo62,free_8_lo62,avatar free text 'May I observe from the edge and not join the ritual?' became boundary; conflict_success=True,0.735,0.27,0.031,0.0,ssrm239_agent_memory
mem_free_8_sa63,8,157,sa63,free_8_sa63,avatar free text 'What is your goal today if the rain gets worse?' became goal; conflict_success=True,0.735,0.27,0.031,0.0,ssrm239_agent_memory
mem_free_8_ni64,8,162,ni64,free_8_ni64,avatar free text 'That thing maybe matters but I am not sure.' became boundary; conflict_success=True,0.735,0.27,0.031,0.0,ssrm239_agent_memory
mem_free_13_ka60,13,167,ka60,free_13_ka60,avatar free text 'No touch from me unless you give permission.' became boundary; conflict_success=True,0.77,0.252,0.031,0.0,ssrm239_agent_memory
mem_free_13_mu61,13,172,mu61,free_13_mu61,"avatar free text 'I want to help repair tomorrow, but you choose the too' became help; conflict_success=True",0.77,0.252,0.031,0.0,ssrm239_agent_memory
mem_free_13_lo62,13,177,lo62,free_13_lo62,avatar free text 'Can we trade fairly at the market before the ritual?' became trade; conflict_success=True,0.77,0.252,0.031,0.0,ssrm239_agent_memory
mem_free_13_sa63,13,182,sa63,free_13_sa63,avatar free text 'Sorry I crowded the stair; I will ask first next time.' became apology; conflict_success=True,0.77,0.252,0.031,0.0,ssrm239_agent_memory
mem_free_13_ni64,13,187,ni64,free_13_ni64,avatar free text 'May I observe from the edge and not join the ritual?' became boundary; conflict_success=True,0.77,0.252,0.031,0.0,ssrm239_agent_memory
mem_free_21_ka60,21,192,ka60,free_21_ka60,"avatar free text 'I want to help repair tomorrow, but you choose the too' became help; conflict_success=True",0.805,0.234,0.031,0.0,ssrm239_agent_memory
mem_free_21_mu61,21,197,mu61,free_21_mu61,avatar free text 'Can we trade fairly at the market before the ritual?' became trade; conflict_success=True,0.805,0.234,0.031,0.0,ssrm239_agent_memory
mem_free_21_lo62,21,202,lo62,free_21_lo62,avatar free text 'Sorry I crowded the stair; I will ask first next time.' became apology; conflict_success=True,0.805,0.234,0.031,0.0,ssrm239_agent_memory
mem_free_21_sa63,21,207,sa63,free_21_sa63,avatar free text 'May I observe from the edge and not join the ritual?' became boundary; conflict_success=True,0.805,0.234,0.031,0.0,ssrm239_agent_memory
mem_free_21_ni64,21,212,ni64,free_21_ni64,avatar free text 'What is your goal today if the rain gets worse?' became goal; conflict_success=True,0.805,0.234,0.031,0.0,ssrm239_agent_memory
