tick_id,day,agent_id,avatar_chat_panel,click_to_talk_panel,bounded_refusal_panel,recovery_choice_panel,body_state_panel,memory_panel,localstorage_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0000
1,1,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0001
2,1,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0002
3,1,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0003
4,1,Ivo,True,True,True,True,True,True,True,True,ssrm.v35.save.Ivo,ssrm.v35.replay.0004
5,1,Juno,True,True,True,True,True,True,True,True,ssrm.v35.save.Juno,ssrm.v35.replay.0005
6,1,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0006
7,1,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0007
8,1,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0008
9,1,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0009
10,1,Ivo,True,True,True,True,True,True,True,True,ssrm.v35.save.Ivo,ssrm.v35.replay.0010
11,1,Juno,True,True,True,True,True,True,True,True,ssrm.v35.save.Juno,ssrm.v35.replay.0011
12,2,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0012
13,2,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0013
14,2,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0014
15,2,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0015
16,2,Ivo,True,True,True,True,True,True,True,True,ssrm.v35.save.Ivo,ssrm.v35.replay.0016
17,2,Juno,True,True,True,True,True,True,True,True,ssrm.v35.save.Juno,ssrm.v35.replay.0017
18,2,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0018
19,2,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0019
20,2,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0020
21,2,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0021
22,2,Ivo,True,True,True,True,True,True,True,True,ssrm.v35.save.Ivo,ssrm.v35.replay.0022
23,2,Juno,True,True,True,True,True,True,True,True,ssrm.v35.save.Juno,ssrm.v35.replay.0023
24,3,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0024
25,3,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0025
26,3,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0026
27,3,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0027
28,3,Ivo,True,True,True,True,True,True,True,True,ssrm.v35.save.Ivo,ssrm.v35.replay.0028
29,3,Juno,True,True,True,True,True,True,True,True,ssrm.v35.save.Juno,ssrm.v35.replay.0029
30,3,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0030
31,3,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0031
32,3,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0032
33,3,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0033
34,3,Ivo,True,True,True,True,True,True,True,True,ssrm.v35.save.Ivo,ssrm.v35.replay.0034
35,3,Juno,True,True,True,True,True,True,True,True,ssrm.v35.save.Juno,ssrm.v35.replay.0035
36,4,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0036
37,4,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0037
38,4,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0038
39,4,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0039
40,4,Ivo,True,True,True,True,True,True,True,True,ssrm.v35.save.Ivo,ssrm.v35.replay.0040
41,4,Juno,True,True,True,True,True,True,True,True,ssrm.v35.save.Juno,ssrm.v35.replay.0041
42,4,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0042
43,4,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0043
44,4,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0044
45,4,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0045
46,4,Ivo,True,True,True,True,True,True,True,True,ssrm.v35.save.Ivo,ssrm.v35.replay.0046
47,4,Juno,True,True,True,True,True,True,True,True,ssrm.v35.save.Juno,ssrm.v35.replay.0047
48,5,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0048
49,5,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0049
50,5,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0050
51,5,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0051
52,5,Ivo,True,True,True,True,True,True,True,True,ssrm.v35.save.Ivo,ssrm.v35.replay.0052
53,5,Juno,True,True,True,True,True,True,True,True,ssrm.v35.save.Juno,ssrm.v35.replay.0053
54,5,Ari,True,True,True,True,True,True,True,True,ssrm.v35.save.Ari,ssrm.v35.replay.0054
55,5,Fay,True,True,True,True,True,True,True,True,ssrm.v35.save.Fay,ssrm.v35.replay.0055
56,5,Nia,True,True,True,True,True,True,True,True,ssrm.v35.save.Nia,ssrm.v35.replay.0056
57,5,Milo,True,True,True,True,True,True,True,True,ssrm.v35.save.Milo,ssrm.v35.replay.0057
