tick_id,day,settlement_id,entry_gate_id,matured_years_confirmed,matured_generations_confirmed,entry_button_visible,entry_button_enabled,avatar_spawned,spawn_location,inherited_world_loaded
0,1,riverbend,avatar-entry-gate,2400,80,True,True,False,riverbend:arrival court,True
1,1,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
2,1,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
3,1,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
4,1,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
5,1,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
6,1,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
7,1,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
8,1,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
9,1,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
10,1,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
11,1,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
12,2,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
13,2,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
24,3,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
25,3,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
36,4,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
37,4,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
48,5,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
49,5,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
60,6,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
61,6,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
72,7,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
73,7,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
84,8,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
85,8,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
96,9,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
97,9,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
108,10,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
109,10,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
120,11,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
121,11,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
132,12,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
133,12,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
144,13,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
145,13,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
156,14,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
157,14,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
168,15,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
169,15,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
180,16,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
181,16,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
192,17,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
193,17,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
204,18,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
205,18,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
216,19,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
217,19,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
228,20,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
229,20,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
240,21,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
241,21,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
252,22,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
253,22,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
264,23,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
265,23,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
276,24,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
277,24,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
288,25,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
289,25,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
300,26,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
301,26,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
312,27,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
313,27,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
324,28,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
325,28,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
336,29,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
337,29,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
348,30,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
349,30,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
360,31,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
361,31,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
372,32,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
373,32,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
384,33,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
385,33,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
396,34,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
397,34,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
408,35,repair_ring,avatar-entry-gate,2400,80,True,True,True,repair_ring:arrival court,True
409,35,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
420,36,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
421,36,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
432,37,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
433,37,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
444,38,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
445,38,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
456,39,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
457,39,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
468,40,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
469,40,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
480,41,riverbend,avatar-entry-gate,2400,80,True,True,True,riverbend:arrival court,True
481,41,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
492,42,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
493,42,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
504,43,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
505,43,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
516,44,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
517,44,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
528,45,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
529,45,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
540,46,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
541,46,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
552,47,roofward,avatar-entry-gate,2400,80,True,True,True,roofward:arrival court,True
553,47,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
564,48,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
565,48,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
576,49,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
577,49,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
588,50,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
589,50,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
600,51,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
601,51,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
612,52,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
613,52,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
624,53,archive,avatar-entry-gate,2400,80,True,True,True,archive:arrival court,True
625,53,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
636,54,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
637,54,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
648,55,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
649,55,orchard,avatar-entry-gate,2400,80,True,True,True,orchard:arrival court,True
660,56,signal,avatar-entry-gate,2400,80,True,True,True,signal:arrival court,True
