tick,day,active_panel,selected_resident,selected_tick,filter_text,visible_columns,panel_patch,keyboard_shortcut,export_ready,private_workspace_hidden
0,1,resident index,Nia,0,resident:Nia event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d001:s00"", ""panel"": ""resident index"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00000"", ""tick"": 0}",j/k,True,True
1,1,schedule diff,Ari,1,resident:Ari event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d001:s01"", ""panel"": ""schedule diff"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00001"", ""tick"": 1}",m,True,True
2,1,invariant,Fay,2,resident:Fay event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d001:s02"", ""panel"": ""invariant"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00002"", ""tick"": 2}",s,True,True
3,1,dashboard,Milo,3,resident:Milo event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d001:s03"", ""panel"": ""dashboard"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00003"", ""tick"": 3}",e,True,True
4,1,resident index,Sera,4,resident:Sera event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d001:s04"", ""panel"": ""resident index"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00004"", ""tick"": 4}",r,True,True
5,1,schedule diff,Tovan,5,resident:Tovan event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d001:s05"", ""panel"": ""schedule diff"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00005"", ""tick"": 5}",d,True,True
6,1,invariant,Nia,6,resident:Nia event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d001:s06"", ""panel"": ""invariant"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00006"", ""tick"": 6}",x,True,True
7,1,dashboard,Ari,7,resident:Ari event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d001:s07"", ""panel"": ""dashboard"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00007"", ""tick"": 7}",j/k,True,True
8,1,resident index,Fay,8,resident:Fay event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d001:s08"", ""panel"": ""resident index"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00008"", ""tick"": 8}",m,True,True
9,1,schedule diff,Milo,9,resident:Milo event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d001:s09"", ""panel"": ""schedule diff"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00009"", ""tick"": 9}",s,True,True
10,1,invariant,Sera,10,resident:Sera event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d001:s10"", ""panel"": ""invariant"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00010"", ""tick"": 10}",e,True,True
11,1,dashboard,Tovan,11,resident:Tovan event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d001:s11"", ""panel"": ""dashboard"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00011"", ""tick"": 11}",r,True,True
12,1,resident index,Nia,12,resident:Nia event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d001:s12"", ""panel"": ""resident index"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00012"", ""tick"": 12}",d,True,True
13,1,schedule diff,Ari,13,resident:Ari event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d001:s13"", ""panel"": ""schedule diff"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00013"", ""tick"": 13}",x,True,True
14,1,invariant,Fay,14,resident:Fay event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d001:s14"", ""panel"": ""invariant"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00014"", ""tick"": 14}",j/k,True,True
15,1,dashboard,Milo,15,resident:Milo event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d001:s15"", ""panel"": ""dashboard"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00015"", ""tick"": 15}",m,True,True
16,1,resident index,Sera,16,resident:Sera event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d001:s16"", ""panel"": ""resident index"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00016"", ""tick"": 16}",s,True,True
17,1,schedule diff,Tovan,17,resident:Tovan event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d001:s17"", ""panel"": ""schedule diff"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d001:t00017"", ""tick"": 17}",e,True,True
18,2,snapshot,Nia,18,resident:Nia event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d002:s00"", ""panel"": ""snapshot"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00018"", ""tick"": 18}",s,True,True
19,2,causality,Ari,19,resident:Ari event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d002:s01"", ""panel"": ""causality"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00019"", ""tick"": 19}",e,True,True
20,2,scrubber,Fay,20,resident:Fay event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d002:s02"", ""panel"": ""scrubber"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00020"", ""tick"": 20}",r,True,True
21,2,memory debt,Milo,21,resident:Milo event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d002:s03"", ""panel"": ""memory debt"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00021"", ""tick"": 21}",d,True,True
22,2,snapshot,Sera,22,resident:Sera event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d002:s04"", ""panel"": ""snapshot"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00022"", ""tick"": 22}",x,True,True
23,2,causality,Tovan,23,resident:Tovan event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d002:s05"", ""panel"": ""causality"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00023"", ""tick"": 23}",j/k,True,True
24,2,scrubber,Nia,24,resident:Nia event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d002:s06"", ""panel"": ""scrubber"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00024"", ""tick"": 24}",m,True,True
25,2,memory debt,Ari,25,resident:Ari event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d002:s07"", ""panel"": ""memory debt"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00025"", ""tick"": 25}",s,True,True
26,2,snapshot,Fay,26,resident:Fay event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d002:s08"", ""panel"": ""snapshot"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00026"", ""tick"": 26}",e,True,True
27,2,causality,Milo,27,resident:Milo event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d002:s09"", ""panel"": ""causality"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00027"", ""tick"": 27}",r,True,True
28,2,scrubber,Sera,28,resident:Sera event:wait_offscreen,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d002:s10"", ""panel"": ""scrubber"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00028"", ""tick"": 28}",d,True,True
29,2,memory debt,Tovan,29,resident:Tovan event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d002:s11"", ""panel"": ""memory debt"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00029"", ""tick"": 29}",x,True,True
30,2,snapshot,Nia,30,resident:Nia event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d002:s12"", ""panel"": ""snapshot"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00030"", ""tick"": 30}",j/k,True,True
31,2,causality,Ari,31,resident:Ari event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d002:s13"", ""panel"": ""causality"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00031"", ""tick"": 31}",m,True,True
32,2,scrubber,Fay,32,resident:Fay event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d002:s14"", ""panel"": ""scrubber"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00032"", ""tick"": 32}",s,True,True
33,2,memory debt,Milo,33,resident:Milo event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d002:s15"", ""panel"": ""memory debt"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00033"", ""tick"": 33}",e,True,True
34,2,snapshot,Sera,34,resident:Sera event:return_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d002:s16"", ""panel"": ""snapshot"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00034"", ""tick"": 34}",r,True,True
35,2,causality,Tovan,35,resident:Tovan event:interrupt_work,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""tovan:care_favor:audit:d002:s17"", ""panel"": ""causality"", ""resident"": ""Tovan"", ""snapshot"": ""ssrm:v59:audit:snapshot:d002:t00035"", ""tick"": 35}",d,True,True
36,3,dashboard,Nia,36,resident:Nia event:repair_trust,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""nia:tool_loan:audit:d003:s00"", ""panel"": ""dashboard"", ""resident"": ""Nia"", ""snapshot"": ""ssrm:v59:audit:snapshot:d003:t00036"", ""tick"": 36}",r,True,True
37,3,resident index,Ari,37,resident:Ari event:move,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""ari:repair_promise:audit:d003:s01"", ""panel"": ""resident index"", ""resident"": ""Ari"", ""snapshot"": ""ssrm:v59:audit:snapshot:d003:t00037"", ""tick"": 37}",d,True,True
38,3,schedule diff,Fay,38,resident:Fay event:talk,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""care favor"", ""memory"": ""fay:care_favor:audit:d003:s02"", ""panel"": ""schedule diff"", ""resident"": ""Fay"", ""snapshot"": ""ssrm:v59:audit:snapshot:d003:t00038"", ""tick"": 38}",x,True,True
39,3,invariant,Milo,39,resident:Milo event:offer_help,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""tool loan"", ""memory"": ""milo:tool_loan:audit:d003:s03"", ""panel"": ""invariant"", ""resident"": ""Milo"", ""snapshot"": ""ssrm:v59:audit:snapshot:d003:t00039"", ""tick"": 39}",j/k,True,True
40,3,dashboard,Sera,40,resident:Sera event:borrow_tool,"tick,resident,event,memory,debt,schedule,snapshot,invariant","{""debt"": ""repair promise"", ""memory"": ""sera:repair_promise:audit:d003:s04"", ""panel"": ""dashboard"", ""resident"": ""Sera"", ""snapshot"": ""ssrm:v59:audit:snapshot:d003:t00040"", ""tick"": 40}",m,True,True
