event_id,week,checkpoint_id,import_hash,export_hash,restore_verified,carried_cultural_rows,durable_keys
1,1,r245-week01-event001,da2a2c4aca251b70,da2a2c4aca251b70,True,1,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
2,1,,pending,467430eec4cdfecc,False,2,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
3,1,,pending,24fd2e2695f74723,False,3,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
4,1,,pending,271356be1a6ec655,False,4,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
5,1,,pending,d45e70163c1dfd59,False,5,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
6,1,,pending,4bf97959659037d6,False,6,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
7,1,,pending,3eb45b5581045e59,False,7,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
8,1,,pending,5bfd1ae343ddc169,False,8,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
9,1,,pending,c092e25ed1b3b0f1,False,9,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
10,1,,pending,522a421c64efad10,False,10,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
11,1,,pending,6ebe567fdada872b,False,11,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
12,1,,pending,6199a180468de295,False,12,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
13,1,,pending,bbc0eb29eaa26e8c,False,13,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
14,1,,pending,246ea15a95b3240f,False,14,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
15,1,,pending,84fd19d24d387a22,False,15,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
16,1,,pending,fc563c3d13e6ec38,False,16,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
17,1,,pending,dfe5d021d6b1e99f,False,17,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
18,1,,pending,ab71d5bdf8f9db74,False,18,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
19,1,,pending,e5396bf1339ab6e8,False,19,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
20,1,,pending,b8223ff1dc4dbd1f,False,20,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
21,1,,pending,a5f1d5fa22a30aea,False,21,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
22,1,,pending,844e4adda09064ec,False,22,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
23,1,,pending,a7561e7e42a178e2,False,23,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
24,1,,pending,8216b60f2c9e76ab,False,24,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
25,1,,pending,dd4c9b4877ccc778,False,25,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
26,1,,pending,97345d242ad2990c,False,26,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
27,1,,pending,5ed69a994854fefe,False,27,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
28,1,,pending,ea7a65807a17f3ae,False,28,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
29,1,,pending,a3785dbec88beb96,False,29,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
30,1,,pending,d1f11a38c7a538ce,False,30,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
31,1,,pending,7d3d40bed785d3c6,False,31,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
32,1,,pending,5af868f5aa7b3081,False,32,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
33,1,,pending,02dae4d42ebdae98,False,33,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
34,1,,pending,85f4b29587f569f8,False,34,"households,network,proto_language,rituals,reputation,welfare_guardrails,replay"
