scenario,agent,selected_policy,selected_architecture,dependency_signature,episodes,mean_total_reward,mean_shared_cue_count,mean_local_probe_count,mean_risky_count,mean_safe_count,mean_failed_risky_count,mean_success_rate
detachable_tool_world,greedy_no_state,recurrent_controller,sum_rnn,end_to_end_detachable_external_boundary,500,58.88,0.0,0.0,8.0,0.0,3.328,0.584
detachable_tool_world,learned_structure_selector,recurrent_controller,sum_rnn,end_to_end_detachable_external_boundary,500,135.576,9.0,0.0,4.736,3.264,0.08,0.99
detachable_tool_world,oracle_observation,recurrent_controller,sum_rnn,end_to_end_detachable_external_boundary,500,138.752,0.0,0.0,4.672,3.328,0.0,1.0
detachable_tool_world,recurrent_controller,recurrent_controller,sum_rnn,end_to_end_detachable_external_boundary,500,135.576,9.0,0.0,4.736,3.264,0.08,0.99
detachable_tool_world,safe_no_state,recurrent_controller,sum_rnn,end_to_end_detachable_external_boundary,500,64.0,0.0,0.0,0.0,8.0,0.0,1.0
detachable_tool_world,task_local_probe,recurrent_controller,sum_rnn,end_to_end_detachable_external_boundary,500,130.752,0.0,8.0,4.672,3.328,0.0,1.0
independent_hidden,greedy_no_state,task_local_probe,sum_rnn,end_to_end_local_probe,500,44.56,0.0,0.0,8.0,0.0,3.686,0.53925
independent_hidden,learned_structure_selector,task_local_probe,sum_rnn,end_to_end_local_probe,500,125.024,0.0,8.0,4.314,3.686,0.0,1.0
independent_hidden,oracle_observation,task_local_probe,sum_rnn,end_to_end_local_probe,500,133.024,0.0,0.0,4.314,3.686,0.0,1.0
independent_hidden,recurrent_controller,task_local_probe,sum_rnn,end_to_end_local_probe,500,62.408,9.0,0.0,0.368,7.632,0.162,0.97975
independent_hidden,safe_no_state,task_local_probe,sum_rnn,end_to_end_local_probe,500,64.0,0.0,0.0,0.0,8.0,0.0,1.0
independent_hidden,task_local_probe,task_local_probe,sum_rnn,end_to_end_local_probe,500,125.024,0.0,8.0,4.314,3.686,0.0,1.0
irrelevant_control,greedy_no_state,greedy_no_state,sum_rnn,end_to_end_no_hidden_needed,500,192.0,0.0,0.0,8.0,0.0,0.0,1.0
irrelevant_control,learned_structure_selector,greedy_no_state,sum_rnn,end_to_end_no_hidden_needed,500,192.0,0.0,0.0,8.0,0.0,0.0,1.0
irrelevant_control,oracle_observation,greedy_no_state,sum_rnn,end_to_end_no_hidden_needed,500,192.0,0.0,0.0,8.0,0.0,0.0,1.0
irrelevant_control,recurrent_controller,greedy_no_state,sum_rnn,end_to_end_no_hidden_needed,500,191.0,9.0,0.0,8.0,0.0,0.0,1.0
irrelevant_control,safe_no_state,greedy_no_state,sum_rnn,end_to_end_no_hidden_needed,500,64.0,0.0,0.0,0.0,8.0,0.0,1.0
irrelevant_control,task_local_probe,greedy_no_state,sum_rnn,end_to_end_no_hidden_needed,500,184.0,0.0,8.0,8.0,0.0,0.0,1.0
passive_world_boundary,greedy_no_state,recurrent_controller,sum_rnn,end_to_end_passive_external_boundary,500,38.4,0.0,0.0,8.0,0.0,3.84,0.52
passive_world_boundary,learned_structure_selector,recurrent_controller,sum_rnn,end_to_end_passive_external_boundary,500,127.896,9.0,0.0,4.176,3.824,0.048,0.994
passive_world_boundary,oracle_observation,recurrent_controller,sum_rnn,end_to_end_passive_external_boundary,500,130.56,0.0,0.0,4.16,3.84,0.0,1.0
passive_world_boundary,recurrent_controller,recurrent_controller,sum_rnn,end_to_end_passive_external_boundary,500,127.896,9.0,0.0,4.176,3.824,0.048,0.994
passive_world_boundary,safe_no_state,recurrent_controller,sum_rnn,end_to_end_passive_external_boundary,500,64.0,0.0,0.0,0.0,8.0,0.0,1.0
passive_world_boundary,task_local_probe,recurrent_controller,sum_rnn,end_to_end_passive_external_boundary,500,122.56,0.0,8.0,4.16,3.84,0.0,1.0
self_persistent_boundary,greedy_no_state,recurrent_controller,sum_rnn,end_to_end_persistent_agent_boundary,500,46.08,0.0,0.0,8.0,0.0,3.648,0.544
self_persistent_boundary,learned_structure_selector,recurrent_controller,sum_rnn,end_to_end_persistent_agent_boundary,500,132.248,9.0,0.0,4.368,3.632,0.016,0.998
self_persistent_boundary,oracle_observation,recurrent_controller,sum_rnn,end_to_end_persistent_agent_boundary,500,133.632,0.0,0.0,4.352,3.648,0.0,1.0
self_persistent_boundary,recurrent_controller,recurrent_controller,sum_rnn,end_to_end_persistent_agent_boundary,500,132.248,9.0,0.0,4.368,3.632,0.016,0.998
self_persistent_boundary,safe_no_state,recurrent_controller,sum_rnn,end_to_end_persistent_agent_boundary,500,64.0,0.0,0.0,0.0,8.0,0.0,1.0
self_persistent_boundary,task_local_probe,recurrent_controller,sum_rnn,end_to_end_persistent_agent_boundary,500,125.632,0.0,8.0,4.352,3.648,0.0,1.0
