utterance_id,day,tick,agent_id,raw_text,expected_intent,expected_proto_token,consent_sensitive,ambiguity_expected
utt_day1_ka60,1,10,ka60,no touch unless you give permission (kase6),boundary,kase6,True,False
utt_day1_mu61,1,13,mu61,no touch unless you give permission (muse6),boundary,muse6,True,False
utt_day1_lo62,1,16,lo62,no touch unless you give permission (lose6),boundary,lose6,True,False
utt_day1_sa63,1,19,sa63,no touch unless you give permission (sase6),boundary,sase6,True,False
utt_day1_ni64,1,22,ni64,no touch unless you give permission (nise6),boundary,nise6,True,False
utt_day2_ka60,2,25,ka60,"sorry, I moved too close, I will step back (kase6)",apology,kase6,True,False
utt_day2_mu61,2,28,mu61,"sorry, I moved too close, I will step back (muse6)",apology,muse6,True,False
utt_day2_lo62,2,31,lo62,"sorry, I moved too close, I will step back (lose6)",apology,lose6,True,False
utt_day2_sa63,2,34,sa63,"sorry, I moved too close, I will step back (sase6)",apology,sase6,True,False
utt_day2_ni64,2,37,ni64,"sorry, I moved too close, I will step back (nise6)",apology,nise6,True,False
utt_day3_ka60,3,40,ka60,maybe that thing means something (kase6),ambiguous,kase6,False,True
utt_day3_mu61,3,43,mu61,maybe that thing means something (muse6),ambiguous,muse6,False,True
utt_day3_lo62,3,46,lo62,maybe that thing means something (lose6),ambiguous,lose6,False,True
utt_day3_sa63,3,49,sa63,maybe that thing means something (sase6),ambiguous,sase6,False,True
utt_day3_ni64,3,52,ni64,maybe that thing means something (nise6),ambiguous,nise6,False,True
utt_day5_ka60,5,55,ka60,what does this token mean in your house (kase6),ask_word,kase6,False,False
utt_day5_mu61,5,58,mu61,what does this token mean in your house (muse6),ask_word,muse6,False,False
utt_day5_lo62,5,61,lo62,what does this token mean in your house (lose6),ask_word,lose6,False,False
utt_day5_sa63,5,64,sa63,what does this token mean in your house (sase6),ask_word,sase6,False,False
utt_day5_ni64,5,67,ni64,what does this token mean in your house (nise6),ask_word,nise6,False,False
utt_day8_ka60,8,70,ka60,I can help repair if you choose the tool (kabo6),help,kabo6,True,False
utt_day8_mu61,8,73,mu61,I can help repair if you choose the tool (mubo6),help,mubo6,True,False
utt_day8_lo62,8,76,lo62,I can help repair if you choose the tool (lobo6),help,lobo6,True,False
utt_day8_sa63,8,79,sa63,I can help repair if you choose the tool (sabo6),help,sabo6,True,False
utt_day8_ni64,8,82,ni64,I can help repair if you choose the tool (nibo6),help,nibo6,True,False
