step,agent,kind,medicine,schedule_window,authored_plan,autonomous,consent_memory_used,side_effect_used,boundary_used,conflict_detected,conflict_resolved,negotiation_success,medicine_learning,learning_applied,followup_completed,plan_respected,trust_after,note,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
1,Ari,author_plan,,,True,False,True,False,True,False,False,False,False,False,,False,0.850,Ari authors a no-sedation wrist plan before repair work.,True,0.976,15,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
2,Fay,author_plan,,,True,False,True,False,True,False,False,False,False,False,,False,0.901,Fay authors a low-light plan that avoids casual bitter herb after nausea.,True,1.336,22,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
3,Milo,author_plan,,,True,False,True,False,True,False,False,False,False,False,,False,0.760,Milo authors a route-edge care plan with cup and map boundaries.,True,1.757,30,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
4,Ari,request_followup,dry_wrap,dawn-before-repair,False,True,True,False,True,False,False,False,False,False,,False,0.860,Ari requests the first dry-wrap follow-up himself.,True,2.326,41,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
5,Fay,request_followup,lamp_rest,dawn-before-repair,False,True,True,False,True,True,False,False,False,False,,False,0.911,"Fay requests the same clinic window as Ari, creating a schedule conflict.",True,2.692,48,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
6,Fay,negotiate_schedule,,dawn-before-repair,False,False,False,False,True,True,True,True,False,False,,False,0.921,Fay accepts low-light care after the clinic names Ari's dawn repair conflict.,True,3.158,57,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
7,Milo,request_followup,warm_water,route-edge-after-map-check,False,True,True,False,True,False,False,False,False,False,,False,0.770,Milo requests route-edge follow-up without being prompted.,True,3.470,63,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
8,Ari,medicine_learning,sweet_root,,False,False,True,True,False,False,False,False,True,True,,False,0.870,Ari's plan learns to avoid sweet root before work.,True,3.837,70,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
9,Fay,medicine_learning,bitter_herb,,False,False,True,True,False,False,False,False,True,True,,False,0.931,Fay's plan learns bitter herb is conditional after nausea.,True,4.196,77,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
10,Milo,medicine_learning,clean_cloth,,False,False,True,False,False,False,False,False,True,True,,False,0.780,Milo's plan learns the cloth boundary separately from the cup refusal.,True,4.612,85,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
11,Ari,complete_followup,dry_wrap,dawn-before-repair,False,False,True,False,True,False,False,False,False,False,True,True,0.882,Ari completes dawn dry-wrap follow-up with wrist consent respected.,True,4.929,91,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
12,Fay,complete_followup,lamp_rest,low-light-before-hosting,False,False,True,False,True,False,False,False,False,False,True,True,0.943,Fay completes low-light rest before hosting.,True,5.287,98,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
13,Milo,complete_followup,warm_water,route-edge-after-map-check,False,False,True,False,True,False,False,False,False,False,True,True,0.792,Milo completes route-edge warm-water care without map-line crossing.,True,5.703,106,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
14,Ari,request_followup,short_lamp_rest,midday-repair,False,True,True,False,True,False,False,False,False,False,,False,0.892,"Ari requests midday rest, but Fay already needs the quiet alcove.",True,5.972,111,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
15,Ari,negotiate_schedule,,midday-repair,False,False,False,False,True,True,False,False,False,False,,False,0.895,Ari refuses the counter-time because it would break inventory order.,True,6.432,120,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
16,Fay,request_followup,warm_water,low-light-before-hosting,False,True,True,False,True,False,False,False,False,False,,False,0.953,Fay requests warm water before hosting without waiting for clinic prompt.,True,6.698,125,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
17,Milo,request_followup,route_edge_cloth,route-edge-after-map-check,False,True,True,False,True,False,False,False,False,False,,False,0.802,Milo requests cloth at route-edge distance after his authored boundary is remembered.,True,7.114,133,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
18,Milo,negotiate_schedule,,route-edge-after-map-check,False,False,False,False,True,True,True,True,False,False,,False,0.812,Milo accepts a dusk counter-time only because the map boundary is repeated.,True,7.584,142,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
19,Fay,complete_followup,warm_water,low-light-before-hosting,False,False,True,False,True,False,False,False,False,False,True,True,0.965,Fay completes warm-water follow-up and keeps hosting choice.,True,0.353,3,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
20,Milo,complete_followup,route_edge_cloth,archive-curtain-before-dusk,False,False,True,False,True,False,False,False,False,False,True,True,0.824,Milo completes cloth care with distance terms intact.,True,0.771,11,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
21,Ari,missed_followup,short_lamp_rest,after-inventory,False,False,True,False,True,False,False,False,False,False,False,True,0.889,Ari's refused counter-time leaves one follow-up unresolved rather than forced.,True,0.970,15,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
22,Fay,plan_revision,bitter_herb,,False,False,True,True,True,False,False,False,True,True,,False,0.973,Fay revises her plan so nausea risk is checked before herb offers.,True,1.233,20,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
23,Milo,plan_revision,clean_cloth,,False,False,True,False,True,False,False,False,True,True,,False,0.832,Milo revises the plan to preserve cup refusal while allowing cloth.,True,1.655,28,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
24,Ari,plan_revision,lamp_rest,,False,False,True,True,True,False,False,False,True,False,,False,0.887,"Ari tries to revise lamp rest rules, but the clinic cannot yet solve inventory scheduling.",True,1.968,34,"Deterministic agent-authored clinic-plan substrate only: not real medicine, not real care, not real consent, not subjective suffering, not subjective consciousness, and not moral patienthood."
