tick_id,day,settlement_id,resident_id,avatar_action,local_lexeme,public_translation,reply_line,dialect_conditioned,references_culture,references_technology,references_memory,private_workspace_hidden
0,1,riverbend,Lio,ask_memory,riverbend-ask-mem-0,riverbend-ask-mem-0: ask before crossing wet tools,Lio: our route engines still keep the avatar-waiting story and plank-listening-avatar waiting myth.,True,True,True,True,True
1,1,roofward,Fay,rest_near_resident,roofward-rest-ne-1,roofward-rest-ne-1: wait before taking ledgers,Fay: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
2,1,archive,Toma,enter_world,archive-enter-w-2,archive-enter-w-2: ask before touching signal spools,Toma: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
3,1,signal,Milo,ask_local_word,signal-ask-loc-3,signal-ask-loc-3: light before haste,"Milo: in signal-dialect-8, signal-ask-loc-3 carries path visibility, lantern-turning-child naming, and light before haste.",True,True,False,True,True
4,1,orchard,Mara,request_tool,orchard-request-4,orchard-request-4: keep tomorrow dry,Mara: orchard-request-4 means ask first. Our satchel-vow-seasonal repair and keep tomorrow dry are carried by water clocks.,True,True,True,True,True
5,1,repair_ring,Juno,give_space,repair_ring-give-sp-5,repair_ring-give-sp-5: give hands room near sparks,Juno: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
6,1,riverbend,Lio,ask_local_word,riverbend-ask-loc-6,riverbend-ask-loc-6: ask before crossing wet tools,"Lio: in riverbend-dialect-8, riverbend-ask-loc-6 carries dry crossing, plank-listening-avatar waiting myth, and ask before crossing wet tools.",True,True,False,True,True
7,1,roofward,Fay,request_tool,roofward-request-7,roofward-request-7: wait before taking ledgers,Fay: roofward-request-7 means ask first. Our sun-ledger-trade witness and wait before taking ledgers are carried by civic observatories.,True,True,True,True,True
8,1,archive,Toma,give_space,archive-give-sp-8,archive-give-sp-8: ask before touching signal spools,Toma: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
9,1,signal,Milo,ask_memory,signal-ask-mem-9,signal-ask-mem-9: light before haste,Milo: our signal lenses still keep the avatar-waiting story and lantern-turning-child naming.,True,True,True,True,True
10,1,orchard,Mara,rest_near_resident,orchard-rest-ne-10,orchard-rest-ne-10: keep tomorrow dry,Mara: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
11,1,repair_ring,Juno,enter_world,repair_ring-enter-w-11,repair_ring-enter-w-11: give hands room near sparks,Juno: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
12,2,riverbend,Ari,mark_map,riverbend-mark-ma-12,riverbend-mark-ma-12: ask before crossing wet tools,Ari: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
13,2,roofward,Sera,leave_gift,roofward-leave-g-0,roofward-leave-g-0: wait before taking ledgers,Sera: gift recorded through sun-ledger-trade witness; next visit begins warmer under wait before taking ledgers.,True,True,False,True,True
14,2,archive,Nia,inspect_ritual,archive-inspect-1,archive-inspect-1: ask before touching signal spools,Nia: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
15,2,signal,Ren,offer_help,signal-offer-h-2,signal-offer-h-2: light before haste,Ren: help is welcome when it follows light before haste; signal lenses made the work shareable.,True,True,True,True,True
16,2,orchard,Ivo,move_near_object,orchard-move-ne-3,orchard-move-ne-3: keep tomorrow dry,"Ivo: slow steps. The satchel-vow-seasonal repair says owned things need room, and water clocks records that memory.",True,True,True,False,True
17,2,repair_ring,Pax,follow_route,repair_ring-follow--4,repair_ring-follow--4: give hands room near sparks,Pax: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
18,2,riverbend,Ari,offer_help,riverbend-offer-h-5,riverbend-offer-h-5: ask before crossing wet tools,Ari: help is welcome when it follows ask before crossing wet tools; route engines made the work shareable.,True,True,True,True,True
19,2,roofward,Sera,move_near_object,roofward-move-ne-6,roofward-move-ne-6: wait before taking ledgers,"Sera: slow steps. The sun-ledger-trade witness says owned things need room, and civic observatories records that memory.",True,True,True,False,True
20,2,archive,Nia,follow_route,archive-follow--7,archive-follow--7: ask before touching signal spools,Nia: memory looms made this route possible; move with care through spool-naming-boundary asking and ask before touching signal spools.,True,True,True,True,True
21,2,signal,Ren,mark_map,signal-mark-ma-8,signal-mark-ma-8: light before haste,Ren: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
22,2,orchard,Ivo,leave_gift,orchard-leave-g-9,orchard-leave-g-9: keep tomorrow dry,Ivo: gift recorded through satchel-vow-seasonal repair; next visit begins warmer under keep tomorrow dry.,True,True,False,True,True
23,2,repair_ring,Pax,inspect_ritual,repair_ring-inspect-10,repair_ring-inspect-10: give hands room near sparks,Pax: kiln alloys made this route possible; move with care through spark-distance-object blessing and give hands room near sparks.,True,True,True,True,True
24,3,riverbend,Lio,rest_near_resident,riverbend-rest-ne-11,riverbend-rest-ne-11: ask before crossing wet tools,Lio: route engines made this route possible; move with care through plank-listening-avatar waiting myth and ask before crossing wet tools.,True,True,True,True,True
25,3,roofward,Fay,enter_world,roofward-enter-w-12,roofward-enter-w-12: wait before taking ledgers,Fay: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
26,3,archive,Toma,ask_local_word,archive-ask-loc-0,archive-ask-loc-0: ask before touching signal spools,"Toma: in archive-dialect-8, archive-ask-loc-0 carries signal memory, spool-naming-boundary asking, and ask before touching signal spools.",True,True,False,True,True
27,3,signal,Milo,request_tool,signal-request-1,signal-request-1: light before haste,Milo: signal-request-1 means ask first. Our lantern-turning-child naming and light before haste are carried by signal lenses.,True,True,True,True,True
28,3,orchard,Mara,give_space,orchard-give-sp-2,orchard-give-sp-2: keep tomorrow dry,Mara: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
29,3,repair_ring,Juno,ask_memory,repair_ring-ask-mem-3,repair_ring-ask-mem-3: give hands room near sparks,Juno: our kiln alloys still keep the avatar-waiting story and spark-distance-object blessing.,True,True,True,True,True
30,3,riverbend,Lio,request_tool,riverbend-request-4,riverbend-request-4: ask before crossing wet tools,Lio: riverbend-request-4 means ask first. Our plank-listening-avatar waiting myth and ask before crossing wet tools are carried by route engines.,True,True,True,True,True
31,3,roofward,Fay,give_space,roofward-give-sp-5,roofward-give-sp-5: wait before taking ledgers,Fay: civic observatories made this route possible; move with care through sun-ledger-trade witness and wait before taking ledgers.,True,True,True,True,True
32,3,archive,Toma,ask_memory,archive-ask-mem-6,archive-ask-mem-6: ask before touching signal spools,Toma: our memory looms still keep the avatar-waiting story and spool-naming-boundary asking.,True,True,True,True,True
33,3,signal,Milo,rest_near_resident,signal-rest-ne-7,signal-rest-ne-7: light before haste,Milo: signal lenses made this route possible; move with care through lantern-turning-child naming and light before haste.,True,True,True,True,True
34,3,orchard,Mara,enter_world,orchard-enter-w-8,orchard-enter-w-8: keep tomorrow dry,Mara: water clocks made this route possible; move with care through satchel-vow-seasonal repair and keep tomorrow dry.,True,True,True,True,True
