seed,case_type,architecture,condition,mean_reward,action_accuracy
20260615,control,frame_mlp,full_policy_state,112.0,1.0
20260615,control,frame_mlp,tool_channel_ablation,112.0,1.0
20260615,control,frame_mlp,social_channel_ablation,112.0,1.0
20260615,control,frame_mlp,continuity_channel_ablation,112.0,1.0
20260615,control,frame_mlp,attention_channel_ablation,112.0,1.0
20260615,control,torch_gru,full_policy_state,112.0,1.0
20260615,control,torch_gru,tool_channel_ablation,112.0,1.0
20260615,control,torch_gru,social_channel_ablation,112.0,1.0
20260615,control,torch_gru,continuity_channel_ablation,112.0,1.0
20260615,control,torch_gru,attention_channel_ablation,112.0,1.0
20260615,single_tool,frame_mlp,full_policy_state,66.04444444444445,0.5111111111111111
20260615,single_tool,frame_mlp,tool_channel_ablation,66.04444444444445,0.5111111111111111
20260615,single_tool,frame_mlp,social_channel_ablation,66.04444444444445,0.5111111111111111
20260615,single_tool,frame_mlp,continuity_channel_ablation,66.04444444444445,0.5111111111111111
20260615,single_tool,frame_mlp,attention_channel_ablation,66.04444444444445,0.5111111111111111
20260615,single_tool,torch_gru,full_policy_state,112.0,1.0
20260615,single_tool,torch_gru,tool_channel_ablation,66.04444444444445,0.5111111111111111
20260615,single_tool,torch_gru,social_channel_ablation,112.0,1.0
20260615,single_tool,torch_gru,continuity_channel_ablation,112.0,1.0
20260615,single_tool,torch_gru,attention_channel_ablation,112.0,1.0
20260615,single_social,frame_mlp,full_policy_state,18.0,0.0
20260615,single_social,frame_mlp,tool_channel_ablation,18.0,0.0
20260615,single_social,frame_mlp,social_channel_ablation,18.0,0.0
20260615,single_social,frame_mlp,continuity_channel_ablation,18.0,0.0
20260615,single_social,frame_mlp,attention_channel_ablation,18.0,0.0
20260615,single_social,torch_gru,full_policy_state,112.0,1.0
20260615,single_social,torch_gru,tool_channel_ablation,112.0,1.0
20260615,single_social,torch_gru,social_channel_ablation,18.0,0.0
20260615,single_social,torch_gru,continuity_channel_ablation,112.0,1.0
20260615,single_social,torch_gru,attention_channel_ablation,112.0,1.0
20260615,single_continuity,frame_mlp,full_policy_state,18.0,0.0
20260615,single_continuity,frame_mlp,tool_channel_ablation,18.0,0.0
20260615,single_continuity,frame_mlp,social_channel_ablation,18.0,0.0
20260615,single_continuity,frame_mlp,continuity_channel_ablation,18.0,0.0
20260615,single_continuity,frame_mlp,attention_channel_ablation,18.0,0.0
20260615,single_continuity,torch_gru,full_policy_state,112.0,1.0
