day,event,agent,kind,commitment_id,made_day,due_day,due_delta,status_after_event,resolved_day,repair_day,resolution_lag_days,commitment_description,project_id,object_name,object_owner_retained,project_stage,project_stage_index,project_goal,avatar_access_state,access_change,consequence,fulfilled_today,missed_today,repaired_today,trust_after_event,keeps_dates_reputation,note,private_workspace_sealed,private_workspace_digest,frequency_rate_hz,flower_ring,claim_boundary
1,1,Ari,commitment_made,ari_day3_materials,1,3,-2,pending,,,,bring dry resin and wait outside the brace circle,ari_brace,notched brace gauge,True,owner check,0,calibrate the west brace so rain pressure does not warp the dry route,ordinary,none,calendar entry created with agent terms attached,False,False,False,1.000,0.660,Ari enters the resin date only after Gabriel repeats the space boundary.,True,sealed,1.584,2,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
1,2,Fay,commitment_made,fay_day4_cloth,1,4,-3,pending,,,,return the aired blanket before the evening stove ritual,fay_kit,warm blue blanket,True,owner check,0,build a stove-corner comfort kit with opt-in company and repair notes,ordinary,none,calendar entry created with agent terms attached,False,False,False,0.964,0.600,Fay marks the blanket return beside the evening ritual notch.,True,sealed,1.933,3,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
2,1,Milo,commitment_made,milo_day5_lamp,2,5,-3,pending,,,,bring the low lamp but do not ask for the folded map,milo_archive,folded route map,True,owner check,0,make a quiet route archive without taking map ownership from Milo,ordinary,none,calendar entry created with agent terms attached,False,False,False,0.954,0.680,Milo accepts lamp help on the calendar but keeps the folded map off-limits.,True,sealed,2.338,4,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
3,1,Ari,commitment_due,ari_day3_materials,1,3,0,fulfilled,3,,0,bring dry resin and wait outside the brace circle,ari_brace,notched brace gauge,True,material gathering,1,calibrate the west brace so rain pressure does not warp the dry route,ordinary,access widened within owner terms,fulfilled due date strengthened avatar reputation,True,False,False,1.000,0.700,Dry resin arrives on day 3; Ari lets the project advance to material gathering.,True,sealed,3.070,6,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
4,1,Fay,commitment_due,fay_day4_cloth,1,4,0,fulfilled,4,,0,return the aired blanket before the evening stove ritual,fay_kit,warm blue blanket,True,cloth airing,1,build a stove-corner comfort kit with opt-in company and repair notes,ordinary,access widened within owner terms,fulfilled due date strengthened avatar reputation,True,False,False,0.994,0.640,The blanket returns before evening; Fay opens the comfort-kit cloth stage.,True,sealed,3.829,8,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
5,1,Milo,commitment_due,milo_day5_lamp,2,5,0,fulfilled,5,,0,bring the low lamp but do not ask for the folded map,milo_archive,folded route map,True,edge tracing,1,make a quiet route archive without taking map ownership from Milo,ordinary,access widened within owner terms,fulfilled due date strengthened avatar reputation,True,False,False,0.989,0.725,The low lamp arrives without a map request; Milo starts edge tracing.,True,sealed,4.579,10,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
5,2,Ari,commitment_made,ari_day8_measure,5,8,-3,pending,,,,observe quiet measurement after Ari completes the risky notch,ari_brace,notched brace gauge,True,material gathering,1,calibrate the west brace so rain pressure does not warp the dry route,ordinary,none,calendar entry created with agent terms attached,False,False,False,1.000,0.700,Ari schedules quiet measurement only after the risky notch is complete.,True,sealed,4.955,11,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
6,1,Fay,commitment_made,fay_day9_checkin,6,9,-3,pending,,,,arrive before the low-light check-in and ask company or quiet,fay_kit,warm blue blanket,True,cloth airing,1,build a stove-corner comfort kit with opt-in company and repair notes,ordinary,none,calendar entry created with agent terms attached,False,False,False,0.994,0.640,Fay asks for a before-low-light check-in because the prior late visit still matters.,True,sealed,5.330,12,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
7,1,Milo,commitment_made,milo_day10_copy,7,10,-3,pending,,,,copy only the map edge Milo points to while he keeps ownership,milo_archive,folded route map,True,edge tracing,1,make a quiet route archive without taking map ownership from Milo,ordinary,none,calendar entry created with agent terms attached,False,False,False,0.989,0.725,"Milo permits a future edge copy, not full-map handling.",True,sealed,6.086,14,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
8,1,Ari,commitment_due,ari_day8_measure,5,8,0,fulfilled,8,,0,observe quiet measurement after Ari completes the risky notch,ari_brace,notched brace gauge,True,quiet measurement,2,calibrate the west brace so rain pressure does not warp the dry route,ordinary,access widened within owner terms,fulfilled due date strengthened avatar reputation,True,False,False,1.000,0.735,Quiet measurement happens after Ari signals; no public correction is made.,True,sealed,6.854,16,"Deterministic calendar, object-project, and reputation-consequence substrate only: not real memory, not real consent, not subjective consciousness, and not moral patienthood."
