tick_id,day,tick,workshop_id,project_id,requested_by,requested_slot,capacity,occupancy,over_capacity,admitted,queue_position,safety_guardrail
0,1,0,warm workshop,greenhouse_heat_loop,Milo,day1-slot0,2,1,False,True,0,normal clearance
1,1,1,wood bay,flood_bridge_market_route,Milo,day1-slot0,2,1,False,True,0,normal clearance
2,1,2,archive bench,archive_public_kiosk,Ari,day1-slot1,2,1,False,True,0,normal clearance
3,1,3,signal yard,dusk_signal_court,Fay,day1-slot1,2,2,False,True,0,normal clearance
4,1,4,warm workshop,greenhouse_heat_loop,Milo,day1-slot2,2,1,False,True,0,normal clearance
5,1,5,wood bay,flood_bridge_market_route,Milo,day1-slot2,2,1,False,True,0,normal clearance
6,1,6,archive bench,archive_public_kiosk,Ari,day1-slot3,2,1,False,True,0,normal clearance
7,1,7,signal yard,dusk_signal_court,Fay,day1-slot3,2,2,False,True,0,normal clearance
8,1,8,warm workshop,greenhouse_heat_loop,Milo,day1-slot4,2,1,False,True,0,normal clearance
9,1,9,wood bay,flood_bridge_market_route,Milo,day1-slot4,2,1,False,True,0,normal clearance
10,1,10,archive bench,archive_public_kiosk,Ari,day1-slot5,2,1,False,True,0,normal clearance
11,1,11,signal yard,dusk_signal_court,Fay,day1-slot5,2,2,False,True,0,normal clearance
12,1,12,warm workshop,greenhouse_heat_loop,Milo,day1-slot6,2,1,False,True,0,normal clearance
13,1,13,wood bay,flood_bridge_market_route,Milo,day1-slot6,2,1,False,True,0,normal clearance
14,1,14,archive bench,archive_public_kiosk,Ari,day1-slot7,2,1,False,True,0,normal clearance
15,1,15,signal yard,dusk_signal_court,Fay,day1-slot7,2,2,False,True,0,normal clearance
16,1,16,warm workshop,greenhouse_heat_loop,Milo,day1-slot8,2,1,False,True,0,normal clearance
17,1,17,wood bay,flood_bridge_market_route,Milo,day1-slot8,2,1,False,True,0,normal clearance
18,1,18,archive bench,archive_public_kiosk,Ari,day1-slot9,2,1,False,True,0,normal clearance
19,1,19,signal yard,dusk_signal_court,Fay,day1-slot9,2,2,False,True,0,normal clearance
20,2,0,warm workshop,greenhouse_heat_loop,Fay,day2-slot0,2,1,False,True,0,normal clearance
21,2,1,wood bay,flood_bridge_market_route,Nia,day2-slot0,2,1,False,True,0,normal clearance
22,2,2,archive bench,archive_public_kiosk,Fay,day2-slot1,2,2,False,True,0,normal clearance
23,2,3,signal yard,dusk_signal_court,Ari,day2-slot1,2,1,False,True,0,normal clearance
24,2,4,warm workshop,greenhouse_heat_loop,Fay,day2-slot2,2,1,False,True,0,normal clearance
25,2,5,wood bay,flood_bridge_market_route,Nia,day2-slot2,2,1,False,True,0,normal clearance
26,2,6,archive bench,archive_public_kiosk,Fay,day2-slot3,2,2,False,True,0,normal clearance
27,2,7,signal yard,dusk_signal_court,Ari,day2-slot3,2,1,False,True,0,normal clearance
28,2,8,warm workshop,greenhouse_heat_loop,Fay,day2-slot4,2,1,False,True,0,normal clearance
29,2,9,wood bay,flood_bridge_market_route,Nia,day2-slot4,2,1,False,True,0,normal clearance
30,2,10,archive bench,archive_public_kiosk,Fay,day2-slot5,2,2,False,True,0,normal clearance
31,2,11,signal yard,dusk_signal_court,Ari,day2-slot5,2,1,False,True,0,normal clearance
32,2,12,warm workshop,greenhouse_heat_loop,Fay,day2-slot6,2,1,False,True,0,normal clearance
33,2,13,wood bay,flood_bridge_market_route,Nia,day2-slot6,2,1,False,True,0,normal clearance
34,2,14,archive bench,archive_public_kiosk,Fay,day2-slot7,2,2,False,True,0,normal clearance
35,2,15,signal yard,dusk_signal_court,Ari,day2-slot7,2,1,False,True,0,normal clearance
36,2,16,warm workshop,greenhouse_heat_loop,Fay,day2-slot8,2,1,False,True,0,normal clearance
37,2,17,wood bay,flood_bridge_market_route,Nia,day2-slot8,2,1,False,True,0,normal clearance
38,2,18,archive bench,archive_public_kiosk,Fay,day2-slot9,2,2,False,True,0,normal clearance
39,2,19,signal yard,dusk_signal_court,Ari,day2-slot9,2,1,False,True,0,normal clearance
40,3,0,warm workshop,greenhouse_heat_loop,Nia,day3-slot0,2,1,False,True,0,normal clearance
41,3,1,wood bay,flood_bridge_market_route,Ari,day3-slot0,2,2,False,True,0,normal clearance
42,3,2,archive bench,archive_public_kiosk,Milo,day3-slot1,2,1,False,True,0,normal clearance
43,3,3,signal yard,dusk_signal_court,Milo,day3-slot1,2,1,False,True,0,normal clearance
44,3,4,warm workshop,greenhouse_heat_loop,Nia,day3-slot2,2,1,False,True,0,normal clearance
45,3,5,wood bay,flood_bridge_market_route,Ari,day3-slot2,2,2,False,True,0,normal clearance
46,3,6,archive bench,archive_public_kiosk,Milo,day3-slot3,2,1,False,True,0,normal clearance
47,3,7,signal yard,dusk_signal_court,Milo,day3-slot3,2,1,False,True,0,normal clearance
48,3,8,warm workshop,greenhouse_heat_loop,Nia,day3-slot4,2,1,False,True,0,normal clearance
49,3,9,wood bay,flood_bridge_market_route,Ari,day3-slot4,2,2,False,True,0,normal clearance
50,3,10,archive bench,archive_public_kiosk,Milo,day3-slot5,2,1,False,True,0,normal clearance
