tick,day,import_hash,export_hash,save_restore_available,carried_entry_hash,action_count,memory_count,schedule_count,reputation_count,durable_keys
1,1,4737eda623a11911,4737eda623a11911,True,576dde083e157fd4,1,1,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
2,1,4737eda623a11911,4b2bbdbcf6d85b5b,False,576dde083e157fd4,2,2,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
3,1,4737eda623a11911,0fa64069471c7992,False,576dde083e157fd4,3,3,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
4,1,4737eda623a11911,8c009deca36b8021,False,576dde083e157fd4,4,4,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
5,1,4737eda623a11911,571a8110b8924dc5,False,576dde083e157fd4,5,5,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
6,1,4737eda623a11911,1506c1411219dcb4,False,576dde083e157fd4,6,6,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
7,1,45f9d980f6852a58,45f9d980f6852a58,True,576dde083e157fd4,7,7,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
8,1,45f9d980f6852a58,0f95889c37366a82,False,576dde083e157fd4,8,8,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
9,1,45f9d980f6852a58,ecd4df5c96084400,False,576dde083e157fd4,9,9,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
10,1,45f9d980f6852a58,971ced0f5782acc3,False,576dde083e157fd4,10,10,6,6,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
11,2,45f9d980f6852a58,2a4235695d269e0d,False,576dde083e157fd4,11,11,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
12,2,45f9d980f6852a58,fbf2ea3702a85e69,False,576dde083e157fd4,12,12,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
13,2,45f9d980f6852a58,8e960dc4c31311e4,False,576dde083e157fd4,13,13,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
14,2,098484efad1ad9d5,098484efad1ad9d5,True,576dde083e157fd4,14,14,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
15,2,098484efad1ad9d5,6377783b0d8f7c0a,False,576dde083e157fd4,15,15,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
16,2,098484efad1ad9d5,1775d15e0b66491c,False,576dde083e157fd4,16,16,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
17,2,098484efad1ad9d5,471a57a53c223335,False,576dde083e157fd4,17,17,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
18,2,098484efad1ad9d5,6badaf343a01a437,False,576dde083e157fd4,18,18,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
19,2,098484efad1ad9d5,b0baca06109a65d3,False,576dde083e157fd4,19,19,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
20,2,098484efad1ad9d5,81ec1a660a396a68,False,576dde083e157fd4,20,20,12,12,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
21,3,2464597a4217bc37,2464597a4217bc37,True,576dde083e157fd4,21,21,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
22,3,2464597a4217bc37,5454497e0e24a73c,False,576dde083e157fd4,22,22,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
23,3,2464597a4217bc37,1d43764a40ef4314,False,576dde083e157fd4,23,23,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
24,3,2464597a4217bc37,5190d71f700dc444,False,576dde083e157fd4,24,24,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
25,3,2464597a4217bc37,b6d92faa6207ad05,False,576dde083e157fd4,25,25,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
26,3,2464597a4217bc37,567df90b0a451f23,False,576dde083e157fd4,26,26,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
27,3,2464597a4217bc37,3011da781ee110b6,False,576dde083e157fd4,27,27,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
28,3,717a44b32419a566,717a44b32419a566,True,576dde083e157fd4,28,28,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
29,3,717a44b32419a566,7df555229a739392,False,576dde083e157fd4,29,29,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
30,3,717a44b32419a566,9e5169f305b2a537,False,576dde083e157fd4,30,30,18,18,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
31,4,717a44b32419a566,3f4ee1c6eadcd5c5,False,576dde083e157fd4,31,31,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
32,4,717a44b32419a566,8c0d653daf590c75,False,576dde083e157fd4,32,32,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
33,4,717a44b32419a566,a1618df37849c339,False,576dde083e157fd4,33,33,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
34,4,717a44b32419a566,e9352af4f8ecb4e4,False,576dde083e157fd4,34,34,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
35,4,b24afe85134ba333,b24afe85134ba333,True,576dde083e157fd4,35,35,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
36,4,b24afe85134ba333,7df878a6204b5a51,False,576dde083e157fd4,36,36,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
37,4,b24afe85134ba333,ab7d97275b8275c0,False,576dde083e157fd4,37,37,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
38,4,b24afe85134ba333,1f1f76134cea74b8,False,576dde083e157fd4,38,38,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
39,4,b24afe85134ba333,44a4fbeafdcfe50a,False,576dde083e157fd4,39,39,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
40,4,b24afe85134ba333,88d67c0802a10d41,False,576dde083e157fd4,40,40,24,24,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
41,5,b24afe85134ba333,900a2a865dd5ff00,False,576dde083e157fd4,41,41,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
42,5,47e111ff9fcdc24f,47e111ff9fcdc24f,True,576dde083e157fd4,42,42,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
43,5,47e111ff9fcdc24f,0ab4e788fbcc4dd3,False,576dde083e157fd4,43,43,30,30,"entry_hash,avatar_action,lineage_memory,technology_access,relationship_welfare,routine_schedule,public_reputation,replay"
