metric,value
animation_frame_count,1008.0
animation_replay_integrity,1.0
animation_state_reload_integrity,1.0
browser_world_v33_embodied_readiness,0.928728
browser_world_v33_surface_available,1.0
delayed_body_after_avatar_logistics,0.824
delayed_reaction_due_count,112.0
delayed_reaction_reload_count,104.0
delayed_reaction_reload_persistence,0.928571
delayed_reaction_visible_count,104.0
delayed_social_body_reaction_binding,0.928571
dialogue_keyframe_spatial_binding,1.0
embodied_dialogue_animation_binding,1.0
embodied_dialogue_memory_integrity,1.0
frequency_flower_animation_rhythm,0.891865
live_branch_merge_control_mutation,1.0
mean_embodied_animation_channel_score,0.973611
merge_control_event_count,479.0
merge_rollback_balance,0.951983
merge_success_count,266.0
privacy_safe_embodied_state,1.0
rollback_success_count,190.0
sensory_embodied_dialogue_binding,1.0
shared_session_snapshot_exchange,1.0
snapshot_exchange_count,733.0
source_multi_agent_body_continuity,1.0
successful_snapshot_exchange_count,689.0
successful_snapshot_exchange_restore,1.0
visible_browser_embodied_surface,1.0
weakest_channel_name,delayed_body_after_avatar_logistics
weakest_channel_score,0.824
