tick_id,day,settlement_id,resident_id,avatar_action,resident_response,dialogue_hook,consent_or_boundary_state,gaze_after,posture_after,relationship_delta,queue_delta,trust_repair_marker,turn_visible,private_workspace_sealed
0,1,orchard,Mara,turn_right,Mara: I see you near the work.,local presence,observed,ambient-scan,neutral,0.001,-0.001,stable,True,True
1,1,repair_ring,Juno,approach_resident,Juno: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
4,1,archive,Toma,approach_resident,Toma: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
5,1,signal,Milo,drop_object,Milo: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
6,1,orchard,Mara,request_permission,Mara: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
8,1,riverbend,Lio,drop_object,Lio: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
9,1,roofward,Fay,request_permission,Fay: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
11,1,signal,Milo,listen_memory,Milo: That sound reminds me where we left the work.,sensory recall,shared,ambient-scan,neutral,0.006,-0.01,stable,True,True
12,1,orchard,Mara,move_forward,Mara: I see you near the work.,local presence,observed,ambient-scan,neutral,0.001,-0.001,stable,True,True
14,1,riverbend,Lio,listen_memory,Lio: That sound reminds me where we left the work.,sensory recall,shared,ambient-scan,neutral,0.006,-0.01,stable,True,True
16,1,archive,Toma,turn_right,Toma: I see you near the work.,local presence,observed,ambient-scan,neutral,0.0,0.0,stable,True,True
17,1,signal,Milo,approach_resident,Milo: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
18,2,repair_ring,Juno,approach_resident,Juno: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
20,2,roofward,Fay,turn_right,Fay: I see you near the work.,local presence,observed,ambient-scan,neutral,0.0,0.0,stable,True,True
21,2,archive,Toma,approach_resident,Toma: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
22,2,signal,Milo,drop_object,Milo: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
23,2,orchard,Mara,request_permission,Mara: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
24,2,repair_ring,Juno,wait_respectfully,Juno: I see you near the work.,local presence,observed,ambient-scan,neutral,0.006,-0.01,stable,True,True
25,2,riverbend,Lio,drop_object,Lio: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
26,2,roofward,Fay,request_permission,Fay: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
28,2,signal,Milo,listen_memory,Milo: That sound reminds me where we left the work.,sensory recall,shared,ambient-scan,neutral,0.006,-0.01,stable,True,True
31,2,riverbend,Lio,listen_memory,Lio: That sound reminds me where we left the work.,sensory recall,shared,ambient-scan,neutral,0.006,-0.01,stable,True,True
32,2,roofward,Fay,move_forward,Fay: I see you near the work.,local presence,observed,ambient-scan,neutral,0.0,0.0,stable,True,True
34,2,signal,Milo,approach_resident,Milo: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
35,2,orchard,Mara,drop_object,Mara: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
36,3,riverbend,Lio,move_forward,Lio: I see you near the work.,local presence,observed,ambient-scan,neutral,0.001,-0.001,stable,True,True
38,3,archive,Toma,approach_resident,Toma: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
39,3,signal,Milo,drop_object,Milo: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
40,3,orchard,Mara,request_permission,Mara: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
42,3,riverbend,Lio,drop_object,Lio: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
43,3,roofward,Fay,request_permission,Fay: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
44,3,archive,Toma,wait_respectfully,Toma: I see you near the work.,local presence,observed,ambient-scan,neutral,0.006,-0.01,stable,True,True
45,3,signal,Milo,listen_memory,Milo: That sound reminds me where we left the work.,sensory recall,shared,ambient-scan,neutral,0.006,-0.01,stable,True,True
48,3,riverbend,Lio,listen_memory,Lio: That sound reminds me where we left the work.,sensory recall,shared,soft-eye-contact,open,0.006,-0.01,stable,True,True
51,3,signal,Milo,approach_resident,Milo: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
52,3,orchard,Mara,drop_object,Mara: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
53,3,repair_ring,Juno,request_permission,Juno: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
55,4,archive,Toma,approach_resident,Toma: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
56,4,signal,Milo,drop_object,Milo: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
57,4,orchard,Mara,request_permission,Mara: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
59,4,riverbend,Lio,drop_object,Lio: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
60,4,roofward,Fay,request_permission,Fay: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
62,4,signal,Milo,listen_memory,Milo: That sound reminds me where we left the work.,sensory recall,shared,ambient-scan,neutral,0.006,-0.01,stable,True,True
64,4,repair_ring,Juno,turn_right,Juno: I see you near the work.,local presence,observed,ambient-scan,neutral,0.0,0.0,stable,True,True
65,4,riverbend,Lio,listen_memory,Lio: That sound reminds me where we left the work.,sensory recall,shared,soft-eye-contact,open,0.006,-0.01,stable,True,True
68,4,signal,Milo,approach_resident,Milo: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
69,4,orchard,Mara,drop_object,Mara: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
70,4,repair_ring,Juno,request_permission,Juno: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
71,4,riverbend,Lio,approach_resident,Lio: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
72,5,archive,Toma,approach_resident,Toma: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
73,5,signal,Milo,drop_object,Milo: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
74,5,orchard,Mara,request_permission,Mara: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
76,5,riverbend,Lio,drop_object,Lio: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
77,5,roofward,Fay,request_permission,Fay: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
79,5,signal,Milo,listen_memory,Milo: That sound reminds me where we left the work.,sensory recall,shared,ambient-scan,neutral,0.006,-0.01,stable,True,True
80,5,orchard,Mara,move_forward,Mara: I see you near the work.,local presence,observed,ambient-scan,neutral,0.0,0.0,stable,True,True
82,5,riverbend,Lio,listen_memory,Lio: That sound reminds me where we left the work.,sensory recall,shared,soft-eye-contact,open,0.006,-0.01,stable,True,True
84,5,archive,Toma,turn_right,Toma: I see you near the work.,local presence,observed,ambient-scan,neutral,0.001,-0.001,stable,True,True
85,5,signal,Milo,approach_resident,Milo: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
86,5,orchard,Mara,drop_object,Mara: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
87,5,repair_ring,Juno,request_permission,Juno: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
88,5,riverbend,Lio,approach_resident,Lio: I see you near the work.,local presence,observed,tracks-avatar,attentive,0.0,0.006,stable,True,True
89,5,roofward,Fay,drop_object,Fay: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
90,6,signal,Milo,drop_object,Milo: I see you near the work.,local presence,observed,ambient-scan,neutral,0.002,0.0,stable,True,True
91,6,orchard,Mara,request_permission,Mara: You can carry it if you stay nearby.,permission request,granted,ambient-scan,neutral,0.01,-0.004,stable,True,True
92,6,repair_ring,Juno,wait_respectfully,Juno: I see you near the work.,local presence,observed,soft-eye-contact,open,0.006,-0.01,stable,True,True
