tick,day,conflict_id,schedule_delta,access_delta,trust_delta,welfare_delta,schedule_bound,access_bound,trust_bound,conflict_binding_score
0,1,v15-watch-01-000,0.18,0.22,-0.2,-0.09,1,1,1,1.0
1,1,v15-conflict-01-001,0.204,0.145,-0.0425,0.04,1,1,1,1.0
2,1,v15-conflict-01-002,0.228,0.17,-0.035,0.04,1,1,1,1.0
3,1,v15-conflict-01-003,0.332,0.195,-0.0275,-0.06,1,1,1,1.0
4,1,v15-conflict-01-004,0.356,0.22,-0.02,0.04,1,1,1,1.0
5,1,v15-conflict-01-005,0.3,0.345,-0.05,0.04,1,1,1,1.0
6,1,v15-conflict-01-006,0.26,0.27,-0.0425,0.04,1,1,1,1.0
7,1,v15-watch-01-007,0.204,0.22,-0.145,-0.09,1,1,1,1.0
8,2,v15-conflict-02-008,0.228,0.145,-0.0275,0.04,1,1,1,1.0
9,2,v15-conflict-02-009,0.252,0.17,-0.02,0.04,1,1,1,1.0
10,2,v15-conflict-02-010,0.276,0.195,-0.05,0.04,1,1,1,1.0
11,2,v15-conflict-02-011,0.3,0.22,-0.0425,0.04,1,1,1,1.0
12,2,v15-conflict-02-012,0.18,0.245,-0.035,0.04,1,1,1,1.0
13,2,v15-conflict-02-013,0.204,0.27,-0.1375,0.01,1,1,1,1.0
14,2,v15-watch-02-014,0.228,0.12,-0.13,-0.09,1,1,1,1.0
15,2,v15-conflict-02-015,0.252,0.145,-0.05,0.04,1,1,1,1.0
16,3,v15-conflict-03-016,0.276,0.27,-0.0425,0.04,1,1,1,1.0
17,3,v15-conflict-03-017,0.3,0.195,-0.035,0.04,1,1,1,1.0
18,3,v15-conflict-03-018,0.18,0.32,-0.0275,0.04,1,1,1,1.0
19,3,v15-conflict-03-019,0.204,0.345,-0.13,0.01,1,1,1,1.0
20,3,v15-conflict-03-020,0.228,0.37,-0.05,-0.06,1,1,1,1.0
21,3,v15-watch-03-021,0.252,0.12,-0.1525,-0.09,1,1,1,1.0
22,3,v15-conflict-03-022,0.276,0.145,-0.035,0.02,1,1,1,1.0
23,3,v15-conflict-03-023,0.3,0.17,-0.0275,0.04,1,1,1,1.0
24,4,v15-conflict-04-024,0.18,0.195,-0.02,0.04,1,1,1,1.0
25,4,v15-conflict-04-025,0.204,0.22,-0.05,0.02,1,1,1,1.0
26,4,v15-conflict-04-026,0.228,0.245,-0.1525,0.01,1,1,1,1.0
27,4,v15-conflict-04-027,0.252,0.27,-0.035,0.02,1,1,1,1.0
28,4,v15-watch-04-028,0.276,0.12,-0.1375,-0.09,1,1,1,1.0
29,4,v15-conflict-04-029,0.3,0.145,-0.02,0.02,1,1,1,1.0
30,4,v15-conflict-04-030,0.26,0.17,-0.05,0.04,1,1,1,1.0
31,4,v15-conflict-04-031,0.284,0.195,-0.0825,0.04,1,1,1,1.0
32,5,v15-conflict-05-032,0.228,0.22,-0.035,0.02,1,1,1,1.0
33,5,v15-conflict-05-033,0.252,0.245,-0.0275,0.04,1,1,1,1.0
34,5,v15-conflict-05-034,0.356,0.27,-0.02,0.04,1,1,1,1.0
35,5,v15-watch-05-035,0.38,0.12,-0.16,-0.09,1,1,1,1.0
36,5,v15-conflict-05-036,0.26,0.145,-0.0425,0.04,1,1,1,1.0
37,5,v15-conflict-05-037,0.204,0.17,-0.035,-0.08,1,1,1,1.0
38,5,v15-conflict-05-038,0.228,0.195,-0.1375,0.01,1,1,1,1.0
39,5,v15-conflict-05-039,0.252,0.22,-0.13,0.01,1,1,1,1.0
40,6,v15-conflict-06-040,0.276,0.245,-0.05,0.04,1,1,1,1.0
41,6,v15-conflict-06-041,0.3,0.27,-0.0425,0.04,1,1,1,1.0
42,6,v15-watch-06-042,0.18,0.12,-0.145,-0.09,1,1,1,1.0
43,6,v15-conflict-06-043,0.204,0.145,-0.0275,0.04,1,1,1,1.0
44,6,v15-conflict-06-044,0.228,0.17,-0.02,0.04,1,1,1,1.0
45,6,v15-conflict-06-045,0.252,0.195,-0.05,0.02,1,1,1,1.0
46,6,v15-conflict-06-046,0.276,0.22,-0.0425,0.04,1,1,1,1.0
47,6,v15-conflict-06-047,0.38,0.245,-0.035,0.04,1,1,1,1.0
48,7,v15-conflict-07-048,0.18,0.27,-0.0275,0.04,1,1,1,1.0
49,7,v15-watch-07-049,0.204,0.12,-0.13,-0.09,1,1,1,1.0
50,7,v15-conflict-07-050,0.228,0.145,-0.05,0.04,1,1,1,1.0
51,7,v15-conflict-07-051,0.252,0.17,-0.0425,0.04,1,1,1,1.0
52,7,v15-conflict-07-052,0.276,0.195,-0.145,0.01,1,1,1,1.0
53,7,v15-conflict-07-053,0.3,0.22,-0.0275,0.04,1,1,1,1.0
54,7,v15-conflict-07-054,0.18,0.245,-0.02,-0.06,1,1,1,1.0
55,7,v15-conflict-07-055,0.204,0.37,-0.05,0.04,1,1,1,1.0
56,8,v15-watch-08-056,0.228,0.12,-0.1525,-0.09,1,1,1,1.0
57,8,v15-conflict-08-057,0.252,0.245,-0.145,0.01,1,1,1,1.0
58,8,v15-conflict-08-058,0.276,0.27,-0.0275,0.04,1,1,1,1.0
59,8,v15-conflict-08-059,0.3,0.295,-0.02,0.04,1,1,1,1.0
60,8,v15-conflict-08-060,0.26,0.22,-0.05,0.04,1,1,1,1.0
61,8,v15-conflict-08-061,0.204,0.245,-0.0425,0.04,1,1,1,1.0
62,8,v15-conflict-08-062,0.228,0.37,-0.075,0.04,1,1,1,1.0
63,8,v15-watch-08-063,0.252,0.12,-0.1375,-0.11,1,1,1,1.0
64,9,v15-conflict-09-064,0.276,0.145,-0.02,0.04,1,1,1,1.0
65,9,v15-conflict-09-065,0.3,0.17,-0.16,0.01,1,1,1,1.0
66,9,v15-conflict-09-066,0.18,0.295,-0.0425,0.04,1,1,1,1.0
67,9,v15-conflict-09-067,0.204,0.22,-0.035,0.04,1,1,1,1.0
68,9,v15-conflict-09-068,0.308,0.245,-0.0275,0.04,1,1,1,1.0
69,9,v15-conflict-09-069,0.252,0.27,-0.02,0.04,1,1,1,1.0
70,9,v15-watch-09-070,0.276,0.12,-0.16,-0.09,1,1,1,1.0
71,9,v15-conflict-09-071,0.38,0.145,-0.0425,-0.06,1,1,1,1.0
72,10,v15-conflict-10-072,0.26,0.17,-0.035,0.04,1,1,1,1.0
73,10,v15-conflict-10-073,0.204,0.195,-0.0275,0.04,1,1,1,1.0
74,10,v15-conflict-10-074,0.308,0.22,-0.02,0.04,1,1,1,1.0
75,10,v15-conflict-10-075,0.252,0.245,-0.05,0.04,1,1,1,1.0
76,10,v15-conflict-10-076,0.276,0.27,-0.1525,0.01,1,1,1,1.0
77,10,v15-watch-10-077,0.3,0.12,-0.145,-0.09,1,1,1,1.0
78,10,v15-conflict-10-078,0.18,0.145,-0.1375,0.01,1,1,1,1.0
79,10,v15-conflict-10-079,0.284,0.17,-0.02,0.04,1,1,1,1.0
80,11,v15-conflict-11-080,0.228,0.195,-0.05,0.04,1,1,1,1.0
81,11,v15-conflict-11-081,0.252,0.22,-0.0425,0.04,1,1,1,1.0
82,11,v15-conflict-11-082,0.276,0.245,-0.035,0.04,1,1,1,1.0
83,11,v15-conflict-11-083,0.3,0.37,-0.0275,0.04,1,1,1,1.0
84,11,v15-watch-11-084,0.18,0.12,-0.13,-0.09,1,1,1,1.0
85,11,v15-conflict-11-085,0.204,0.145,-0.05,0.04,1,1,1,1.0
86,11,v15-conflict-11-086,0.228,0.17,-0.0425,0.04,1,1,1,1.0
87,11,v15-conflict-11-087,0.332,0.195,-0.035,0.04,1,1,1,1.0
88,12,v15-conflict-12-088,0.276,0.22,-0.0275,-0.06,1,1,1,1.0
89,12,v15-conflict-12-089,0.3,0.345,-0.02,0.04,1,1,1,1.0
90,12,v15-conflict-12-090,0.26,0.27,-0.05,0.04,1,1,1,1.0
91,12,v15-watch-12-091,0.284,0.12,-0.1525,-0.09,1,1,1,1.0
92,12,v15-conflict-12-092,0.228,0.145,-0.035,0.04,1,1,1,1.0
93,12,v15-conflict-12-093,0.252,0.17,-0.0675,0.04,1,1,1,1.0
94,12,v15-conflict-12-094,0.276,0.295,-0.02,0.04,1,1,1,1.0
95,12,v15-conflict-12-095,0.3,0.32,-0.16,0.01,1,1,1,1.0
96,13,v15-conflict-13-096,0.18,0.245,-0.0425,0.04,1,1,1,1.0
97,13,v15-conflict-13-097,0.204,0.27,-0.035,0.04,1,1,1,1.0
98,13,v15-watch-13-098,0.228,0.12,-0.1375,-0.09,1,1,1,1.0
99,13,v15-conflict-13-099,0.252,0.145,-0.02,0.04,1,1,1,1.0
100,13,v15-conflict-13-100,0.356,0.17,-0.05,0.04,1,1,1,1.0
101,13,v15-conflict-13-101,0.3,0.195,-0.0425,0.04,1,1,1,1.0
102,13,v15-conflict-13-102,0.18,0.22,-0.035,0.04,1,1,1,1.0
103,13,v15-conflict-13-103,0.204,0.245,-0.0275,0.04,1,1,1,1.0
104,14,v15-conflict-14-104,0.228,0.27,-0.13,-0.01,1,1,1,1.0
105,14,v15-watch-14-105,0.332,0.12,-0.16,-0.09,1,1,1,1.0
106,14,v15-conflict-14-106,0.276,0.145,-0.0425,0.04,1,1,1,1.0
107,14,v15-conflict-14-107,0.3,0.17,-0.035,0.04,1,1,1,1.0
108,14,v15-conflict-14-108,0.18,0.195,-0.0275,0.04,1,1,1,1.0
109,14,v15-conflict-14-109,0.204,0.22,-0.02,0.04,1,1,1,1.0
110,14,v15-conflict-14-110,0.308,0.245,-0.05,0.04,1,1,1,1.0
111,14,v15-conflict-14-111,0.252,0.27,-0.0425,0.04,1,1,1,1.0
112,15,v15-watch-15-112,0.356,0.12,-0.145,-0.09,1,1,1,1.0
113,15,v15-conflict-15-113,0.3,0.145,-0.0275,0.04,1,1,1,1.0
114,15,v15-conflict-15-114,0.18,0.17,-0.13,0.01,1,1,1,1.0
115,15,v15-conflict-15-115,0.284,0.195,-0.05,0.04,1,1,1,1.0
116,15,v15-conflict-15-116,0.228,0.22,-0.0425,0.04,1,1,1,1.0
117,15,v15-conflict-15-117,0.252,0.245,-0.145,0.01,1,1,1,1.0
118,15,v15-conflict-15-118,0.276,0.27,-0.0275,0.04,1,1,1,1.0
119,15,v15-watch-15-119,0.38,0.12,-0.13,-0.09,1,1,1,1.0
120,16,v15-conflict-16-120,0.26,0.145,-0.05,0.04,1,1,1,1.0
121,16,v15-conflict-16-121,0.204,0.17,-0.0425,0.02,1,1,1,1.0
122,16,v15-conflict-16-122,0.228,0.295,-0.035,-0.06,1,1,1,1.0
123,16,v15-conflict-16-123,0.332,0.22,-0.0275,0.04,1,1,1,1.0
124,16,v15-conflict-16-124,0.276,0.245,-0.06,0.04,1,1,1,1.0
125,16,v15-conflict-16-125,0.3,0.27,-0.05,0.04,1,1,1,1.0
126,16,v15-watch-16-126,0.18,0.12,-0.1525,-0.09,1,1,1,1.0
127,16,v15-conflict-16-127,0.204,0.145,-0.035,0.04,1,1,1,1.0
128,17,v15-conflict-17-128,0.228,0.17,-0.0275,0.04,1,1,1,1.0
129,17,v15-conflict-17-129,0.252,0.195,-0.02,0.04,1,1,1,1.0
130,17,v15-conflict-17-130,0.276,0.32,-0.16,0.01,1,1,1,1.0
131,17,v15-conflict-17-131,0.3,0.245,-0.0425,0.04,1,1,1,1.0
132,17,v15-conflict-17-132,0.18,0.27,-0.035,0.02,1,1,1,1.0
133,17,v15-watch-17-133,0.204,0.12,-0.1375,-0.11,1,1,1,1.0
134,17,v15-conflict-17-134,0.228,0.145,-0.02,0.04,1,1,1,1.0
135,17,v15-conflict-17-135,0.332,0.17,-0.05,0.04,1,1,1,1.0
136,18,v15-conflict-18-136,0.276,0.195,-0.0425,0.04,1,1,1,1.0
137,18,v15-conflict-18-137,0.38,0.22,-0.035,0.04,1,1,1,1.0
138,18,v15-conflict-18-138,0.18,0.345,-0.0275,0.04,1,1,1,1.0
139,18,v15-conflict-18-139,0.204,0.27,-0.02,-0.08,1,1,1,1.0
140,18,v15-watch-18-140,0.228,0.12,-0.16,-0.09,1,1,1,1.0
141,18,v15-conflict-18-141,0.252,0.145,-0.0425,0.04,1,1,1,1.0
142,18,v15-conflict-18-142,0.276,0.17,-0.035,0.04,1,1,1,1.0
143,18,v15-conflict-18-143,0.38,0.195,-0.1375,0.01,1,1,1,1.0
144,19,v15-conflict-19-144,0.26,0.22,-0.02,0.04,1,1,1,1.0
145,19,v15-conflict-19-145,0.284,0.245,-0.05,0.04,1,1,1,1.0
146,19,v15-conflict-19-146,0.308,0.27,-0.0425,0.04,1,1,1,1.0
147,19,v15-watch-19-147,0.252,0.12,-0.145,-0.11,1,1,1,1.0
148,19,v15-conflict-19-148,0.276,0.245,-0.0275,0.04,1,1,1,1.0
149,19,v15-conflict-19-149,0.3,0.17,-0.02,0.04,1,1,1,1.0
150,19,v15-conflict-19-150,0.18,0.195,-0.05,0.04,1,1,1,1.0
151,19,v15-conflict-19-151,0.204,0.22,-0.0425,0.04,1,1,1,1.0
152,20,v15-conflict-20-152,0.228,0.245,-0.145,0.01,1,1,1,1.0
153,20,v15-conflict-20-153,0.252,0.27,-0.0275,0.02,1,1,1,1.0
