tick_id,day,infrastructure_id,sight_cue,sound_cue,smell_cue,temperature_cue,wetness_cue,body_cue,rhythm_marker,sensory_bound_to_infrastructure
0,1,river_mill_bridge,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,flower-node,True
1,1,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
2,1,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
3,1,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
4,1,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
5,1,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
6,1,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,cold draft,wet surface,watchful idle,maintenance-pulse,True
7,1,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
8,1,river_mill_bridge,steady structure,work rhythm,wet wood,mild air,wet surface,watchful idle,flower-node,True
9,1,roof_greenhouse_cistern,steady structure,quiet upkeep,wet wood,warm work air,wet surface,watchful idle,maintenance-pulse,True
10,1,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
11,1,dusk_signal_workshop,steady structure,work rhythm,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
12,1,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
13,1,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
14,1,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
15,1,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
16,1,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
17,1,roof_greenhouse_cistern,steady structure,quiet upkeep,wet wood,warm work air,wet surface,watchful idle,ambient-rate,True
18,2,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
19,2,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
20,2,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
21,2,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
22,2,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
23,2,dusk_signal_workshop,steady structure,work rhythm,oil and paper,mild air,dry surface,skilled work posture,maintenance-pulse,True
24,2,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
25,2,roof_greenhouse_cistern,steady structure,work rhythm,wet wood,warm work air,wet surface,watchful idle,maintenance-pulse,True
26,2,archive_public_kiosk,steady structure,work rhythm,wet wood,mild air,wet surface,watchful idle,flower-node,True
27,2,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
28,2,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
29,2,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
30,2,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,cold draft,wet surface,watchful idle,flower-node,True
31,2,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
32,2,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
33,2,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
34,2,archive_public_kiosk,steady structure,work rhythm,wet wood,mild air,wet surface,watchful idle,flower-node,True
35,2,dusk_signal_workshop,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,ambient-rate,True
36,3,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
37,3,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
38,3,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
39,3,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
40,3,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
41,3,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,cold draft,wet surface,watchful idle,maintenance-pulse,True
42,3,archive_public_kiosk,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
43,3,dusk_signal_workshop,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
44,3,river_mill_bridge,steady structure,work rhythm,soil and water,mild air,dry surface,watchful idle,flower-node,True
45,3,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
46,3,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
47,3,dusk_signal_workshop,steady structure,work rhythm,oil and paper,mild air,dry surface,skilled work posture,maintenance-pulse,True
48,3,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,flower-node,True
49,3,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
50,3,archive_public_kiosk,steady structure,work rhythm,oil and paper,mild air,dry surface,skilled work posture,maintenance-pulse,True
51,3,dusk_signal_workshop,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
52,3,river_mill_bridge,steady structure,quiet upkeep,wet wood,mild air,wet surface,watchful idle,flower-node,True
53,3,roof_greenhouse_cistern,steady structure,quiet upkeep,soil and water,warm work air,dry surface,watchful idle,ambient-rate,True
54,4,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
55,4,river_mill_bridge,steady structure,quiet upkeep,soil and water,mild air,dry surface,watchful idle,maintenance-pulse,True
56,4,roof_greenhouse_cistern,steady structure,work rhythm,soil and water,warm work air,dry surface,watchful idle,maintenance-pulse,True
57,4,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
58,4,dusk_signal_workshop,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,flower-node,True
59,4,river_mill_bridge,steady structure,work rhythm,wet wood,mild air,wet surface,watchful idle,maintenance-pulse,True
60,4,roof_greenhouse_cistern,steady structure,quiet upkeep,wet wood,warm work air,wet surface,watchful idle,maintenance-pulse,True
61,4,archive_public_kiosk,steady structure,quiet upkeep,oil and paper,mild air,dry surface,watchful idle,maintenance-pulse,True
62,4,dusk_signal_workshop,steady structure,work rhythm,oil and paper,mild air,dry surface,skilled work posture,flower-node,True
