tick,day,arc_id,agent,authored_by_agent,proposed_term,constraint_count,constraint_specificity,boundary_clause,concession_clause,counterproposal_confidence,private_workspace_sealed
0,1,v17-arc-01,Keth,0,shared route warning before shortcut,2,0.755,do not erase route warnings,shorter turn,0.815,1
0,1,v17-arc-01,Nari,1,public summary without private ledger text,4,0.95,sealed notes stay sealed,public witness,0.824857,1
0,1,v17-arc-01,Vonn,1,quiet path plus later witness circle,4,0.95,quiet recovery ritual needs distance,repair token,0.842714,1
1,1,v17-arc-01,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,public witness,0.834857,1
1,1,v17-arc-01,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.842714,1
2,1,v17-arc-01,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.832714,1
2,1,v17-arc-01,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,quiet path,0.850571,1
3,1,v17-arc-01,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.850571,1
3,1,v17-arc-01,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.858429,1
4,1,v17-arc-01,Vonn,1,quiet path plus later witness circle,3,0.895,quiet recovery ritual needs distance,shared schedule note,0.858429,1
4,1,v17-arc-01,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,later help,0.866286,1
4,1,v17-arc-01,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,shorter turn,0.864143,1
5,1,v17-arc-01,Sova,1,quiet warm access window,4,0.975,no crowding while resting,later help,0.866286,1
5,1,v17-arc-01,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,shorter turn,0.874143,1
6,1,v17-arc-01,Keth,1,shared route warning before shortcut,2,0.815,do not erase route warnings,shorter turn,0.874143,1
6,1,v17-arc-01,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,public witness,0.872,1
7,1,v17-arc-01,Melo,1,rotating tool slot with public debt note,3,0.895,fair turns before tool access,public witness,0.882,1
7,1,v17-arc-01,Ori,1,finish repair then help for one watch,5,1.0,repair work cannot be interrupted without warning,repair token,0.827,1
8,1,v17-arc-01,Nari,1,public summary without private ledger text,5,1.0,sealed notes stay sealed,repair token,0.817,1
8,1,v17-arc-01,Vonn,1,quiet path plus later witness circle,2,0.815,quiet recovery ritual needs distance,quiet path,0.834857,1
8,1,v17-arc-01,Keth,1,shared route warning before shortcut,3,0.895,do not erase route warnings,shared schedule note,0.842714,1
9,1,v17-arc-01,Ori,1,finish repair then help for one watch,3,0.895,repair work cannot be interrupted without warning,quiet path,0.834857,1
9,1,v17-arc-01,Sova,1,quiet warm access window,3,0.895,no crowding while resting,shared schedule note,0.842714,1
10,2,v17-arc-01,Sova,1,quiet warm access window,3,0.895,no crowding while resting,later help,0.842714,1
10,2,v17-arc-01,Melo,1,rotating tool slot with public debt note,4,0.975,fair turns before tool access,shorter turn,0.850571,1
11,2,v17-arc-01,Keth,1,shared route warning before shortcut,4,0.975,do not erase route warnings,shorter turn,0.850571,1
11,2,v17-arc-01,Nari,1,public summary without private ledger text,3,0.895,sealed notes stay sealed,public witness,0.848429,1
12,2,v17-arc-01,Melo,1,rotating tool slot with public debt note,2,0.815,fair turns before tool access,public witness,0.858429,1
12,2,v17-arc-01,Ori,1,finish repair then help for one watch,4,0.975,repair work cannot be interrupted without warning,repair token,0.866286,1
12,2,v17-arc-01,Sova,1,quiet warm access window,4,0.975,no crowding while resting,quiet path,0.874143,1
13,2,v17-arc-01,Nari,1,public summary without private ledger text,4,0.975,sealed notes stay sealed,repair token,0.856286,1
