metric,value
accepted_import_persistence,1.0
branch_comparison_count,960.0
branch_dialogue_memory_integrity,1.0
branch_outcome_contrast_visibility,1.0
branch_replay_integrity,1.0
browser_world_v31_branch_dialogue_readiness,0.937185
browser_world_v31_surface_available,1.0
dialogue_references_avatar_decision,1.0
dialogue_turn_count,118.0
editable_localstorage_state_integrity,1.0
editable_state_frame_count,960.0
frequency_flower_branch_rhythm,0.933333
import_accept_count,226.0
import_attempt_count,235.0
later_agent_dialogue_binding,1.0
later_dialogue_after_branch_reload,0.824
mean_branch_dialogue_channel_score,0.985693
multi_route_simultaneous_task_binding,0.956522
persisted_consequence_count,151.0
persistent_recovery_consequence_binding,1.0
privacy_safe_branch_dialogue_state,1.0
reload_branch_replay_binding,1.0
resource_conflict_count,21.0
route_branch_comparison_coverage,1.0
sensory_editable_state_binding,1.0
simultaneous_task_conflict_visibility,1.0
simultaneous_task_count,345.0
source_live_route_continuity,1.0
state_import_export_roundtrip,1.0
visible_browser_editable_state_surface,1.0
weakest_channel_score,0.824
