epoch_index,checkpoint_id,import_hash,export_hash,restore_verified,carried_epoch_rows,durable_keys
1,r247-year0050,a8ae8742ba0071d8,a8ae8742ba0071d8,True,1,"epoch,lineage,technology,welfare,gates,replay"
2,,pending,ae91888df8d2c8cd,False,2,"epoch,lineage,technology,welfare,gates,replay"
3,,pending,d133638ff235f47d,False,3,"epoch,lineage,technology,welfare,gates,replay"
4,,pending,3d178f1c7ca7e51b,False,4,"epoch,lineage,technology,welfare,gates,replay"
5,,pending,6d9e27d322129d76,False,5,"epoch,lineage,technology,welfare,gates,replay"
6,,pending,df7d21dbf3f58c1c,False,6,"epoch,lineage,technology,welfare,gates,replay"
7,,pending,95f46315dd1c0105,True,7,"epoch,lineage,technology,welfare,gates,replay"
8,,pending,ed48780c92d95959,False,8,"epoch,lineage,technology,welfare,gates,replay"
9,,pending,78c3f2913bfeee4f,False,9,"epoch,lineage,technology,welfare,gates,replay"
10,,pending,4a2ba1a25dfbf8ad,False,10,"epoch,lineage,technology,welfare,gates,replay"
11,,pending,7bb8ccb40b0ff7a0,False,11,"epoch,lineage,technology,welfare,gates,replay"
12,r247-year0600,b370248069a7ab70,b370248069a7ab70,True,12,"epoch,lineage,technology,welfare,gates,replay"
13,,pending,539bebbb62bc49e6,False,13,"epoch,lineage,technology,welfare,gates,replay"
14,,pending,622847c5790be0e2,True,14,"epoch,lineage,technology,welfare,gates,replay"
15,,pending,e7944755dc0545c7,False,15,"epoch,lineage,technology,welfare,gates,replay"
16,,pending,86c1e50d032db48b,False,16,"epoch,lineage,technology,welfare,gates,replay"
17,,pending,ed3adf8f75aa73bb,False,17,"epoch,lineage,technology,welfare,gates,replay"
18,,pending,c1a3e01150e2bd9a,False,18,"epoch,lineage,technology,welfare,gates,replay"
19,,pending,fdea98a329d326a9,False,19,"epoch,lineage,technology,welfare,gates,replay"
20,,pending,df7f82900eabceb7,False,20,"epoch,lineage,technology,welfare,gates,replay"
21,,pending,fdba5a2dad887759,True,21,"epoch,lineage,technology,welfare,gates,replay"
22,,pending,a3e6bb84833f871b,False,22,"epoch,lineage,technology,welfare,gates,replay"
23,,pending,3cd42398b0cdece0,False,23,"epoch,lineage,technology,welfare,gates,replay"
24,r247-year1200,1d8bf1a5bf3af1cd,1d8bf1a5bf3af1cd,True,24,"epoch,lineage,technology,welfare,gates,replay"
25,,pending,553d5c0b8ce6023b,False,25,"epoch,lineage,technology,welfare,gates,replay"
26,,pending,e65f82334ea38914,False,26,"epoch,lineage,technology,welfare,gates,replay"
27,,pending,2e533f431bfa5c4e,False,27,"epoch,lineage,technology,welfare,gates,replay"
28,,pending,3faff800b1d521c0,True,28,"epoch,lineage,technology,welfare,gates,replay"
29,,pending,edf99c1cfc2140a5,False,29,"epoch,lineage,technology,welfare,gates,replay"
30,,pending,2732014f494b727c,False,30,"epoch,lineage,technology,welfare,gates,replay"
31,,pending,693ffe66f7190bb4,False,31,"epoch,lineage,technology,welfare,gates,replay"
32,,pending,961d3018438e4f40,False,32,"epoch,lineage,technology,welfare,gates,replay"
33,,pending,c5d3a08d9fdd5ef0,False,33,"epoch,lineage,technology,welfare,gates,replay"
34,,pending,7d4e86a329e2cb83,False,34,"epoch,lineage,technology,welfare,gates,replay"
35,,pending,1b9a0a3d64fc1f8c,True,35,"epoch,lineage,technology,welfare,gates,replay"
36,r247-year1800,8e27863853b2c6c3,8e27863853b2c6c3,True,36,"epoch,lineage,technology,welfare,gates,replay"
37,,pending,d1904130203f6ba8,False,37,"epoch,lineage,technology,welfare,gates,replay"
38,,pending,9a9754983500cafa,False,38,"epoch,lineage,technology,welfare,gates,replay"
39,,pending,c3c44d813c6d681e,False,39,"epoch,lineage,technology,welfare,gates,replay"
40,,pending,74be75dfbde6cda2,False,40,"epoch,lineage,technology,welfare,gates,replay"
41,,pending,e679de78ef8de313,False,41,"epoch,lineage,technology,welfare,gates,replay"
42,,pending,59434411fe736170,True,42,"epoch,lineage,technology,welfare,gates,replay"
43,,pending,f2845b3fb221bdc8,False,43,"epoch,lineage,technology,welfare,gates,replay"
44,,pending,eb19823bbe1ad8d2,False,44,"epoch,lineage,technology,welfare,gates,replay"
45,,pending,aecec391f3f745c2,False,45,"epoch,lineage,technology,welfare,gates,replay"
46,,pending,013e047c5e7a23a7,False,46,"epoch,lineage,technology,welfare,gates,replay"
47,,pending,8cf8e66d168b43ea,False,47,"epoch,lineage,technology,welfare,gates,replay"
48,r247-year2400,e0bd6b914842182d,e0bd6b914842182d,True,48,"epoch,lineage,technology,welfare,gates,replay"
49,,pending,80996ad95b6d538a,True,49,"epoch,lineage,technology,welfare,gates,replay"
50,,pending,5051e73f047e1191,False,50,"epoch,lineage,technology,welfare,gates,replay"
51,,pending,a56af381accc6830,False,51,"epoch,lineage,technology,welfare,gates,replay"
52,,pending,0abb47469bf76d9d,False,52,"epoch,lineage,technology,welfare,gates,replay"
53,,pending,7552061e300e6007,False,53,"epoch,lineage,technology,welfare,gates,replay"
54,,pending,028edfdaae9f6aba,False,54,"epoch,lineage,technology,welfare,gates,replay"
55,,pending,218f13d9793bf239,False,55,"epoch,lineage,technology,welfare,gates,replay"
56,,pending,3b878da5706817c5,True,56,"epoch,lineage,technology,welfare,gates,replay"
57,,pending,0e11170494f67f0b,False,57,"epoch,lineage,technology,welfare,gates,replay"
58,,pending,7faac011e768cfee,False,58,"epoch,lineage,technology,welfare,gates,replay"
59,,pending,968cf04c7500efef,False,59,"epoch,lineage,technology,welfare,gates,replay"
60,r247-year3000,e06ba775947d4488,e06ba775947d4488,True,60,"epoch,lineage,technology,welfare,gates,replay"
61,,pending,6b861600bf91eabc,False,61,"epoch,lineage,technology,welfare,gates,replay"
62,,pending,77fe71f806e80743,False,62,"epoch,lineage,technology,welfare,gates,replay"
63,,pending,7c375c9e3409305c,True,63,"epoch,lineage,technology,welfare,gates,replay"
64,,pending,7cbf457c9b9112fc,False,64,"epoch,lineage,technology,welfare,gates,replay"
65,,pending,f6eddb75ccbbe1ab,False,65,"epoch,lineage,technology,welfare,gates,replay"
66,,pending,c4f3878e699980e5,False,66,"epoch,lineage,technology,welfare,gates,replay"
