scenario,model,category,episodes,selection_rate,mean_train_bic,mean_train_mse,mean_test_mae,mean_k_params,mean_gain_abs_error,mean_wind_abs_error
mixed_hidden,action_memory,implicit_action_memory,500,0.0,-205.51058172799665,0.0,1.4156451612903227,7.472,,
mixed_hidden,factorized_gain_wind,self_equivalent,500,0.522,-216.8892858440687,0.0,0.0,2.0,0.0,0.0
mixed_hidden,identity_fixed_body,no_self,500,0.06,13.796596952420288,117.0345625,6.311322580645162,0.0,0.778,1.011
mixed_hidden,self_gain,self_equivalent,500,0.266,-65.79617026683313,1.4662471707164904,1.011,1.0,0.01499279081830505,1.011
mixed_hidden,world_bias,world_only,500,0.152,-19.198488377617565,111.4400078125,6.124963709677419,1.0,0.778,1.263125
self_drift,action_memory,implicit_action_memory,500,0.0,-205.58128274041377,0.0,1.3931612903225807,7.438,,
self_drift,factorized_gain_wind,self_equivalent,500,0.0,-216.8892858440687,0.0,0.0,2.0,0.0,0.0
self_drift,identity_fixed_body,no_self,500,0.0,32.19359403675609,147.9903125,7.378064516129032,0.0,0.953,0.0
self_drift,self_gain,self_equivalent,500,1.0,-218.96872738574854,0.0,0.0,1.0,0.0,0.0
self_drift,world_bias,world_only,500,0.0,33.95593764478656,141.4843984375,7.517883064516129,1.0,0.953,1.649125
static_goal_switch,action_memory,implicit_action_memory,500,0.0,-205.71436699908128,0.0,1.4147096774193548,7.374,,
static_goal_switch,factorized_gain_wind,self_equivalent,500,0.0,-216.8892858440687,0.0,0.0,2.0,0.0,0.0
static_goal_switch,identity_fixed_body,no_self,500,1.0,-221.04816892742838,0.0,0.0,0.0,0.0,0.0
static_goal_switch,self_gain,self_equivalent,500,0.0,-218.96872738574854,0.0,0.0,1.0,0.0,0.0
static_goal_switch,world_bias,world_only,500,0.0,-218.96872738574854,0.0,0.0,1.0,0.0,0.0
world_drift,action_memory,implicit_action_memory,500,0.0,-205.57296497424704,0.0,1.405741935483871,7.442,,
world_drift,factorized_gain_wind,self_equivalent,500,0.0,-216.8892858440687,0.0,0.0,2.0,0.0,0.0
world_drift,identity_fixed_body,no_self,500,0.0,5.744803832480827,2.554,1.518,0.0,0.0,1.518
world_drift,self_gain,self_equivalent,500,0.0,7.52255815575321,2.4580519994914147,1.518,1.0,0.024092201311786965,1.518
world_drift,world_bias,world_only,500,1.0,-218.96872738574854,0.0,0.0,1.0,0.0,0.0
