tick_id,day,settlement_id,resident_id,schedule_phase,scheduled_room,actual_room,task,schedule_visible,interruption_possible,routine_saved
0,1,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,False,True
1,1,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
2,1,archive,Toma,morning work,spool room,spool room,repair object,True,False,True
3,1,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,True,True
4,1,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,True,True
5,1,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
6,1,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,True,True
7,1,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,True,True
8,1,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
9,1,signal,Milo,night memory,arrival court,arrival court,recall memory,True,False,True
10,1,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
11,1,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,False,True
12,2,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
13,2,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
14,2,archive,Nia,morning work,spool room,spool room,repair object,True,False,True
15,2,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,True,True
16,2,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
17,2,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
18,2,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,True,True
19,2,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
20,2,archive,Nia,evening repair,ink niche,ink niche,inspect hazard,True,False,True
21,2,signal,Ren,night memory,arrival court,arrival court,recall memory,True,False,True
22,2,orchard,Ivo,night memory,arrival court,arrival court,recall memory,True,False,True
23,2,repair_ring,Pax,night memory,arrival court,arrival court,recall memory,True,False,True
24,3,riverbend,Lio,morning work,plank hall,plank hall,repair object,True,False,True
25,3,roofward,Fay,morning work,ledger loft,ledger loft,repair object,True,False,True
26,3,archive,Toma,morning work,spool room,spool room,repair object,True,True,True
27,3,signal,Milo,midday exchange,lantern walk,lantern walk,teach dialect,True,True,True
28,3,orchard,Mara,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
29,3,repair_ring,Juno,midday exchange,spark lane,spark lane,teach dialect,True,False,True
30,3,riverbend,Lio,evening repair,dry ridge,dry ridge,inspect hazard,True,True,True
31,3,roofward,Fay,evening repair,glass stair,glass stair,inspect hazard,True,False,True
32,3,archive,Toma,evening repair,ink niche,ink niche,inspect hazard,True,False,True
33,3,signal,Milo,night memory,arrival court,arrival court,recall memory,True,False,True
34,3,orchard,Mara,night memory,arrival court,arrival court,recall memory,True,False,True
35,3,repair_ring,Juno,night memory,arrival court,arrival court,recall memory,True,True,True
36,4,riverbend,Ari,morning work,plank hall,plank hall,repair object,True,False,True
37,4,roofward,Sera,morning work,ledger loft,ledger loft,repair object,True,False,True
38,4,archive,Nia,morning work,spool room,spool room,repair object,True,True,True
39,4,signal,Ren,midday exchange,lantern walk,lantern walk,teach dialect,True,False,True
40,4,orchard,Ivo,midday exchange,satchel shed,satchel shed,teach dialect,True,False,True
41,4,repair_ring,Pax,midday exchange,spark lane,spark lane,teach dialect,True,False,True
42,4,riverbend,Ari,evening repair,dry ridge,dry ridge,inspect hazard,True,False,True
43,4,roofward,Sera,evening repair,glass stair,glass stair,inspect hazard,True,False,True
