tick,day,scene_id,agent,base_layer,gesture_layer,object_layer,shadow_layer,depth_sort_key,layer_stack_valid,layer_matches_animation,visible_body_layer_score
0,1,v20-scene-d01,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.522572,0,0,0.5
1,1,v20-scene-d01,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.669803,1,1,1.0
2,1,v20-scene-d01,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.939216,1,1,1.0
3,1,v20-scene-d01,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.723263,1,1,1.0
4,1,v20-scene-d01,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.60224,1,0,0.75
5,1,v20-scene-d01,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.200343,1,1,1.0
6,1,v20-scene-d01,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.810834,1,1,1.0
7,1,v20-scene-d01,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.40317,1,1,1.0
8,1,v20-scene-d01,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,4.10332,1,1,1.0
9,1,v20-scene-d01,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,3.805511,1,1,1.0
10,1,v20-scene-d01,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.013659,1,1,1.0
11,1,v20-scene-d01,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,3.667879,1,1,1.0
12,1,v20-scene-d01,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.238258,1,1,1.0
13,1,v20-scene-d01,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,4.475467,1,1,1.0
14,2,v20-scene-d02,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.9793,1,1,1.0
15,2,v20-scene-d02,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,5.803296,1,1,1.0
16,2,v20-scene-d02,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.473708,1,1,1.0
17,2,v20-scene-d02,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.869982,1,1,1.0
18,2,v20-scene-d02,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.739545,1,1,1.0
19,2,v20-scene-d02,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.557218,1,1,1.0
20,2,v20-scene-d02,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.178863,1,1,1.0
21,2,v20-scene-d02,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.772211,1,1,1.0
22,2,v20-scene-d02,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,4.362804,1,1,1.0
23,2,v20-scene-d02,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.054045,1,1,1.0
24,2,v20-scene-d02,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,3.816894,1,1,1.0
25,2,v20-scene-d02,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,3.923359,1,1,1.0
26,2,v20-scene-d02,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,3.819085,1,1,0.93
27,2,v20-scene-d02,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.550493,1,0,0.68
28,3,v20-scene-d03,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,4.823105,1,0,0.68
29,3,v20-scene-d03,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.094683,1,1,0.93
30,3,v20-scene-d03,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,5.69541,1,1,1.0
31,3,v20-scene-d03,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,5.646066,1,1,1.0
32,3,v20-scene-d03,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,6.001095,1,1,1.0
33,3,v20-scene-d03,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,5.630074,1,1,1.0
34,3,v20-scene-d03,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,5.513294,1,1,1.0
35,3,v20-scene-d03,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,5.14691,1,1,1.0
36,3,v20-scene-d03,Nari,body_oval_depth_sorted,hand_or_object_gesture,held_ink_ledger,soft_ground_shadow,4.735346,1,1,1.0
37,3,v20-scene-d03,Ori,body_oval_depth_sorted,hand_or_object_gesture,held_sap_hook,soft_ground_shadow,4.331514,1,0,0.75
38,3,v20-scene-d03,Vonn,body_oval_depth_sorted,hand_or_object_gesture,held_listening_shell,soft_ground_shadow,4.099426,1,1,1.0
39,3,v20-scene-d03,Sova,body_oval_depth_sorted,hand_or_object_gesture,held_ember_bowl,soft_ground_shadow,3.716615,1,1,1.0
40,3,v20-scene-d03,Keth,body_oval_depth_sorted,hand_or_object_gesture,held_path_cord,soft_ground_shadow,3.846707,1,1,1.0
41,3,v20-scene-d03,Melo,body_oval_depth_sorted,hand_or_object_gesture,held_tally_beads,soft_ground_shadow,3.895454,1,0,0.75
