seed,recovery_id,pulse_id,actor,event,harm_type,repair_action,resource_cost,trust_delta,progress_delta,debt_delta,relationship_note,need_before,need_after,schedule_coupling,status,resources_before,resources_after,schedule_repair,outcome
36217,36217-SR-01,36217-SP-01,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,Milo made 36217-AIS-03 easier to attempt after neighbor_help,resolved,"{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}",schedule consequence acknowledged,Milo used acknowledge help and share credit after neighbor_help
36217,36217-SR-02,36217-SP-02,Sera,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,explore,recovering,Sera made 36217-AIS-01 easier to attempt after neighbor_help,resolved,"{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}",schedule consequence acknowledged,Sera used acknowledge help and share credit after neighbor_help
36217,36217-SR-03,36217-SP-03,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,Milo made 36217-AIS-01 easier to attempt after neighbor_help,resolved,"{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}",schedule consequence acknowledged,Milo used acknowledge help and share credit after neighbor_help
36217,36217-SR-04,36217-SP-04,Tovan,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,Tovan made 36217-AIS-05 easier to attempt after neighbor_help,resolved,"{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}",schedule consequence acknowledged,Tovan used acknowledge help and share credit after neighbor_help
36217,36217-SR-05,36217-SP-05,Ari,found_material,opportunity allocation,share found material with pending work,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.005,0.016,-1,benefit distributed instead of hoarded,finish-work,recovering,Ari made 36217-AIS-01 easier to attempt after found_material,resolved,"{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}",schedule consequence acknowledged,Ari used share found material with pending work after found_material
36217,36217-SR-06,36217-SP-06,Ari,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,recovering,Ari stochastically delayed 36217-AIS-01 while repair awning competed with roof_leak,resolved,"{""care"": 7, ""fiber"": 6, ""water"": 5, ""wood"": 6}","{""care"": 7, ""fiber"": 5, ""water"": 5, ""wood"": 5}",schedule consequence acknowledged,Ari used patch leak and rest near dry place after roof_leak
36217,36217-SR-07,36217-SP-07,Fay,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,social-safety,Fay stochastically disputed 36217-AIS-02 while sort herbs competed with argument_echo,resolved,"{""care"": 7, ""fiber"": 5, ""water"": 5, ""wood"": 5}","{""care"": 6, ""fiber"": 5, ""water"": 5, ""wood"": 5}",schedule consequence acknowledged,Fay used mediate disagreement and name source boundary after argument_echo
36217,36217-SR-08,36217-SP-08,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,Milo made 36217-AIS-03 easier to attempt after neighbor_help,resolved,"{""care"": 6, ""fiber"": 5, ""water"": 5, ""wood"": 5}","{""care"": 6, ""fiber"": 5, ""water"": 5, ""wood"": 5}",schedule consequence acknowledged,Milo used acknowledge help and share credit after neighbor_help
36231,36231-SR-01,36231-SP-01,Tovan,quiet_recovery,fatigue recovery,protect quiet rest and resume slowly,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.004,0.01,-1,rest respected as recovery,explore,recovering,,resolved,"{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}",,Tovan used protect quiet rest and resume slowly after quiet_recovery
36231,36231-SR-02,36231-SP-02,Fay,found_material,opportunity allocation,share found material with pending work,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.005,0.016,-1,benefit distributed instead of hoarded,finish-work,recovering,Fay made 36231-AIS-02 easier to attempt after found_material,resolved,"{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}",schedule consequence acknowledged,Fay used share found material with pending work after found_material
36231,36231-SR-03,36231-SP-03,Milo,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,Milo made 36231-AIS-03 easier to attempt after neighbor_help,resolved,"{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}",schedule consequence acknowledged,Milo used acknowledge help and share credit after neighbor_help
36231,36231-SR-04,36231-SP-04,Milo,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,Milo stochastically delayed 36231-AIS-03 while carry water competed with tool_snag,stabilized without materials,"{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}",schedule consequence acknowledged,Milo lacked materials and stabilized through rest and attention
36231,36231-SR-05,36231-SP-05,Ari,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,Ari stochastically delayed 36231-AIS-01 while repair awning competed with tool_snag,stabilized without materials,"{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}",schedule consequence acknowledged,Ari lacked materials and stabilized through rest and attention
36231,36231-SR-06,36231-SP-06,Tovan,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,Tovan stochastically delayed 36231-AIS-02 while sort herbs competed with tool_snag,stabilized without materials,"{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}",schedule consequence acknowledged,Tovan lacked materials and stabilized through rest and attention
36231,36231-SR-07,36231-SP-07,Sera,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,Sera stochastically delayed 36231-AIS-04 while dry cloaks competed with tool_snag,stabilized without materials,"{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}",schedule consequence acknowledged,Sera lacked materials and stabilized through rest and attention
36231,36231-SR-08,36231-SP-08,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,,stabilized without materials,"{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}","{""care"": 3, ""fiber"": 0, ""water"": 5, ""wood"": 9}",,Fay lacked materials and stabilized through rest and attention
36247,36247-SR-01,36247-SP-01,Milo,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,social-safety,Milo stochastically disputed 36247-AIS-03 while carry water competed with argument_echo,resolved,"{""care"": 4, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}",schedule consequence acknowledged,Milo used mediate disagreement and name source boundary after argument_echo
36247,36247-SR-02,36247-SP-02,Fay,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,Fay made 36247-AIS-01 easier to attempt after neighbor_help,resolved,"{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}",schedule consequence acknowledged,Fay used acknowledge help and share credit after neighbor_help
36247,36247-SR-03,36247-SP-03,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,recovering,Fay stochastically delayed 36247-AIS-02 while sort herbs competed with tool_snag,resolved,"{""care"": 3, ""fiber"": 3, ""water"": 2, ""wood"": 4}","{""care"": 3, ""fiber"": 2, ""water"": 2, ""wood"": 4}",schedule consequence acknowledged,Fay used re-tie tool lashing and return focus after tool_snag
36247,36247-SR-04,36247-SP-04,Ari,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,recovering,Ari stochastically delayed 36247-AIS-01 while repair awning competed with roof_leak,resolved,"{""care"": 3, ""fiber"": 2, ""water"": 2, ""wood"": 4}","{""care"": 3, ""fiber"": 1, ""water"": 2, ""wood"": 3}",schedule consequence acknowledged,Ari used patch leak and rest near dry place after roof_leak
36247,36247-SR-05,36247-SP-05,Fay,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,recovering,,resolved,"{""care"": 3, ""fiber"": 1, ""water"": 2, ""wood"": 3}","{""care"": 3, ""fiber"": 0, ""water"": 2, ""wood"": 2}",,Fay used patch leak and rest near dry place after roof_leak
36247,36247-SR-06,36247-SP-06,Ari,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,stabilized,,stabilized without materials,"{""care"": 3, ""fiber"": 0, ""water"": 2, ""wood"": 2}","{""care"": 3, ""fiber"": 0, ""water"": 2, ""wood"": 2}",,Ari lacked materials and stabilized through rest and attention
36247,36247-SR-07,36247-SP-07,Tovan,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,social-safety,Tovan stochastically disputed 36247-AIS-05 while map safe route competed with argument_echo,resolved,"{""care"": 3, ""fiber"": 0, ""water"": 2, ""wood"": 2}","{""care"": 2, ""fiber"": 0, ""water"": 2, ""wood"": 2}",schedule consequence acknowledged,Tovan used mediate disagreement and name source boundary after argument_echo
36247,36247-SR-08,36247-SP-08,Tovan,neighbor_help,received help,acknowledge help and share credit,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.006,0.012,-1,gratitude keeps help socially sticky,finish-work,recovering,,resolved,"{""care"": 2, ""fiber"": 0, ""water"": 2, ""wood"": 2}","{""care"": 2, ""fiber"": 0, ""water"": 2, ""wood"": 2}",,Tovan used acknowledge help and share credit after neighbor_help
36263,36263-SR-01,36263-SP-01,Fay,roof_leak,shelter stress,patch leak and rest near dry place,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 1}",0.012,0.014,-1,help after environmental stress,finish-work,recovering,Fay stochastically delayed 36263-AIS-01 while repair awning competed with roof_leak,resolved,"{""care"": 3, ""fiber"": 3, ""water"": 3, ""wood"": 4}","{""care"": 3, ""fiber"": 2, ""water"": 3, ""wood"": 3}",schedule consequence acknowledged,Fay used patch leak and rest near dry place after roof_leak
36263,36263-SR-02,36263-SP-02,Milo,quiet_recovery,fatigue recovery,protect quiet rest and resume slowly,"{""care"": 0, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.004,0.01,-1,rest respected as recovery,finish-work,recovering,,resolved,"{""care"": 3, ""fiber"": 2, ""water"": 3, ""wood"": 3}","{""care"": 3, ""fiber"": 2, ""water"": 3, ""wood"": 3}",,Milo used protect quiet rest and resume slowly after quiet_recovery
36263,36263-SR-03,36263-SP-03,Fay,tool_snag,tool frustration,re-tie tool lashing and return focus,"{""care"": 0, ""fiber"": 1, ""water"": 0, ""wood"": 0}",0.008,0.018,0,practical repair after blocked work,finish-work,recovering,Fay stochastically delayed 36263-AIS-02 while sort herbs competed with tool_snag,resolved,"{""care"": 3, ""fiber"": 2, ""water"": 3, ""wood"": 3}","{""care"": 3, ""fiber"": 1, ""water"": 3, ""wood"": 3}",schedule consequence acknowledged,Fay used re-tie tool lashing and return focus after tool_snag
36263,36263-SR-04,36263-SP-04,Fay,argument_echo,social disagreement,mediate disagreement and name source boundary,"{""care"": 1, ""fiber"": 0, ""water"": 0, ""wood"": 0}",0.014,0.008,0,argument repaired without erasing disagreement,finish-work,social-safety,,resolved,"{""care"": 3, ""fiber"": 1, ""water"": 3, ""wood"": 3}","{""care"": 2, ""fiber"": 1, ""water"": 3, ""wood"": 3}",,Fay used mediate disagreement and name source boundary after argument_echo
